[Normal Axes]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
w_melee_steves_mighty_sword|Steve's Mighty Sword|Teemun mahtimiekka|Espada Poderosa de Steve|Могучий Меч Стива|史蒂夫強力劍|スティーブの偉大な剣|스티브의 강력한 검 (Steve's Mighty Sword)|Steves Mächtiges Schwert|Épée puissante de Steve|Poderosa Espada de Steve|Potężny Miecz Steve'a
w_melee_st_gabriels_retribution|St. Gabriel's Retribution|Pyhän Gabrielin rangaistus|Castigo de St. Gabriel|Возмездие святого Гавриила|聖加百列的懲戒|聖ガブリエルの報復|성 가브리엘의 응징 (St. Gabriel's Retribution)|St. Gabriels Strafe|Châtiment de Saint-Gabriel|Retribución de San Gabriel|Odwet św. Gabriela
w_melee_thors_battle_sword|Thor's Battle Sword|Odinin sotakirves|Espada de Batalha de Thor|Боевой Меч Тора|索爾戰鬥劍|オーディンのバトル・ソード|토르의 전투 검 (Thor's Battle Sword)|Odins Kriegsschwert|Épée de combat de Thor|Espada de Batalla de Thor|Miecz Bitewny Thora
w_melee_vikings_sacred_axe|Viking's Sacred Axe|Viikingin pyhä kirves|Machado Sagrado do Viking|Священный топор викинга|維京人聖斧|バイキングの神聖な斧|바이킹의 신성한 도끼 (Viking's Sacred Axe)|Heilige Wikingeraxt|Hache sacrée de Viking|Hacha Sagrada del Vikingo|Święty Topór Wikinga
w_melee_nomads_sandslicer|Nomad's Sandslicer|Vaeltajan hiekkapeitsi|Fatiador de Areia do Nômade|Песочница Кочевника|遊牧者斬砂刀|ノマドのサンドスライサー|유랑자의 모래 절단기 (Nomad's Sandslicer)|Sandschneider des Nomaden|Trancheur de sable de Nomad|Rebanadora de Arena del Nómada|Piaskowy Krajalnik Nomada
w_melee_nobunagas_battle_slicer|Nobunaga's Battle Slicer|Nobunagan Taisteluleikkuri|Fatiador de Batalha de Nobunaga|Боевой нож Нобунаги|信長的戰鬥斬刀|信長のバトルスライサー|노부나가의 전투 절단기 (Nobunaga's Battle Slicer)|Kampfschneider des Nobunaga|Trancheur de Nobunaga|Rebanadora de Batalla de Nobunaga|Bitewny Krajalnik Nobunagi
w_melee_molten_dagger|Molten Dagger|Sula Tikari|Adaga Fundida|Расплавленный Кинжал|熔岩匕首|モルテンダガー|용암 단검 (Molten Dagger)|Geschmolzener Dolch|Dague en fusion|Daga de Magma|Stopiony Sztylet
w_melee_icy_shank|Icy Shank|Jäinen pistäjä|Haste Gelada|Ледяной Черенок|冰冷脛骨|アイシーシャンク|얼음 뾰족단검 (Icy Shank)|Eisiges Bein|Tige de glace|Punzón Glacial|Lodowy Sztylet
w_melee_darkness|Darkness|Pimeys|Escuridão|Тьма|黑暗|ダークネス|어둠 (Darkness)|Dunkelheit|Ténèbres|Oscuridad|Ciemność
w_melee_gladiators_wrecking_ball|Gladiator's Wrecking Ball|Gladiaattorin Purkukuula|Bola de Demolição do Gladiador|Бал-крушение Гладиатора|角鬥士破壞球|グラディエーターのレッキングボール|검투사의 철퇴 (Gladiator's Wrecking Ball)|Abrissbirne des Gladiators|Boulet de démolition de gladiateur|Bola de Demolición del Gladiador|Kula Zniszczenia Gladiatora
w_melee_dantes_demon_blade|Dante's Demon Blade|Danten Demonimiekka|Espada Demoníaca de Dante|Демонический клинок Данте|但丁的惡魔之刃 |ダンテの魔剣 |단테의 악마검 (Dante's Demon Blade)|Dantes Dämonenklinge|Lame démoniaque de Dante|Hoja Demoníaca de Dante|Demoniczny Miecz Dantego
w_melee_shadow_carver|Shadow Carver|Varjoleikkaaja|Entalhadora das Sombras|Резчик Теней|影子切割者|シャドウカーバー|그림자 조각칼 (Shadow Carver)|Schattenschneider|Sculpteur d'ombres|Trinchadora de Sombras|Rzeźbiarz Cieni
w_melee_sacred_whip|Sacred Whip|Siunattu Ruoska|Chicote Sagrado|Священный Хлыст|聖鞭|聖なる鞭|성스러운 채찍 (Sacred Whip)|Heilige Peitsche|Fouet sacré|Látigo Sagrado|Święty Bicz
w_melee_nightmare_slasher|Nightmare Slasher|Painajaisviiltäjä|Fatiadora de Pesadelo|Кошмарный Убийца|惡夢殺手|ナイトメアスラッシャー|악몽의 참수칼 (Nightmare Slasher)|Alptraummesserstecher|Tueur cauchemardesque|Cuchilla de Pesadilla|Rozpruwacz Koszmarów
w_melee_frozen_carver|Frozen Carver|Jäinenleikkaaja|Entalhadora Congelada|Замороженный Резчик|冰霜雕琢者|フローズンカーバー|얼어붙은 조각칼 (Frozen Carver)|Gefrorener Schlitzer|Sculpteur de glace|Trinchadora Helada|Zamarznięty Rzeźbiarz
w_melee_unholy_gods_flail|Unholy God's Flail|Epäpyhän Jumalan Varsta|Mangual do Deus Profano|Цеп Нечестивого Бога|邪惡之神連枷|不浄な神のフレイル|불경한 신의 플레일 (Unholy God's Flail)|Flegel des unheiligen Gottes|Fléau du dieu impie|Mayal del Dios Profano|Cep Nieświętego Boga
w_melee_molten_hammer|Molten Hammer|Sula Vasara|Martelo Fundido|Молоток для расплавления|熔岩錘|モルテンハンマー|용암 망치 (Molten Hammer)|Geschmolzener Hammer|Marteau en fusion|Martillo de Magma|Stopiony Młot
w_melee_icy_crusher|Icy Crusher|Jäämurskain|Triturador Gélido|Дробилка льда|寒冰壓碎者|アイシークラッシャー|얼음 분쇄기 (Icy Crusher)|Eisiger Zerstörer|Broyeur de glace|Triturador Glacial|Lodowy Miażdżący
w_melee_light_of_dawn|The Light of Dawn|Aamunkajo|A Luz do Amanhecer|Свет рассвета|黎明之光|夜明けの光|새벽의 빛 (The Light of Dawn)|Licht des Sonnenaufgangs|La lumière de l'aube|La Luz del Alba|Światło Świtu
w_melee_gladiators_skullcrusher|Gladiator's Skullcrusher|Gladiaattorin Kallonmurskain|Esmagador de Caveiras do Gladiador|Сокрушитель черепов гладиатора|角鬥士碎顱者|グラディエーターのスカルクラッシャー|검투사의 해골 분쇄기 (Gladiator's Skullcrusher)|Schädelzerstörer des Gladiators|Écrase-crânes de gladiateur|Trituracráneos del Gladiador|Miażdżący Czaszki Gladiatora
w_melee_masamune|Masamune|Masamune|Masamune|Масамуне|正宗|政宗|마사무네 (Masamune)|Masamune|Masamune|Masamune|Masamune
w_melee_muramasa|Muramasa|Muramasa|Muramasa|Мурамаса|村正|村正|무라마사 (Muramasa)|Muramasa|Muramasa|Muramasa|Muramasa
w_melee_crystal_infused_axe|Crystal Infused Axe|Kristalliin upotettu kirves|Machado Infundido de Cristal|Топор , Настоянный на Кристаллах|水晶斧|クリスタル注入斧|수정 융합 도끼 (Crystal Infused Axe)|Kristall-infundierte Axt|Hache infusée de cristal|Hacha con Cristal Infusionado|Topór Nasączony Kryształem
w_melee_crystal_infused_sword|Crystal Infused Sword|Kristalliin upotettu miekka|Espada Infundido de Cristal|Меч , Наполненный Кристаллами|水晶剑|クリスタルインフューズドソード|수정 융합 검 (Crystal Infused Sword)|Kristallgetränktes Schwert|Épée infusée de cristal|Espada con Cristal Infusionado|Miecz Nasączony Kryształem
w_melee_sung_lees_destroyer_flail|Sung Lee's Destroyer Flail|Sung Leen tuhoaja Flail|Mangual Destruidor de Sung Lee|Цеп Эсминца Сун Ли|宋李的毀滅者連枷|ソンリーの駆逐艦フレイル|성리의 파괴자 플레일 (Sung Lee's Destroyer Flail)|Sung Lees Zerstörer-Dreschflegel|Fléau destructeur de Sung Lee|Mayal Destructor de Sung Lee|Niszczący Cep Sung Lee
w_melee_revenants_lasher|Revenant's Lasher|Revenant's Lasher|Chicoteador Fantasma|Лэшер Ревенанта|亡魂鞭笞者|レヴナントラッシャー|망자의 채찍 (Revenant's Lasher)|Revenant's Lasher|Fouet de Revenant|Látigo del Aparecido|Rozpruwacz Revenanta
w_melee_bonettis_rapier|Bonetti's Rapier|Bonetti's Rapier|Rapieira de Bonetti|Рапира Бонетти|博內蒂細劍|ボネッティのレイピア|보네티의 레이피어 (Bonetti's Rapier)|Bonettis Rapier|Rapière de Bonetti|Estoque de Bonetti|Rapier Bonettiego
w_melee_eternal_glaive|Eternal Glaive|Eternal Glaive|Gládio Eterno|Вечная Глефа|永恆之刃|エターナル・グレイブ|영원의 창 (Eternal Glaive)|Ewige Klinge|Glaive éternel|Guja Eterna|Wieczna Glaive
w_melee_guts_bfs|Gut's BFS|Gutin Vitun Iso Miekka|Espada Grande pra Caralho de Gut|BFS Кишечника|古蒂的特大號巨劍|ガットの大剣|거츠의 BFS (Gut's BFS)|Guts großes Schwert|BFS de Gut|El Espadón de Guts|BFS Guta
w_melee_st_rexis_sundering_axe|St. Rexis Sundering Axe|Pyhän Rexin Repivä Kirves|Machado Divisor de St. Rexis|Разделяющий Топор Святого Рексиса|聖雷克西斯裂甲斧|セントレクシスサンダーアックス|성 렉시스의 천둥 도끼 (St. Rexis Sundering Axe)|St. Rexis Brechbeil|Hache d'estoc de St. Rexis|Hacha Fragmentadora de San Rexis|Rozszarpujący Topór św. Rexisa
w_melee_sand_dagger|Sand Dagger|Hiekkatikari|Adaga de Areia|Песчаный Кинжал|沙匕首|サンドダガー|모래 단검 (Sand Dagger)|Sanddolch|Dague de sable|Daga de Arena|Piaskowy Sztylet
w_melee_thunder_dagger|Thunder Dagger|Ukkosen tikari|Adaga do Trovão|Громовой Кинжал|雷霆匕首|サンダーダガー|번개 단검 (Thunder Dagger)|Donnerdolch|Poignard de tonnerre|Daga del Trueno|Grzmotowy Sztylet
w_melee_riftmasters_dirge|Riftmaster's Dirge|Riftmaster's Dirge|Punhal do Mestre de Fendas|Панихида по Рифтмастеру|裂隙大師的挽歌|リフトマスターのダージュ|리프트마스터의 더지 (Riftmaster's Dirge)|Spaltmeisters Dirge|Poignard du maître de la faille|Endecha del Maestro de la Grieta|Dirge Riftmastera
w_melee_st_mikas_zweihander|St. Mika's Zweihänder|Pyhän Mikan Zweihänder|Zweihänder de St. Mika|St. Mika's Zweihänder|聖米卡雙手巨劍|聖ミカのツヴァイヘンダー|성 미카의 츠바이핸더 (St. Mika's Zweihänder)|St. Mika's Zweihänder|Zweihänder de St. Mika|Zweihänder de San Mika|Zweihänder św. Miki
w_melee_sanguine_blade|Sanguine Blade|Sanguine Blade|Lâmina Sanguínea|Сангвинический Клинок|血色之刃|サングインブレード|혈색의 검 (Sanguine Blade)|Sanguinische Klinge|Lame sanglante|Hoja Sanguina|Sanguinowa Klinga
w_melee_pillar_of_niflheim|Pillar of Niflheim|Niflheimin pilari|Pilar de Niflheim|Столп Нифльхейма|尼弗海姆之柱|ニヴルヘイムの柱|니플헤임의 기둥 (Pillar of Niflheim)|Säule von Niflheim|Pilier de Niflheim|Pilar de Niflheim|Filar Niflheimu
w_melee_grimbones_scythe|Grimbone's Scythe|Grimbonen viikate|Foice de Grimbone|Коса Гримбона|恐懼骸骨之鐮|グリムボーンの大鎌|그림본의 낫 (Grimbone's Scythe)|Grimbones Sense|Faux de Grimbone|Guadaña de Huesosiniestro|Kosa Grimbone'a
w_melee_ceremonial_dagger|Ceremonial Dagger|Seremoniallinen tikari|Adaga Cerimonial|Церемониальный Кинжал|儀式匕首|儀式のダガー|의식용 단검 (Ceremonial Dagger)|Zeremoniendolch|Dague de cérémonie|Daga Ceremonial|Ceremonialny Sztylet
w_melee_spiritus|Spiritus|Spiritus|Spiritus|Spiritus|精神錘|スピリタス|스피릿투스 (Spiritus)|Spiritus|Esprit|Spiritus|Spiritus
w_melee_guts_hfs|Gut's HFS|Gutin HFS|Espada Grande da Porra de Gut|HFS кишечника|古蒂的瘋狂巨刃|ガッツ・ハイ・ファイブ・ストライク|거츠의 HFS (Gut's HFS)|Darms HFS|BFS de Guts|Espada de Alta Frecuencia de Guts|HFS Guta
w_melee_sahkopuimuri|Sähköpuimuri|Sähköpuimuri|Sähköpuimuri|электрический комбайн |風暴之錘|サーコプイムリ|세이코프푸이무리 (Sähköpuimuri)|Sähköpuimuri|Sähköpuimuri|Sähköpuimuri|Sähköpuimuri
w_melee_arch_angels_phase_blade|Arch Angel's Phase Blade|Arch Angel's Phase Blade|Lâmina Fásica do Arcanjo|Фазовый клинок архангела|大天使幻型刃|アーチエンジェル・フェイズ・ブレード|대천사의 페이즈 블레이드 (Arch Angel's Phase Blade)|Phasenklinge des Erzengels|Lame de Phase de l'Archange|Hoja Fásica del Arcángel|Fazowa Klinga Archanioła
w_melee_gem_kings_cleaver|Gem King's Cleaver|Gem King's Cleaver|Cutelo do Rei das Gemas|Тесак короля самоцветов|寶石王屠刀|ジェムキング・クリーバー|보석 왕의 도끼 (Gem King's Cleaver)|Hackmesser des Edelsteinkönigs|Couperet du Roi des Gemmes|Cuchilla del Rey de las Gemas|Tasak Króla Klejnotów
w_melee_winters_bite|Winter's Bite|Talven purema|Mordida do Inverno|Укус зимы|冬日之噬|ウィンターズ・バイト|겨울의 이빨 (Winter's Bite)|Winterbiss|Morsure de l'Hiver|Mordisco del Invierno|Ugryzienie Zimy
w_melee_wraith_forged_cleaver|Wraith Forged Cleaver|Wraith Forged Cleaver|Cutelo Forjado do Espectro|Выкованный призраком тесак|魅影屠刀|レイス・フォージド・クリーバー|망령 대장장이의 도끼 (Wraith Forged Cleaver)|Gespenstgeschmiedetes Hackmesser|Couperet Forgé Spectre|Cuchilla Forjada por Espectros|Rzeźbiarz Wraithów
w_melee_aurelion_fury|Aurelion Fury|Aurelion Fury|Fúria de Aurelion|Ярость Аурелиона|巨龍之怒|オーレリオン・フューリー|아우렐리온의 분노 (Aurelion Fury)|Aurelions Wut|Fureur d'Aurélion|Furia de Aurelion|Furia Aureliona
w_melee_abominations_gut_ripper|Abomination's Gut Ripper|Abomination's Gut Ripper|Estripadora de Vísceras da Abominação|Потрошитель потрохов мерзости|憎惡開膛手|アボミネーション・ガット・リッパー|어보미네이션의 내장 절단기 (Abomination's Gut Ripper)|Gedärmzerreißer|Éventreur d'Abomination|Destripador de la Abominación|Rozpruwacz Trzewi Obrzydliwości
w_melee_rakhuls_legion_crusher|Rakhul's Legion Crusher|Rakhul's Legion Crusher|Esmagadora de Legiões de Rakhul|Сокрушитель легиона Рахула|拉庫爾的軍團粉碎者|ラクール・レギオン・クラッシャー|라쿨의 군단 분쇄기 (Rakhul's Legion Crusher)|Rakhuls Legionszermalmer|Écraseur de Légion de Rakhul|Trituradora de Legiones de Rakhul|Młot Legionu Rakhula
w_melee_daisy|Daisy|Päivänkakkara|Daisy|Маргаритка|黛西|デイジー|데이지 (Daisy)|Daisy|Pâquerette|Margarita|Daisy
w_melee_dawn_bringer|The Dawn Bringer|Aamunkoiton tuoja|O Precursor do Alvorecer|Приносящий рассвет|黎明使者|ドーンブリンガー|새벽을 부르는 자 (The Dawn Bringer)|Die Morgenröte|L'Apôtre de l'Aube|Portadora del Alba|Przynoszący Świty
w_melee_gabriels_broken_resolve|Gabriel's Broken Resolve|Gabrielin rikki ratkaisu|Resolução Quebrada de Gabriel|Сломленная решимость Габриэля|加百列的破碎決心|ガブリエル・ブレイキン・リゾルブ|가브리엘의 깨진 결의 (Gabriel's Broken Resolve)|Gabriels gebrochene Entschlossenheit|Résolution Brisée de Gabriel|Determinación Rota de Gabriel|Złamana Determinacja Gabriela
w_melee_the_hope_ender|The Hope Ender|Toivo Ender|A Destruidora de Esperanças|Гибель надежды|希望終結者|ホープ・エンダー|희망의 끝 (The Hope Ender)|Der Hoffnungsbeseitiger|Le Briseur d'Espoir|El Fin de la Esperanza|Zakończenie Nadziei
w_melee_lucis_day|Luci's Day|Lucin päivä|Dia da Luci|День Люси|露西之日|ルシの日|루시의 날 (Luci's Day)|Lucis Tag|Jour de Luci|Día de Luci|Dzień Luci
w_melee_glowstick_estoc|Glowstick Estoc|Glowstick Estoc|Estoque Luminoso|Светящаяся палочка-эсток|螢光刺劍|グロースティック・エストック|형광봉 에스토크 (Glowstick Estoc)|Leuchtstab-Estoc|Étoffe de Bâton Lumineux|Estoque Fluorescente|Estoc Glowstick
