[Relic Names]|en|fi|pt|ru|zh|ja|ko|de|fr
relic_cake|Cake|Kakku|Bolo|Торт|蛋糕|ケーキ|케이크|Kuchen|Gâteau
relic_cookiesMilk|Cookies & Milk|Keksejä & Maitoa|Biscoitos & Leite|Печенье и молоко|餅乾與牛奶|クッキー＆ミルク|쿠키와 우유|Kekse & Milch|Lait et cookies
relic_blazingBoots|Blazing Boots|Liekkisaappaat|Botas Ardentes|Сверкающие Сапоги|熾熱靴|ブレイジングブーツ|불타는 부츠|Flammende Stiefel|Bottes flamboyantes
relic_charmedBlood|Charmed Blood|Lumottu veri|Sangue Encantado|Зачарованная Кровь|魅惑之血|魅惑な血|매혹의 피|Verzaubertes Blut|Sang contaminé
relic_shrunkenHead|Shrunken Head|Kutistunut pää|Cabeça Encolhida|Сморщенная Голова|縮小頭顱|シュルンケンヘッド|일그러진 얼굴|Schrumpfkopf|Tête de raton laveur
relic_oddBookOfSpells|Odd Book of Spells|Outo taikakirja|Livro Estranho de Magias|Странная книга заклинаний|奇怪的咒語書|奇妙な呪文書|이상한 주문서|Seltsames Zauberbuch|Curieux livre de sorts
relic_ancientRock|Ancient Rock|Muinainen kivi|Pedra Antiga|Древняя Скала|遠古之石|古の岩|고대의 바위|Uraltes Gestein|Pierre ancienne
relic_theHolyBible|The Holy Bible|Raamattu|A Bíblia Sagrada|Святая Библия|聖經|ホーリー・バイブル|성경|Die Heilige Bibel|La Sainte Bible
relic_aaronsStaff|Aaron's Staff|Aaronin sauva|Cajado de Aaron|Посох Аарона|亞倫之杖|アーロンの杖|아론의 지팡이|Aarons Stab|Bâton d'Aaron
relic_ogreClub|Ogre Club|Jättiläisnuija|Porrete do Ogro|Клуб Людоедов|食人魔短棍|オーガクラブ|오우거의 곤봉|Oger-Knüppel|Gourdin de l'ogre
relic_basilisksTooth|Basilisk's Tooth|Basiliskinhammas|Dente de Basilisco|Зуб василиска|蛇怪之牙|バジリスクツース|바실리스크의 송곳니|Basiliskenzahn|Dent de basilic
relic_twinBlade|Twin Blade|Kaksoisterä|Lâmina Dupla|Двойное Лезвие|雙刃劍|ツインブレード|쌍둥이 칼날|Doppelklinge|Lame double
relic_handScythe|Hand Scythe|Käsiviikate|Foice de Mão|Ручная Коса|手鐮|ハンドサイケ|한손 낫|Handsense|Faucille à main
relic_templarShield|Templar Shield|Ritarikilpi|Escudo Templário|Щит Тамплиера|聖堂之盾|テンプラー・シールド|템플 기사단의 방패|Templer-Schild|Bouclier de templier
relic_kingsCrown|King's Crown|Kuninkaan kruunu|Coroa do Rei|Королевская корона|國王皇冠|キングスクラウン|왕관|Königskrone|Couronne du roi
relic_damnedBuckler|Damned Buckler|Kirottu kilpi|Broquel Maldito|Проклятый Щит|詛咒圓盾|ダムド・バークラー|저주받은 둥근 방패|Verfluchter Buckler|Bouclier maudit
relic_dragonShield|Dragon Shield|Lohikäärmekilpi|Escudo do Dragão|Щит Дракона|龍之盾|ドラゴン・シールド|용의 방패|Drachenschild|Bouclier du dragon
relic_barbedShield|Barbed Shield|Piikkikilpi|Escudo Farpado|Колючий Щит|带刺之盾|バーブド・シールド|미늘 방패|Stachelschild|Bouclier barbelé
relic_helmOfChaos|Helm of Chaos|Kaaoskypärä|Elmo do Caos|Шлем хаоса|混沌之盔|カオスヘルム|혼돈의 투구|Helm des Chaos|Casque du chaos
relic_bracerOfLife|Bracer of Life|Elämän rannekoru|Bracelete da Vida|Наруч жизни|生命護腕|ライフ・ブレーサー|생명의 팔찌|Armschiene des Lebens|Bracelets de vie
relic_tokenOfLuck|Token of Luck|Onnen symboli|Token da Sorte|Знак удачи|幸運徽章|幸運のトークン|행운의 징표|Glücksbringer|Jeton de chance
relic_theAllmightyFedora|The Allmighty Fedora|Kaikkivoipa fedora|A Poderosa Fedora|Всемогущая фетровая шляпа|全能軟呢帽|オールマイティ・フェドラ|굉장한 페도라|Der Allmächtige Fedora|Le tout-puissant fedora
relic_guardianAngel|Guardian Angel|Suojelusenkeli|Anjo Guardião|Ангел - Хранитель|守護天使|守護天使|수호천사|Schutzengel|Ange gardien
relic_bookOfBelial|Book of Belial|Belialin kirja|Livro de Belial|Книга Велиала|彼列之書|ベリアルの本|벨리알의 서|Buch des Belial|Livre de Bélial
relic_doubleScythe|Double Scythe|Tuplaviikate|Foice Dupla|Двойная Коса|雙刃鐮刀|ダブルサイケ|쌍낫|Doppel-Sense|Double faux
relic_fireIce|Fire & Ice|Tuli & Jää|Fogo & Gelo|Огонь и Лед|火與冰|ファイアー＆アイス|불과 얼음|Feuer & Eis|Feu et glace
relic_LightKatana|Light Katana|Valokatana|Katana Leve|Легкая Катана|輕型武士刀|ライトカターナ|광선도|Licht-Katana|Katana de lumière
relic_dirge|Dirge|Dirge|Kris|Панихида|波刃匕首|葬送歌|장송곡|Grabgesang|Dague sacrificielle
relic_razorWire|Razorwire|Piikkilanka|Arame Farpado|Проволока для бритвы|鐵絲網|レザーワイヤー|가시 철사|Stacheldraht|Fil de rasoir
relic_rainbowGate|Rainbow Gate|Sateenkaari|Portão do Arco-íris|Радужные Врата|彩虹之門|レインボーゲート|무지개 관문|Regenbogen-Tor|Porte de arc-en-ciel
relic_theGlove|The Glove|Hanska|A Luva|Перчатка|手套|手袋|장갑|Der Handschuh|Le gant
relic_flySwatter|Fly Swatter|Kärpäslätkä|Mata-moscas|Мухобойка|蒼蠅拍|ハエたたき|파리채|Fliegenklatsche|Tapette à mouches
relic_hellscreamAxe|Hellscream Axe|Hellscream kirves|Machado do Grito Infernal|Топор Адского Крика|地獄咆哮斧|ヘルスクリーム・アックス|헬스크림의 도끼|Höllenschrei-Axt|Hache de Hurlenfer
relic_frostMourne|Hungering Blade of Frost||Lâmina Faminta de Gelo|Алчущий Клинок Мороза|飢餓冰霜之刃|フロストのハングリングブレード|굶주린 서리 칼날||Lame de givre vorace
relic_commandersSword|Commander's Sword|Komentajan miekka|Espada do Comandante|Меч командира|指揮官之劍|コマンダーのソード|사령관의 검|Schwert des Kommandanten|Épée de commandant
relic_butchersKnife|Butcher's Knife|Teurastajan veitsi|Faca do Açougueiro|Нож мясника|屠夫之刀|ブッチャーのナイフ|도살자의 칼|Metzgermesser|Couteau de boucher
relic_warZeppelin|War Zeppelin|Sotazeppeliini|Zepelim de Guerra|Военный Дирижабль|戰爭齊柏林飛船|ツェッペリン飛行船|전투 비행선|Kriegszeppelin|Zeppelin de guerre
relic_deathsScythe|Death's Scythe|Kuoleman viikate|Foice da Morte|Коса Смерти|死亡鐮刀|デスサイケ|사신의 낫|Die Sense des Todes|Faux de la Mort
relic_angelStaffOfApocalypse|Angel Staff of Apocalypse|Tuhon enkelisauva|Cajado de Anjo do Apocalipse|Ангельский посох Апокалипсиса|天使啟示錄法杖|アポカリプス・天使の杖|파멸을 부르는 천사의 지팡이|Engelstab der Apokalypse|Bâton angélique de l'apocalypse 
relic_rocketBarrage|Rocket Barrage|Ohjustulitus|Barragem de Foguete|Ракетный обстрел|火箭彈幕|ロケットバラージー|로켓 탄막|Raketen-Trommelfeuer|Barrage de roquettes
relic_shiv|Shiv|Puukko|Estoque|Заточка|剃刀|カミソリ|삼지창|Klinge|Saï
relic_stickmanSteve|Stickman Steve|Teemu Tikku-Ukko|Stickman Steve|Крупье Стив|火柴人史蒂夫|スティックマンスティーブ|막대인간 스티브|Strichmännchen Steve|Stickman Steve
relic_bomb|Bomb|Pommi|Bomba|Бомба|炸彈|爆弾|폭탄|Bombe|Bombe
relic_meatHook|Meat Hook|Lihakoukku|Gancho de Carne|Мясной Крючок|肉鉤|ミートフック|고기 갈고리|Fleischerhaken|Crochet à viande
relic_candyCrusher|Candy Crusher|Karkin murskaaja|Candy Crusher|Дробилка для конфет|糖果粉碎者|キャンディークラッシャー|사탕 박살 망치|Bonbonbrecher|Concasseur de bonbons
relic_cheeseBurger|Cheese Burger|Juustopurilainen|X-Burger|Сырный Бургер|乳酪漢堡|チーズバーガー|치즈버거|Cheese-Burger|Cheese Burger
relic_triForce|Triforce|Kolmivoima|Triforce|Трифорс|三角力量|トリフォース|트라이포스|Triforce|Triforce
relic_cactus|Cactus|Kaktus|Cacto|Кактус|仙人掌|カクタス|선인장|Kaktus|Cactus
relic_razerBlade|Razer Blade|Razer miekka|Lâmina Razer|Лезвие Бритвы|刮鬍刀片|レザー・ブレード|광선검|Rasierklinge|Lame de rasoir
relic_assassinsShuriken|Assassin's Shuriken|Salamurhaajan heittotähti|Shuriken do Assassino|Сюрикен Убийцы|刺客手裏劍|アサシンの手裏剣|자객의 수리검|Assasinen-Shuriken|Shuriken de l'assassin
relic_theSun|The Sun|Aurinko|O Sol|Солнце|太陽|太陽|태양|Die Sonne|Le soleil
relic_razerHeadset|Razer Headset|Razer kuulokkeet|Headset Razer|Гарнитура Razer|剃刀耳機|レザー・ヘッドセット|레이저 헤드셋|Razer Headset|Casque Razer
relic_mayosOldSock|Mayo's Old Sock|Mayon vanha sukka|Velha Meia de Mayo|Старый Носок Майо|梅奧的舊襪子|メイヨーのオールドソックス|마요의 오래된 양말|Mayo's alte Socke|La vieille chaussette de Mayo
relic_tequila|Tequila!!!|Tequila!!!|Tequila!!!|Текила!!!|龍舌蘭！！！|テキーラ！！！|데킬라!!!|Tequila!!!|Tequila !!!
relic_theMightySushi|The Mighty Sushi|Mahtava sushi|O Poderoso Sushi|Могучие Суши|力量壽司|マイティーすし|힘센 초밥|Das mächtige Sushi|Le puissant sushi
relic_karpHead|Karp Head|Karpin pää|Cabeça de Carpa|Голова Карпа|卡普頭|カープヘッド|잉어 대가리|Karpfenkopf|Tête de Carpe
relic_lantern|Lantern|Lyhty|Lanterna|Фонарь|燈籠|ランタン|초롱|Laterne|Lanterne
relic_razorLeaf|Razor Leaf|Terälehti|Folha de Barbear|Острый Лист|飛葉快刀|レザー・リーフ|잎날 가르기|Rasierblatt|Feuille rasoir
relic_ninjaHook|Ninja Hook|Ninjakoukku|Gancho de Ninja|Крюк Ниндзя|忍者抓鉤|忍者フック|닌자 갈고리|Ninja-Haken|Crochet Ninja
relic_riceChopsticks|Rice & Chopsticks|Syömäpuikot ja riisi|Arroz & Pauzinhos|Рис и Палочки для Еды|米飯與筷子|米＆箸|밥과 젓가락|Reis & Essstäbchen|Riz et baguettes
relic_minisect|Minisect|Minisect|Mininseto|Минисект|小賽克特|ミニセクト|미니섹트|Minisekt|Minisect
relic_shadeOfDeath|Shade of Death|Kuoleman viuhka|Sombra da Morte|Тень смерти|死亡之影|デスシェード|죽음의 장막|Fächer des Todes|Ombre de la Mort
relic_dislocatedEye|Dislocated Eye|Irronnut silmä|Olho Deslocado|Вывихнутый Глаз|脫臼眼球|脱臼させる目|빠져버린 눈|Zerquetschtes Auge|Oeil disloqué
relic_halfEatenMochi|Half Eaten Mochi|Puoliksi syöty Mochi|Mochi pela Metade|Наполовину съеденный Моти|被咬掉一半的麻糬|食べかけたお餅|반쯤 먹은 찹쌀떡|Halb gegessener Mochi|Mochi à moitié mangé
relic_bonsaiTree|Bonsai Tree|Bonsai puu|Árvore Bonsai|Дерево Бонсай|盆栽|盆栽の木|분재|Bonsaibaum|Bonsaï
relic_daPlayersDislocatedHead|DaPlayer's Dislocated Head|DaPlayerin irronnut pää|Cabeça Deslocada de DaPlayer|Вывихнутая Голова Даплеера|達普雷爾的脫位頭顱|ダプレイヤーの脱臼させる頭|플레이어의 머리|DaPlayer's verrenkter Kopf|Tête disloquée de DaPlayer
relic_witchClaw|Witch Claw|Noidan kynsi|Garra da Bruxa|Коготь Ведьмы|女巫之爪|魔女のクロー|마녀의 손|Hexenkralle|Griffe de sorcière
relic_shatteredKatana|Shattered Katana|Hajonnut katana|Katana Estilhaçada|Разбитая Катана|碎裂的武士刀|砕けたカタナ|부서진 카타나|Zertrümmertes Katana|Katana brisé
relic_orbOfFire|Orb of Fire|Tulipallo|Orbe de Fogo|Огненный шар|火之法球|オーブ・オブ・ファイア|화염의 구슬|Feuerkugel|Orbe de feu
relic_orbOfIce|Orb of Ice|Jääpallo|Orbe de Gelo|Ледяной шар|冰之法球|オーブ・オブ・アイス|얼음의 구슬|Eiskugel|Orbe de glace
relic_orbOfPoison|Orb of Poison|Myrkkypallo|Orbe de Veneno|Сфера яда|毒之法球|オーブ・オブ・ポイズン|맹독의 구슬|Giftkugel|Orbe de poison
relic_orbOfChaos|Orb of Chaos|Kaaospallo|Orbe do Caos|Сфера хаоса|混沌法球|オーブ・オブ・カオス|혼돈의 구슬|Kugel des Chaos|Orbe de chaos
relic_orbOfLightning|Orb of Lightning||||閃電法球|ライトニングのオーブ|번개의 구슬|||
relic_largeBeer|Large Beer|Iso olut|Cerveja Grande|Большое Пиво|大啤酒|大型のビヤ|큼지막한 맥주|Großes Bier|Grande bière
relic_bouncy|Bouncy|Pomppija|Saltitante|Упругий|彈性|よく弾む|바운시|Flummi|Balle rebondissante
relic_magnet|Magnet|Magneetti|Ímã|Магнит|磁鐵|磁石|자석|Magnet|Aimant
relic_balalayka|Balalayka|Balalaika|Balalayka|Балалайка|巴拉萊卡琴|バラライカ|발랄라이카|Balalayka|Balalayka
relic_darts|Darts|Tikat|Dardos|Дротики|飛鏢|ダーツ|다트|Dartpfeile|Fléchettes
relic_smallSpikey|Small Spikey|Pikkupiikki|Pequeno Spikey|Маленький Колючий|小尖刺|小さなスパイキー|작은 가시공|Kleiner Stachel|Petite boule à piques
relic_satansHorn|Satan's Horn|Saatanan sarvi|Chifre de Satanás|Рог сатаны|撒旦之角|サタンの角|사탄의 뿔|Teufelshorn|Corne de Satan
relic_necromancersFinger|Necromancer's Finger|Manaajan sormi|Dedo do Necromante|Палец Некроманта|死靈法師的手指|ネクロマンサーの指|강령술사의 손가락|Finger des Nekromanten|Doigt de nécromancien
relic_jarOfFlies|Jar of Flies|Kärpäspurkki|Jarra de Moscas|Банка с мухами|蒼蠅罐子|一缶分のハエ|파리가 든 병|Glas voller Fliegen|Bocal plein de mouches
relic_satansTooth|Satan's Tooth|Saatanan hammas|Dente de Satanás|Зуб сатаны|撒旦之牙|サタンのツース|사탄의 이빨|Satans Zahn|Dent de Satan
relic_butterflyKnife|Butterfly Knife|Perhosveitsi|Canivete Borboleta|Нож - бабочка|蝴蝶刀|バタフライナイフ|발리송|Klappmesser|Couteau papillon
relic_lightningGlobe|Lightning Globe|Sähköpallo|||閃電球|||||
relic_fireGlobe|Fire Globe|Tulipallo|||火焰球||||
relic_iceGlobe|Ice Globe|Jääpallo|||冰霜球||||
relic_poisonGlobe|Poison Globe|Myrkkypallo|||毒素球||||
relic_arcaneGlobe|Arcane Globe|Taikapallo|||奧術球||||
relic_steamSale|Steam Sale|Steam alennus|Promoção da Steam|Продажа Steam|Steam促銷|Steamセール|스팀 세일|Steam-Sale|Promo Steam
relic_steamSale_ps5|Flash Sale||||限時搶購|||||
relic_esEnergy|ES Energy|ES Energia|ES Energia|Энергия ЭС|ES能量|ESエネルギー|ES 에너지|ES Energie|ES Energy
relic_boomerang|Boomerang|Bumerangi|Bumerangue|Бумеранг|迴力鏢|ブーメラン|부메랑|Bumerang|Boomerang
relic_squishyTheSuicidalPig|Squishy the Suicidal Pig|Itsetuhoinen possu Squishy|Squishy o Porco Suicida|Хлюпик - Свинья - Самоубийца|軟軟自殺小豬|自殺子豚スクイジー|자살 돼지 스퀴시|Squishy, das Suizidgefährdete Schwein|Squishy le cochon suicidaire
relic_satansEye|Satan's Eye|Saatanan silmä|Olho de Satanás|Глаз сатаны|撒旦之眼|サタンの目|사탄의 눈|Satans Auge|Oeil de Satan
relic_mindBender|Homing Shots|Hakeutuvat ohjukset|Tiros Rastreadores|Самонаводящиеся Выстрелы|追蹤導彈|ホーミングショット|유도탄|Zielsuchende Schüsse|Tirs dirigés
relic_lightCola|Light Cola|Kevytkola|Cola Leve|Легкая Кола|淡可樂|ライトコーラ|라이트 콜라|Cola Light|Cola light
relic_theHolyGrail|The Holy Grail|Graalin malja|O Santo Graal|Святой Грааль|聖杯|ホーリー・グレイル|성배|Der Heilige Gral|Le Saint Graal
relic_monkeyKingBar|Monkey King Bar|Apinakuninkaan sauva|Bastão do Rei Macaco|"Бар ""Король обезьян"""|猴王酒吧|モンキーキングバー|여의봉|Stab des Affenkönigs|Bô de Sun Wukong
relic_hornedMask|Horned Mask|Sarvinaamio|Máscara de Chifre|Рогатая Маска|角面具|角のあるマスク|뿔 가면|Gehörnte Maske|Masque à cornes
relic_honeyBee|Honey Bee|Mehiläinen|Abelha|Медоносная Пчела|蜜蜂|ミツバチ|꿀벌|Honigbiene|Abeille
relic_1000kg|1000 KG|1000 KG|1000 KG|1000 КГ|1000 KG|1000 KG|1000 KG|1000 KG|1000 KG
relic_pickledBrain|Pickled Brain|Säilötyt aivot|Cérebro em Conserva|Маринованные Мозги|醃製腦|塩つけの脳みそ|뇌 절임|Eingelegtes Gehirn|Cerveau mariné
relic_keyGen|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe
relic_dragonsHead|Dragon's Head|Lohikäärmeen pää|Cabeça de Dragão|Голова Дракона|龍之首|ドラゴンの頭|용의 머리|Drachenkopf|Tête de dragon
relic_winnersDrug|Winner's Drug|Voittajan huume|Drogas do Vencedor|Препарат победителя|勝者藥劑|勝者の薬剤|승자의 약물|Siegerdroge|Drogue du vainqueur
relic_casinoDice|Casino Die|Kasinonopat|Morte no Cassino|Casino Die|賭場骰子|カジノダイス|카지노용 주사위|Casino Würfel|Dé truqué
relic_lotteryTicket|Lottery Ticket|Lottokuponki|Bilhete de Loteria|Лотерейный билет|彩票|宝くじのチケット|복권|Lotterieschein|Billet de loterie
relic_vadjra|Vadjra|Vadjra|Vadjra|Ваджра|金剛杵|ヴァジュラ|바디라|Vadjra|Vajra
relic_maryosPipe|Maryo's Pipe|Maryon putki|Cano de Maryo's|Трубка Марио|馬力歐的管子|マリオのパイプ|마리요의 배관|Maryo's Rohr|Tuyau de Maryo
relic_rottenApple|Rotten Apple|Mätä omena|Maçã ´Podre|Гнилое Яблоко|腐爛蘋果|腐ったリンゴ|썩은 사과|Fauler Apfel|Pomme pourrie
relic_handOfMidas|Hand of Midas|Midaan käsi|Mão de Midas|Рука Мидаса|米達斯之手|ハンド・オブ・ミダス|미다스의 손|Hand des Midas|Main de Midas
relic_oversized|Oversized|Ylisuurennus|Imenso|Негабаритный|超大號|オーバーサイズ|거대화|Überdimensioniert|Surdimensionné
relic_fortuneCard|Fortune Card|Onnen kortti|Cartão da Fortuna|Карта Удачи|幸運卡|フォーチュンカード|행운의 카드|Schicksalskarte|Carte à gratter
relic_deliciousPie|Delicious Pie|Herkkupiiras|Torta Deliciosa|Вкусный Пирог|美味餡餅|美味しいパイ|맛있는 파이|Köstliche Torte|Tarte délicieuse
relic_amazonsSpears|Amazon's Spears|Amatsonin keihäät|Lanças da Amazona|Копья Амазонки|亞馬遜之矛|アマゾンのスピア|아마존의 창|Amazonenspeer|Lances de l'amazone
relic_jungleVial|Jungle Vial|Viidakkopullo|Frasco da Selva|Флакон из Джунглей|叢林藥水|ジャングルバイアル|정글 시약|Dschungel-Fläschchen|Fiole de la jungle
relic_manaDice|Mana Dice|Taikanopat|Dado de Mana|Кубики Маны|法力骰子|マナ・ダイス|마나 주사위|Mana Würfel|Dés de mana
relic_wizardsHat|A Wizard's Hat|Velhon hattu|O Chapéu de um Feiticeiro|Шляпа Волшебника|巫師帽|ウィザードの帽子|마법사의 모자|Ein Zaubererhut|Chapeau de sorcier
relic_zombiesFace|Zombie's Face|Zombien naama|Cara de Zumbi|Лицо зомби|殭屍之臉|ゾンビの顔|좀비 얼굴|Zombiegesicht|Visage de zombie
relic_metalDetector|Metal Detector|Metallinpaljastin|Detector de Metal|Металлоискатель|金属探测器|金属探知機|금속 탐지기|Metalldetektor|Détecteur de métaux
relic_lootARang|Loot-A-Rang|Loot-A-Rang|Loot-A-Rangue|Награбленное|戰利品回收器|ルート・ア・ラング|루트-어-랭|Loot-A-Rang|Butinrang
relic_propHuntKit|Prop Hunt Kit|Prop Hunt Kit|Prop Hunt Kit|Набор для охоты за Реквизитом|道具獵人工具包|プロップハントキット|프롭 헌트 키트|Prop Hunt Kit|Accessoire de chasseur pro
relic_doggo|Doggo|Doggo|Doggo|Догго|Doggo|ドッゴ|도고|Doggo|Doggo
relic_stevesDirtyHead|Steve's Dirty Head|Steve's Dirty Head|Cabeça Suja de Steve|Грязная голова Стива|史蒂夫的髒頭顱|スティーブの汚れた頭|스티브의 더러운 머리|Steve's Dreckiger Kopf|Tête sale de Steve
relic_lostWand|Lost Wand|Lost Wand|Varinha Perdida|Потерянная Палочка|失落魔杖|失われた杖|잃어버린 완드|Verlorener Zauberstab|Baguette perdue
relic_wizardsMindBomb|Wizard's Mind Bomb|Wizard's Mind Bomb|Bomba Mental do Mago|Ментальная бомба Волшебника|巫師的心靈炸彈|ウィザードの精神爆弾|위저드의 마인드 봄|Zauberers Gedächtnisbombe|Bombe spirituelle du sorcier
relic_newtTail|Newt Tail|Newt Tail|Rabo de Newt|Хвост Тритона|蠑螈尾巴|イモリの尾|뉴트의 꼬리|Molchschwanz|Queue de triton
relic_candyBasket|Candy Basket|Karkkikori|Cesta de Doces|Корзина для Конфет|糖果籃|キャンディバスケット|사탕 바구니|Süßigkeitenkorb|Panier de bonbons
relic_snowball|Snowball|Lumipallo|Bola de Neve|Снежный Ком|雪球|スノーボール|눈덩이|Schneeball|Boule de neige
relic_thiefsGlove|Thief's Glove|Varkaan käsine|Luva do Ladrão|Воровская перчатка|盜賊手套|泥棒の手袋|도둑의 장갑|Diebeshandschuh|Gant de voleur
relic_shocker3000|Shocker-3000|Sähkötin-3000|Shocker-3000|Шокер-3000|震撼器-3000|ショッカー-3000|쇼커 -3000|Schocker-3000|Choc-3000
relic_flail|Flail|Varsta|Mangual|Цеп|連枷|フレイル|플레일|Morgenstern|Fléau
relic_soulBox|Soul Box|Sielulaatikko|Caixa de Almas|Шкатулка для Души|靈魂之盒|ソウルボックス|소울 박스|Seelenbox|Boîte d'âme
relic_chickenMask|Chicken Mask|Kananaamari|Máscara de Galinha|Куриная Маска|小雞面具|チキンマスク|치킨 마스크|Hühnchen-Maske|Masque de poulet
relic_cursedBook|Cursed Book|Kirottu kirja|Livro Amaldiçoado|Проклятая Книга|詛咒之書|呪われた本|저주받은 책|Verfluchtes Buch|Livre maudit
relic_headExtractor|Head Extractor|Päänkeräin|Extrator de Cabeças|Головной Экстрактор|斬首器|ヘッドエクストラクター|헤드 추출기|Kopf-Auszieher|Extracteur de tête
relic_bombBoat|Bomb|Pommi|Bomba|Бомба|炸彈|ボム|폭탄|Bombe|Bombe
relic_fishNet|Fish Net|Kalaverkko|Rede de Pesca|Рыболовная Сеть|魚網|フィッシュネット|피시 넷|Fischnetz|Filet de pêche
relic_bookOfCommand|Book of Command|Komennusten kirja|Livro do Comando|Книга повелений|指揮書|支配の書|커맨드 북|Buch der Beherrschung|Livre du commandement
relic_sucker5000|Sucker-5000|Imuri-5000|Aspirador-5000|Присоска-5000|吸力槍-5000|サッカー-5000|써커 5000|Sauger-5000|Aspi-5000
relic_sucker5000b|Sucker-5000-B|Imuri-5000-B|Aspirador-5000-B|Присоска-5000-B|吸力槍-5000-B|サッカー-5000-B|써커 5000-B|Sauger-5000-B|Aspi-5000-B
relic_pulser|Gamma Pulser||Pulsador Gama||γ 脈衝發生器|ガンマパルサー|감마 펄서||
||||||||||
desc_relic_devilHorn|Power of the most unclean, in your pocket.||O poder do mais impuro, em seu bolso.|Сила самого нечистого у тебя в кармане.|在你的口袋裡藏著最邪惡的力量|最も不浄なる力、あなたのポケットに。|가장 불결한 힘을 당신의 주머니에.||Le pouvoir des plus immondes, dans votre poche.
