[main_menu]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
local_play|Play local|Paikallinen peli|Jogo Local|Играть локально|單機遊戲|ローカルプレイ|로컬 플레이|Lokal spielen|Partie locale
ns_store_account_error|The current user account cannot access this feature.|Nykyinen käyttäjä ei voi käyttää tätä ominaisuutta.|A atual conta de usuário não pode acessar esse recurso.|Текущая учетная запись пользователя не имеет доступа к этой функции.|當前使用者帳號無法訪問此功能。|現在 の ユーザーアカウントで は この 機能 にアクセスできません。|현재 사용자 계정은 이 기능을 이용할 수 없습니다.|Das aktuelle Benutzerkonto kann auf diese Funktion nicht zugreifen.|Le compte utilisateur actuel ne peut pas accéder à cette fonction.
ns_store_timeout|Connecting to the Nintendo eShop took too long.|Nintendo eShop:iin yhdistäminen kesti liian kauan.|A conexão com o Nintendo eShop demorou muito.|Подключение к Nintendo eShop заняло слишком много времени.|連接到任天堂eShop的時間太長。|ニンテンドーeショップ への接続に時間がかかりすぎました。|Nintendo eShop 에 연결하는 데 시간이 오래 걸렸습니다.|Die Verbindung zum Nintendo eShop hat zu lange gedauert.|La connexion au Nintendo eShop prend trop de temps.
ns_store_warning|Connecting to the Nintendo eShop will disconnect you from the current game.|Yhdistäminen Nintendo eShop:iin katkaisee yhteytesi nykyisestä pelistä.|Conectar-se ao Nintendo eShop o desconectará do jogo atual.|Подключение к Nintendo eShop отключит вас от текущей игры.|連接到任天堂eShop將使您斷開當前遊戲。|Nintendo eShop に接続すると、現在のゲームから切断されます。|Nintendo eShop에 연결하면 현재 게임에서 연결이 끊어집니다.|Wenn Sie eine Verbindung zum Nintendo eShop herstellen, werden Sie vom aktuellen Spiel getrennt.|La connexion au Nintendo eShop vous déconnectera du jeu en cours.
ns_eshop|Nintendo eShop|Nintendo eShop|Nintendo eShop|Интернет-магазин Nintendo|任天堂eShop|Nintendo eShop|Nintendo eShop|Nintendo eShop|Nintendo eShop
try_again_later|Try again later.|Yritä myöhemmin uudelleen.|Tente novamente mais tarde.|Попробуйте позже.|請稍後重試。|後で もう一度 試して みて ください。|나중에 다시 시도하세요.|Versuche es später erneut.|Réessayez plus tard.
try_again_account|Try again with another account.|Yritä uudelleen toisella käyttäjällä.|Tente novamente com outra conta.|Попробуйте еще раз с другой учетной записью.|嘗試使用另一個帳號再次登錄。|別 の アカウント で もう一度 試して みて ください。|다른 계정으로 다시 시도하세요.|Versuche es mit einem anderen Konto erneut.|Réessayez avec un autre compte.
connection_lost|Connection to the network was lost.|Verkkoyhteys katkesi.|A conexão com a rede foi perdida.|Соединение с сетью было потеряно.|已中斷網路連線。|ネットワーク 接続 が 遮断 さ れました。|네트워크 연결이 끊어졌습니다.|Die Verbindung zum Netzwerk wurde unterbrochen.|La connexion au réseau a été perdue.
controller|Controller|Ohjain|Controle|Контроллер|手把|コントローラー|컨트롤러|Controller|Manette
connected|connected|yhdistetty|conectado|связанный|已連接|接続済み|연결됨|verbunden|connectée
prompt_exit|Are you sure you want to exit?|Oletko varma, että haluat poistua?|Tem certeza de que deseja sair?|Вы уверены, что хотите выйти?|您確定要退出嗎？|本当に終了してもいいですか？|정말로 나가시겠습니까?|Bist du sicher, dass du gehen möchtest?|Êtes-vous sûr de vouloir quitter ?
controller_connected|Connected|Yhdistetty|Conectado|Связанный|已連接|接続済み|연결됨|Verbunden|Connecté
controller_disconnected|Disconnected|Irroitettu|Desconectado|Отключено|已斷開連接|切断|연결 해제|Getrennt|Déconnecté
controller_press|Press|Paina|Pressione|Нажимать|按|押し|누르세요|Drücke|Appuyer sur
controller_quit|to quit.|lopettaaksesi.|para sair.|бросить.|退出。|終了します。|종료합니다.|zu beenden.|pour quitter.
controllers|Controllers|Ohjaimet|Controles|Контроллеры|手把|コントローラ|컨트롤러|Controller|Manettes
steam_cloud|STEAM Cloud|STEAM Cloud|STEAM Cloud|STEAM Облако|STEAM雲端|STEAM Cloud|STEAM Cloud|STEAM Cloud|Steam Cloud
steam_cloud_data|Current Cloud data|Nykyiset pilvitiedot|Dados atuais da nuvem|Текущие данные облака|當前雲端資料|現在のクラウドデータ|현재 클라우드 데이터|Aktuelle Cloud-Daten|Données actuelles du Cloud
save|Save|Tallenna|Salvar|Сохранять|保存|保存する|저장|Speichern|Sauvegarder
load|Load|Lataa|Carregar|Нагрузка|載入|負荷|불러오기|Laden|Charger
account_id|Account ID|Tilin Tunnus|ID da conta|Идентификатор аккаунта|帳號ID|アカウントID|계정 ID|Konto ID|ID du compte
unranked|Unranked|Sijoittamaton|Não classificado|Без рейтинга|未排名|ランクなし|랭크 없음|Ranglos|Non classé
caps_lock_enabled|Caps Lock Enabled|Caps Lock käytössä|Caps Lock ativado|Caps Lock включен|大寫鎖定已啟用|CapsLockが有効|Caps Lock 사용|Feststelltaste aktiviert|Verrouillage des majuscules activé
profile_private|This profile is hidden|Tämä profiili on piilotettu|Este perfil está escondido|Этот профиль скрыт|此個人資料已隱藏|このプロファイルは非表示です|이 프로필은 숨겨져 있습니다.|Dieses Profil ist ausgeblendet|Ce profil est masqué
profile_text_blocked|You have blocked this user from interactions and social features.|Olet estänyt vuorovaikutuksen ja kommunikoinnin tämän käyttäjän kanssa.|Você bloqueou este usuário de interações e recursos sociais.|Вы заблокировали этому пользователю доступ к взаимодействиям и социальным функциям.|您已封鎖此使用者的互動和社交功能。|このユーザーを交流やソーシャル機能からブロックしました。|이 사용자를 상호작용 및 소셜 기능에서 차단했습니다.|Sie haben diesen Benutzer für Interaktionen und soziale Funktionen gesperrt.|Vous avez bloqué les interactions et les fonctionnalités sociales de cet utilisateur.
profile_text_edit|New profile text:|Uusi profiiliteksti:|Novo texto de perfil:|Новый текст профиля:|新的個人資料文本：|新しいプロフィール テキスト:|새 프로필 텍스트:|Neuer Profiltext:|Nouveau texte de profil :
blocked_players|Blocked players|Estetyt käyttäjät|Jogadores bloqueados |Заблокированные игроки |被屏蔽的玩家 |ブロックされたプレイヤー |차단된 플레이어|Gesperrte Spieler |Joueurs bloqués 
disable_pas_proxy|Disable PAS Proxy|Poista PAS-välityspalvelin käytöstä |Desativar proxy PAS |Отключить PAS-прокси |禁用 PAS 代理 |||PAS-Proxy deaktivieren |Désactiver le proxy PAS |Deshabilitar el proxy PAS 
email_not_verified|Email is not verified!|Sähköposti ei ole vahvistettu!|Email não está verificado!|Адрес эл. почты не подтвержден!|電子郵件未經驗證！|メールは検証されていない！|이메일이 확인되지 않았습니다!|E-Mail ist nicht verifiziert!|L'email n'est pas vérifié !
sign_in_failed|Sign in failed. Try again.|Kirjautuminen epäonnistui. Yritä uudelleen.|Falha no login. Tente novamente.|Не удалось войти. Попробуйте еще раз.|登錄失敗。請重試。|サインインに失敗しました。もう一度お試しください。|로그인에 실패했습니다. 다시 시도하세요.|Anmeldung fehlgeschlagen. Versuchen Sie es erneut.|Échec de la connexion. Réessayez.
invalid_name|That name is unavailable. Please try again.|That name is unavailable. Please try again.|Este nome está indisponível. Por favor tente novamente.|Это имя недоступно. Попробуйте еще раз.|該名稱不可用。請重試。|その名前は使用できません。もう一度お試しください。|해당 이름은 사용할 수 없습니다. 다시 시도하세요.|Dieser Name ist nicht verfügbar. Bitte versuchen Sie es erneut.|Ce nom n'est pas disponible. Veuillez réessayer.
show_exp_gain|Show Experience Gain|Näytä kokemuspistesaannit|Mostrar Ganho de Experiência|Показать получение опыта|顯示經驗獲取|経験値獲得を表示|경험치 획득 표시|Erfahrungsgewinn anzeigen|Afficher le gain d'expérience
loading_critical_error|Character slot loading failed.|Hahmon lataaminen epäonnistui.|Carregamento do Espaço de Personagem falhou.|Загрузка слота персонажа не удалась.|角色欄位載入失敗。|キャラクタースロットの読み込みに失敗しました。|캐릭터 슬롯 로딩에 실패했습니다.|Laden des Charakterplatzes fehlgeschlagen.|Le chargement de l'emplacement de personnage a échoué.
retired|Retired|Eläkkeellä|Aposentado|Устаревшие|已棄用的|廃止|은퇴|Ausrangiert|Retiré
location|Location|Sijainti|Localização |Расположение |位置|位置|위치|Standort |Emplacement |Ubicación 
tower_cleared|Tower Cleared|Torni Puhdistettu|Torre liberada |Башня очищена |塔樓已清除 |タワーをクリアしました |타워 클리어 |Turm geräumt|Tour dégagée |Torre despejada |Wieża wyczyszczona
character_skins|Character Skins|Hahmon Ulkoasut|Skins de Personagem|Облики персонажей|角色外觀|キャラクター スキン|캐릭터 스킨|Charakter-Skins|Skins de personnages
login_remember_info|Remember login info (username and temporary password) on this device for 30 days|Muista kirjautumistiedot (käyttäjänimi ja väliaikainen salasana) tällä laitteella 30 päivää|Lembrar informações de login (Nome de usuário e senha temporária) neste dispositivo por 30 dias.|Запомнить данные для входа (имя пользователя и временный пароль) на этом устройстве на 30 дней|在此裝置上記住登錄資訊（使用者名稱和臨時密碼）30天|このデバイスにログイン情報 (ユーザー名と一時パスワード) を 30 日間記憶する|30일 동안 이 기기의 로그인 정보(사용자 이름 및 임시 비밀번호) 기억|Anmeldeinformationen (Benutzername und temporäres Passwort) auf diesem Gerät 30 Tage lang speichern|Mémoriser les informations de connexion (nom d'utilisateur et mot de passe temporaire) sur cet appareil pendant 30 jours
link_main_account|Link Main Account|Yhdistä päätili|Vincular a Conta Principal|Связать основную учетную запись|連結主帳號|メイン アカウントをリンク|주 계정 연결|Hauptkonto verknüpfen|Associer le compte principal
account_settings|Account Settings|Tiliasetukset|Configurações da Conta|Настройки учетной записи|帳號設定|アカウント設定|계정 설정|Kontoeinstellungen|Paramètres du compte
initial_migration_prompt|We have scaled up the [c_yellow]PanicNet network[c_reset] to bring you a smoother and more stable online experience.[nl]Your data is currently stored in [c_aqua]Europe[c_reset].[nl]We are offering you one [c_yellow]free migration[c_reset] in case you want to change server to a closer location.[nl][c_lime]Leaderboards, Marketplace and Multiplayer are shared across all regions.[c_reset][nl][nl]Choose a region closest to you:||Aumentamos a escala da [c_yellow]PanicNet network[c_reset] para proporcionar a você uma experiência on-line mais suave e estável.[nl]Seus dados estão atualmente armazenados na [c_aqua]Europa[c_reset].[nl]Estamos oferecendo a você uma [c_yellow]migração gratuita[c_reset] caso você queira mudar o servidor parra um local mais próximo.[nl][c_lime]O placar de líderes, o mercado e o modo multijogador são compartilhados entre todas as regiões.[c_reset][nl][nl]Escolha a região mais próxima de você:|Мы расширили [c_yellow]сеть PanicNet[c_reset], чтобы обеспечить вам более плавный и стабильный опыт работы в сети.[nl]Ваши данные в настоящее время хранятся в [c_aqua]Европе[c_reset].[nl]Мы предлагаем вам одну [c_yellow]бесплатную миграцию[c_reset], если вы захотите сменить сервер на более близкий.[nl][c_lime]Таблицы лидеров, Торговая площадка и Мультиплеер доступны во всех регионах.[c_reset][nl][nl]Выберите ближайший к вам регион:|我們擴大了[c_ellow]網路[c_reset]，為您帶來更流暢、更穩定的線上體驗。[nl]您的資料目前儲存在[c_aqua]歐洲[c_reset]中。[nl]如果您想將伺服器更改到更近的位置，我們將為您提供一個[c_ellow]免費遷移[c_reset]。[nl][c_lime]排行榜、市場和多人遊戲在所有地區共享。[c_reset][nl][nl]選擇離您最近的區域：|よりスムーズで安定したオンライン エクスペリエンスを提供するために、[c_yellow]Panicnet ネットワーク[c_reset] を拡大しました。[nl]現在、お客様のデータは [c_aqua]ヨーロッパ[c_reset] に保存されています。[nl]サーバーを近い場所に変更したい場合に備えて、[c_yellow]無料移行[c_reset] を 1 回提供しています。[nl][c_lime]リーダーボード、マーケットプレイス、マルチプレイヤーはすべての地域で共有されています。[c_reset][nl][nl]最も近い地域を選択してください:|더욱 원활하고 안정적인 온라인 경험을 제공하기 위해 [c_yellow]PanicNet 네트워크[c_reset]를 확장했습니다.[nl]귀하의 데이터는 현재 [c_aqua]유럽[c_reset]에 저장되어 있습니다.[nl]더 가까운 위치로 서버를 변경하려는 경우 [c_yellow]무료 마이그레이션[c_reset]을 한 번 제공합니다.[nl][c_lime]리더보드, 마켓플레이스 및 멀티플레이어는 모든 지역에서 공유됩니다.[c_reset][nl][nl]가장 가까운 지역을 선택하세요:|Wir haben das [c_yellow]PanicNet-Netzwerk[c_reset] hochskaliert, um Ihnen ein reibungsloseres und stabileres Online-Erlebnis zu bieten.[nl]Ihre Daten werden derzeit in [c_aqua]Europa[c_reset] gespeichert.[nl]Wir bieten Ihnen eine [c_yellow]kostenlose Migration[c_reset] an, falls Sie den Server an einen näheren Standort verlegen möchten.[nl][c_lime]Bestenlisten, Marktplatz und Multiplayer werden von allen Regionen gemeinsam genutzt.[c_reset][nl][nl]Wählen Sie eine Region in Ihrer Nähe:|Nous avons étendu le [c_yellow]réseau PanicNet[c_reset] pour vous offrir une expérience en ligne plus fluide et plus stable.[nl]Vos données sont actuellement stockées en [c_aqua]Europe[c_reset].[nl]Nous vous offrons une [c_yellow]migration gratuite[c_reset] au cas où vous souhaiteriez changer de serveur vers un emplacement plus proche.[nl][c_lime]Les classements, la place de marché et le multijoueur sont partagés dans toutes les régions.[c_reset][nl][nl]Choisissez la région la plus proche de chez vous :
beta_migration_prompt|We have scaled up the [c_yellow]PanicNet network[c_reset] to bring you a smoother and more stable online experience.[nl][nl]Your data is currently stored in [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]During Open Beta we encourage you to try migrating your account and data to another region.[c_reset][nl][nl][c_lime]Leaderboards, Marketplace and Multiplayer are shared across all regions.[c_reset][nl][nl]Choose a region to migrate to:||Aumentamos a escala da [c_yellow]PanicNet network[c_reset] para proporcionar a você uma experiência on-line mais suave e estável.[nl][nl]Seus dados estão atualmente armazenados em [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Durante o beta aberto nós encorajamos você a tentar migrar sua conta e dados para outra região.[c_reset][nl][nl][c_lime]O placar de líderes, mercado e o modo multijogador são compartilhados entre todas as regiões.[c_reset][nl][nl]Escolha a região que queira migrar:|Мы расширили [c_yellow]сеть PanicNet[c_reset], чтобы обеспечить вам более плавный и стабильный опыт работы в сети.[nl][nl]Ваши данные в настоящее время хранятся в [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Во время открытого бета-тестирования мы рекомендуем вам попробовать перенести свою учетную запись и данные в другой регион.[c_reset][nl][nl][c_lime]Таблицы лидеров, Торговая площадка и Многопользовательский режим являются общими для всех регионов.[c_reset][nl][nl]Выберите регион для миграции:|我們擴大了[c_ellow]網路[c_reset]，為您帶來更流暢、更穩定的線上體驗。[nl][nl]您的資料目前儲存在[c_aqua][var，regionName][c_reset]中。[nl][nl][c_pink]在公測期間，我們鼓勵您嘗試將帳號和資料遷移到另一個地區。[c_reset][nl][nl][c_lime]排行榜、市場和多人遊戲在所有地區共享。[c_reset][nl][nl]選擇要遷移到的區域|よりスムーズで安定したオンライン エクスペリエンスを提供するために、[c_yellow]Panicnet ネットワーク[c_reset] を拡大しました。[nl][nl]現在、お客様のデータは[c_aqua][var,regionName][c_reset].[nl][nl][c_pink]オープンベータ期間中は、アカウントとデータを別の地域に移行することをお勧めします。[c_reset][nl][nl][c_lime]リーダーボード、マーケットプレイス、マルチプレイヤーはすべての地域で共有されます。[c_reset][nl][nl]移行先の地域を選択してください:|더욱 원활하고 안정적인 온라인 경험을 제공하기 위해 [c_yellow]PanicNet 네트워크[c_reset]를 확장했습니다.[nl][nl]귀하의 데이터는 현재 [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]오픈 베타 기간 동안 계정과 데이터를 다른 지역으로 마이그레이션해 보시기 바랍니다.[c_reset][nl][nl][c_lime]리더보드, 마켓플레이스, 멀티플레이어는 모든 지역에서 공유됩니다.[c_reset][nl][nl]이전할 지역을 선택하세요:|Wir haben das [c_yellow]PanicNet-Netzwerk[c_reset] hochskaliert, um Ihnen ein reibungsloseres und stabileres Online-Erlebnis zu bieten.[nl][nl]Ihre Daten werden derzeit in [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Während der offenen Beta empfehlen wir Ihnen, Ihr Konto und Ihre Daten in eine andere Region zu migrieren.[c_reset][nl][nl][c_lime]Bestenlisten, Marktplatz und Multiplayer werden von allen Regionen gemeinsam genutzt.[c_reset][nl][nl]Wählen Sie eine Region aus, in die Sie migrieren möchten:|Nous avons étendu le [c_yellow]réseau PanicNet[c_reset] pour vous offrir une expérience en ligne plus fluide et plus stable.[nl][nl]Vos données sont actuellement stockées en [c_aqua][var,regionName][c_reset].[nl][nl][c_pink]Pendant la bêta ouverte, nous vous encourageons à essayer de migrer votre compte et vos données vers une autre région.[c_reset][nl][nl][c_lime]Les classements, la place de marché et le mode multijoueur sont partagés entre toutes les régions.[c_reset][nl][nl]Choisissez une région vers laquelle migrer :
stay_on_europe|Stay on Europe|Pysy Euroopassa|Continuar na Europa|Оставаться в Европе|留在歐服|ヨーロッパに留まる|유럽에 머무르기|Bleiben Sie bei Europa|Rester en Europe
login_region|Login Region|Kirjautumisalue|Região de login|Регион входа|登錄區域|ログイン地域|로그인 지역|Anmelderegion|Se connecter à la région
server_region|Server Region|Pelipalvelimen alue|Região do Servidor|Регион сервера|伺服器區域|サーバー地域|서버 지역|Serverregion|Région du serveur|Región del Servidor
chat_region|Chat Region|Chat-alue|Região do Chat |Регион чата |聊天室區域|チャット地域|채팅 지역|Chatregion |Région du chat |Región de Chat
decay_in|Decay in: |Hajoaminen:|Decadência em:|Упадет через: |剩餘時間：|減衰: |감소: |Verfall in: |Déclin en : 
decay_days| Days.| Päivässä| Dias.|Дней.|天。|日。| 일.|Tagen.|Jours.
requires_level|Requires Level|Vaatii tason|Requer Nível|Требуется уровень |需要等級|レベルが必要です|레벨 필요|Erfordert Level |Nécessite un niveau 
has_been_created|has been created!|on luotu!|foi criado!|был создан!|已被創建！|が作成されました!|가 생성되었습니다!|wurde erstellt!|a été créé !
guild_create_failed|Guild creation failed.|Killan luominen epäonnistui.|A criação da Guilda falhou.|Не удалось создать гильдию. |公會創建失敗。 |ギルドの作成に失敗しました。 |길드 생성에 실패했습니다.|Gildenerstellung fehlgeschlagen. |La création de la guilde a échoué. 
guild_name_taken|Guild name has already been taken.|Killan nimi on jo varattu.|O nome da guilda já foi escolhido.|Название гильдии уже занято.|公會名稱已被使用。|ギルド名はすでに使用されています。|길드 이름이 이미 사용되고 있습니다.|Gildenname ist bereits vergeben.|Le nom de la guilde a déjà été pris.
guild_tag_taken|Guild tag has already been taken.|Kiltatunniste on jo varattu.|A tag da guilda já foi escolhida. |Тег гильдии уже занят.|公會標籤已被使用。|ギルドタグはすでに使用されています。|길드 태그가 이미 사용되고 있습니다.|Gildentag ist bereits vergeben.|Le tag de la guilde a déjà été pris. 
guild_tag_changed|Guild tag has been changed!|Killan tunniste on vaihdettu!|A tag da Guilda foi alterada!|Тег гильдии был изменен!|公會標籤已更改！|ギルドタグが変更されました!|길드 태그가 변경되었습니다!|Gildentag wurde geändert!|Le tag de la guilde a été modifié !
guild_tag_failed|Guild tag change failed…|Kiltatunnisteen vaihto epäonnistui… |Falha na alteração da tag da Guilda…|Не удалось изменить тег гильдии…|公會標籤更改失敗…|ギルドタグの変更に失敗しました…|길드 태그 변경에 실패했습니다…|Änderung des Gildentags fehlgeschlagen …|Échec du changement de tag de guilde
guild_delete|Are you sure you want to delete the Guild?|Oletko varma että haluat poistaa tämän killan?|Tem certeza que quer deletar a Guilda?|Вы уверены, что хотите удалить гильдию?|您確定要刪除公會嗎？|ギルドを削除してもよろしいですか?|길드를 삭제하시겠습니까?|Möchten Sie die Gilde wirklich löschen?|Êtes-vous sûr de vouloir supprimer la guilde ?
guild_send_invite|Send Guild Invite|Lähetä kiltakutsu|Enviar convite para Guilda.|Отправить приглашение в гильдию|發送公會邀請|ギルド招待を送信|길드 초대 보내기|Gildeneinladung senden|Envoyer invitation de guilde
connection_failed|Connection failed.|Yhteys epäonnistui.|Falha na conexão.|Ошибка подключения.|連接失敗。|接続に失敗しました。|연결에 실패했습니다.|Verbindung fehlgeschlagen.|Échec de connexion
message_invite_error|Is not available. Please check that your season and hardcore status match.|ei ole saatavilla. Varmista että kausi ja kuolevaisuustilasi täsmää.|Não está disponível. Verifique se o status de temporada e hardcore correspondem.|Недоступно. Проверьте, совпадают ли ваш сезон и статус хардкора.|不可用。  請檢查您的賽季和困難模式是否匹配。|利用できません。シーズンとハードコアステータスが一致していることを確認してください。|사용할 수 없습니다. 시즌과 하드코어 상태가 일치하는지 확인하세요.|Ist nicht verfügbar. Bitte überprüfen Sie, ob Ihre Saison und Ihr Hardcore-Status übereinstimmen.|Ceci n'est pas disponible. Veuillez vérifier que votre saison et votre statut hardcore correspondent.
difficulty_not_unlocked|Difficulty not unlocked!|Vaikeustaso lukossa!|Dificuldade não desbloqueada!|Сложность не разблокирована!|難度未解鎖！|難易度がロック解除されていません!|난이도가 잠금 해제되지 않았습니다!|Schwierigkeitsgrad nicht freigeschaltet!|Difficulté non débloquée !
hold_button|Hold|Paina pohjassa|Segure|Удерживайте|按住|スキップするには|누르고있기|Halten|Maintenez
to_skip|to skip|ohittaaksesi|para pular|для пропуска|跳過|を押し続けます|스킵|zum Überspringen gedrückt|pour passer
just_found|Just found|Löysi|Encontrou|Только что найдено|剛剛發現了|が今発見|님이 지금 발견|Gerade gefunden|en bêta
in_beta|in BETA|BETASSA|no BETA|в БЕТА-версии|已領取的物品|ベータ版で見つかりました|In BETA|in BETA|Objet récupéré
items_claimed|Items claimed|esineitä lunastettu|Itens reivindicados|Предметы получены|物品已領取|アイテムを取得しました|아이템 획득|Gegenstände beansprucht|Bienvenue au Pôle Sud ! Cet endroit est trop froid même pour les monstres, mais pas pour les pingouins ! Trouve seule le pingouin qui parle pour continuer !
south_pole|Welcome to the South Pole! This place is too cold even for monsters, but not for penguins! Find the talking penguin to proceed!|Tervetuloa etelänavalle! Tämä paikka on liian kylmä jopa hirviöille, mutta ei pingviineille! Löydä puhuva pingviini jatkaaksesi!|Bem-vindo ao Polo Sul! Este lugar é muito frio até para monstros, mas não para pinguins! Encontre o pinguim falante para prosseguir!|Добро пожаловать на Южный полюс! Это место слишком холодно даже для монстров, но не для пингвинов! Найдите говорящего пингвина, чтобы продолжить!|歡迎來到南極！這個地方連怪物都覺得太冷，[nl]但對企鵝來說不是問題！找到說話的企鵝以繼續前進！|南極へようこそ! ここはモンスターにとっても寒すぎますが、ペンギンにとってはそうではありません! 先に進むには話すペンギンを見つけてください!|남극에 오신 것을 환영합니다! 이곳은 몬스터들에게도 너무 추운 곳이지만, 펭귄들에게는 전혀 그렇지 않아요! 진행하려면 말을 하는 펭귄을 찾아보세요!|Willkommen am Südpol! Dieser Ort ist selbst für Monster zu kalt, aber nicht für Pinguine! Finden Sie den sprechenden Pinguin, um fortzufahren!|Limite d'achat sur le marché atteinte. Veuillez patienter avant d'en acheter d'autres !
