[enemies]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
e_skeleton_mage_frost_3|Permafrozen Pagan|Syväjäätynyt Pakana|Pagão Gélido|Вечнозамороженный Язычник|極寒異教徒|永久凍土異教|영구 동결 이교도|Permafrozen Heidnisch|Païen permagelé|Pagano Congelado|Wiecznie Zamarznięty Poganin
e_essenceOfFire_1|Essence of Pyre|Rovion olemus|Essência da Pira|Сущность костра|火焰精靈|パイアのエッセンス|불꽃의 정수|Essenz des Scheiterhaufens|Essence du Bûcher|Esencia de la Pira|Esencja Płomieni
e_essenceOfFire_3|Flaming Spirit|Liekehtivä henki |Espírito Flamejante |Пылающий дух |烈焰之靈|炎の精霊 |불타는 영혼 |Feuriger Geist|Esprit Flamboyant |Espíritu Flamígero|Płonąca Zjawa
e_skeleton_mage_lightning_1|Lightning Mage|Salama Maagi|Mago Elétrico|Маг Молнии|閃電法師|ライトニングメイジ|번개 마법사|Blitzmagier|Mage survolté|Mago de Relámpagos|Mag Błyskawic
e_skeleton_mage_lightning_2|Thunder Caller|Ukkosen Kutsuja|Conjurador do Trovão|Громовой Призыватель|雷霆喚術師|サンダーコーラー|천둥 호출자|Donnerrufer|Conjurateur de tonnerre|Invocador del Trueno|Przywoływacz Gromu
e_skeleton_mage_lightning_3|Storm Wizard|Myrskyvelho|Mago da Tormenta|Волшебник Бури|風暴巫師|ストームウィザード|폭풍 마법사|Sturm-Zauberer|Sorcier de l'orage|Hechicero de la Tormenta|Mag Burzy
e_scarecrow_1|Scarecrow|Linnunpelätin|Espantalho|Пугало|稻草人|かかし|허수아비|Vogelscheuche|Épouvantail|Espantapájaros|Strach na Wróble
e_scarecrow_2|Scarecrow|Linnunpelätin|Espantalho|Пугало|稻草人|かかし|허수아비|Vogelscheuche|Épouvantail|Espantapájaros|Strach na Wróble
e_scarecrow_3|Undead Harvester|Kuollut sadonkorjuu|Colhedor Morto-vivo|Нежить-сборщик|亡靈收割者|アンデッドハーベスター|언데드 수확자|Untoter Ernter|Moissonneur de morts-vivants|Cosechador No-muerto|Nieumarły Żniwiarz
e_pumpkinMage_1|Pumpkin Wraith|Kurpitsanhaamu|Abóbora Fantasma|Тыквенный призрак|南瓜惡靈|パンプキンレイス|펌프킨 레이스|Kürbisgeist|Spectre de citrouille|Espectro Calabaza|Duch Dyni
e_pumpkinMage_2|Pumpkin Wraith|Kurpitsanhaamu|Abóbora Fantasma|Тыквенный призрак|南瓜惡靈|パンプキンレイス|펌프킨 레이스|Kürbisgeist|Spectre de citrouille|Espectro Calabaza|Duch Dyni
e_pumpkinMage_3|Hallowing Pumpkin|Pyhittäjäkurpitsa |Abobora Santificada|Освященная тыква |萬聖節南瓜|ハローイングパンプキン|할로윈 펌프킨|Heiliger Kürbis|Citrouille sacrée |Calabaza Maldita|Hallowińska Dynia
e_maggot_1|Blood Maggot|Verimato|Larva de Sangue|Кровавый Опарыш|嗜血蠕蟲|血ウジ|피 구더기|Blutmadde|Asticot de sang|Gusano de Sangre|Krwawa Larwa
e_maggot_2|Corpse Maggot|Ruumismato|Larva de Cadáveres|Трупный Опарыш|食屍蠕蟲|死体ウジ|시체 구더기|Leichenmade|Asticot de cadavre|Gusano de Cadáveres|Larwa Trupia
e_maggot_3|Devouring Worm|Ahmijamato|Verme Devorador|Пожирающий Червь|噬滅巨蟲|パクパク・ワーム|포식 벌레|Verschlingender Wurm|Ver dévorant|Gusano Devorador|Pożerający Robak
e_wendigo_1|Wendigo Scavenger|Wendigo raadonsyöjä|Wendigo Carniceiro|Мусорщик Вендиго|食腐食屍鬼|ウェンディゴ・スカベンジャー|웬디고|Wendigo-Aasfresser|Wendigo Charognard|Wendigo Carroñero|Wendigo Padlinożerca
e_wendigo_2|Throngcroft|Throngcroft|Throngcroft|Тронгкрофт|群集食屍鬼|スロンクロフト|쓰롱크로프트|Throngcroft|Throngcroft|Throngcroft|Throngcroft
e_wendigo_3|Mist Stalker|Sumuvaanija|Perseguidor da Névoa|Сталкер Тумана|迷霧潛伏者|ミスト・ストーカー|안개 사냥꾼|Nebel-Wandler|Traqueur de brume|Acechador de la Niebla|Łowca Mgieł
e_undying_1|Undying|Epäkuolevainen|Imortal|Бессмертный|不死魔物|不滅のモノ|불사자|Unsterblicher|Immortel|Inmortal|Nieśmiertelny
e_undying_2|Faceless Horror|Kasvoton hirviö|Horror sem Rosto|Безликий Ужас|無面恐怖|フェースレス・ホラー|얼굴없는 공포|Gesichtsloser Horror|Horreur sans visage|Horror sin Rostro|Bezoki Horror
e_undying_3|Unknown|Tuntematon|Desconhecido|Неизвестный|未知存在|未知のモノ|미지|Unbekannter|Inconnu|Desconocido|Nieznany
e_ent_1|Ent Sapling|Enttitaimi|Ent Jovem|Лор - Саженец|樹精幼苗|エントの苗木|어린 엔트|Ent-Setzling|Pousse d'Ent|Ent Retoño|Sadzonka Enta
e_ent_2|Horror Branch|Oksakammotus|Galho do Horror|Ветвь Ужасов|恐怖樹精|ホラー・ブランチ|공포의 나무가지|Horror-Zweig|Branche de l'horreur|Rama del Horror|Gałąź Horroru
e_ent_3|Deadwood|Kuolon puu|Árvore Morta|Сухостой|枯木樹精|デッド・ウッド|죽은 나무|Totholz|Bois mort|Madera Muerta|Martwe Drzewo
e_entValhalla_1|Boreal Oakling|Boreaalinen Orjantappura|Carvalho Boreal|Северный дубок|極地幼橡精|ボリアルオークリング|북방 참나무|Boreal Oakling|Chêne boréal|Roble Boreal|Borealny Dębczak
e_entValhalla_2|Boreal Branch|Boreaalinen Oksa|Filial Boreal|Северная ветвь|極地樹枝|ボリアルブランチ|북방 지류|Borealer Zweig|Branche boréale|Rama Boreal|Borealna Gałąź
e_entValhalla_3|Grimwood Ent|Pahanmetsän Entti|Entidade Grimwood |Гримвуд Энт |格林伍德樹精|グリムウッドエント |그림우드 엔트 |Grimwood Ent|Ent. Grimwood |Ente de Grimwood|Ponury Ent
e_goblin_1|Goblin Captain|Peikkokapteeni|Capitão Goblin|Капитан Гоблинов|地精隊長|ゴブリンのキャプテン|대장 고블린|Goblinkapitän|Capitaine gobelin|Capitán Goblin|Kapitan Goblinów
e_goblin_2|Tinker|Näpertelijä|Funileiro|Повозиться|地精修補匠|ティンカー|땜장이|Pfuscher|Bricoleur|Hojalatero|Majsterkowicz
e_goblin_3|Da Bling|Blingi|Da Bling|Да Побрякушки|閃亮亮地精|ダ・ブリング|다 블링|Der Bling|Bling-bling|Da Bling|Da Bling
e_imp_1|Nether Imp|Pikku pirulainen|Diabinho|Нижний Бес|地獄小惡魔|冥土の小悪魔|지옥의 임프|Unterweltler|Diablotin du Néant|Diablillo|Pomniejszy Imp
e_imp_2|Devil Breed|Pirulaispentu|Raça Demoníaca|Дьявольская порода|惡魔雛仔|悪魔の繁殖|소악마|Teufelsbrut|Lignée démoniaque|Raza Demoníaca|Diabelskie Plemię
e_imp_3|Arch Demon|Arkkidemoni|Arquidemônio|Архидемон|大惡魔|アーチ・デーモン|대악마|Schelmischer Dämon|Archi-démon|Archidemonio|Arcy Demon
e_dragon_whelp_1|Dragon Whelp|Lohikäärmeen pentu|Filhote de Dragão|Драконий Щенок|幼龍|ドラゴンの子|새끼 용|Drachenwelpe|Petit Dragon|Cría de Dragón|Młody Smok
e_dragon_whelp_2|Red Drake|Punainen lohikäärme|Dragão Vermelho|Красный Селезень|紅龍|レッド・ドレイク|적룡|Roter Drache|Drake rouge|Dragón Rojo|Czerwony Drake
e_dragon_whelp_3|Pinky|Pinky|Rosado|Мизинец|粉紅幼龍|ピンキー|핑키|Pinkie|Pinkie|Rosadito|Pinky
e_yeti_1|Tundra Yeti|Tundra Jeti|Iéti da Tundra|Тундровый йети|苔原雪人|ツンドラ・イエティ|툰드라 예티|Tundra Yeti|Yéti de la toundra|Yeti de la Tundra|Tundrowy Yeti
e_yeti_2|Gargantuan Beast|Jättiläispeto|Besta Gigantesca|Гигантский Зверь|巨型雪怪|巨獣|거수|Gigantisches Biest|Bête gargantuesque|Bestia Gigantesca|Gigantyczna Bestia
e_yeti_3|Mountain Monstrosity|Vuorenhirviö|Monstruosidade da Montanha|Горное Чудовище|山怪|マウンテン・モンスターシティー|산더미 거수|Berg-Monstrosität|Monstruosité des montagnes|Monstruosidad de la Montaña|Górska Potworność
e_nautilus_1|Nautilus|Nautilus|Náutilo|Наутилус|鸚鵡螺|ノーチラス|노틸러스|Nautilus|Nautile|Nautilo|Nautilus
e_nautilus_2|Sea Hunter|Merimetsästäjä|Caçador do Mar|Морской Охотник|深海獵手|シー・ハンター|바다 사냥꾼|Meeresjäger|Chasseur de mer|Cazador del Mar|Morski Łowca
e_nautilus_3|Colossal Nautilus|Jättiläis-Nautilus|Náutilo Colossal|Колоссальный Наутилус|巨型鸚鵡螺|巨大ノーチラス|거대 노틸러스|Kolossaler Nautilus|Nautile colossal|Nautilo Colosal|Kolosalny Nautilus
e_horror_1|Sleeping Horror|Nukkuva kauhu|Horror Dormente|Спящий Ужас|沉睡恐懼|スリーピング・ホラー|수면의 공포|Schlafender Horror|Horreur nocturne|Horror Durmiente|Śpiący Horror
e_horror_2|Slumbering Demon|Uinuva demoni|Demônio Adormecido|Дремлющий Демон|酣睡惡魔|熟睡している悪魔|수면 악마|Schlummernder Dämon|Démon somnolant|Demonio Dormido|Drzemiący Demon
e_horror_3|Master of Limbo|Limbon mestari|Mestre do Limbo|Мастер Лимбо|邊境主宰|リムボーのマスター|연옥의 주인|Meister der Vorhölle|Maître des limbes|Maestro del Limbo|Pan Otchłani
e_chilling_head_1|Chilling Head|Kylmä pää|Cabeça Congelante|Леденящая Голову|顫慄頭顱|チリング・ヘッド|차디찬 머리|Eisiger Kopf|Tête glaçante|Cabeza Gélida|Chłodząca Głowa
e_chilling_head_2|Frozen Curse|Jäätynyt kirous|Maldição Congelada|Замороженное Проклятие|冰霜詛咒|凍結の呪い|혹한의 저주|Gefrorener Fluch|Malédiction gelée|Maldición Congelada|Zamrożona Klątwa
e_chilling_head_3|Ancient Apparition|Muinainen ilmestys|Aparição Anciã|Древнее Видение|遠古幻影|古代の鬼魅|고대의 발현|Antike Apparation|Ancienne Apparition|Aparición Ancestral|Pradawna Zjawa
e_jormungar_1|Ravenous Jormungar|Ahnas Jormungar|Jormungar Esfomeado|Голодный Йормунгар|貪婪耶夢加得|卑劣なヨルンガル|탐욕의 요르문간드|Gefräßiger Jormungar|Jormungar vorace|Jormungar Voraz|Żarłoczny Jormungar
e_jormungar_2|Tundra Crawler|Tundraryömijä|Rastejador da Tundra|Тундровый Краулер|苔原潛行蟲|ツンドラ・クローラー|툰드라 애벌레|Tundra-Kriecher|Rampant de la toundra|Reptante de la Tundra|Tundrowy Pełzacz
e_jormungar_3|Burrowing Ambusher|Hautautuva väijyttäjä|Emboscador Entocado|Роющий Засаду|鑽地伏擊者|潜伏している伏兵|천공 매복자|Grabenbrecher|Boyeur embusqué|Emboscador Excavador|Zasadzający Się Nurek
e_bride_1|Dead Bride|Kuollut morsian|Noiva Morta|Мертвая Невеста|亡靈新娘|死んだ花嫁|죽은 신부|Tote Braut|Mariée assassinée|Novia Muerta|Martwa Panna Młoda
e_bride_2|Ghost Spouse|Haamupuoliso|Cônjuge Fantasma|Призрачный Супруг|幽靈配偶|幽霊配偶者|유령 신부|Geister-Gatte|Époux fantôme|Esposa Fantasma|Duch Małżonka
e_bride_3|Widow Anomaly|Leskikummajainen|Anomalia Viúva|Аномалия Вдовы|寡婦異象|寡婦の異常|뒤틀린 과부|Witwenanomalie|Anomalie de la veuve|Anomalía Viuda|Anomalia Wdowy
e_fetish_doll_1|Fetish Doll|Taikanukke|Boneca Enfeitiçada|Фетишистская Кукла|巫術傀儡|フェチ人形|주술 인형|Fetisch Puppe|Poupée fétiche|Muñeca Hechizada|Lalka Fetysz
e_fetish_doll_2|Fetish Shaman|Taikashamaani|Xamã Enfeitiçado|Фетиш- Шаман|薩滿人偶|フェチシャーマン|주술사의 인형|Fetisch Schamane|Chamane fétiche|Chamán Hechizado|Szaman Fetysza
e_fetish_doll_3|Cursed Doll|Kirottu nukke|Boneca Amaldiçoada|Проклятая Кукла|詛咒人偶|呪われた人形|저주 인형|Verfluchte Puppe|Poupée maudite|Muñeca Maldita|Przeklęta Lalka
e_parasect_1|Parasect|Parasekti|Parasita|Паразитировать|寄生蟲|パラセクト|기생충|Parasekt|Parasect|Parásito|Pasożyt
e_parasect_2|Hellspawn Abomination|Helvetin inhokki|Abominação Nascida no Inferno|Исчадие Ада , Мерзость|地獄畸形怪|フェイスボール・スケアモンスター|지옥에서 태어난 기형충|Höllengeborene Monstrosität|Abomination de l'engeance|Abominación Infernal|Piekielna Obrzydliwość
e_parasect_3|Colossal Parasect|Jättiläis parasekti|Parasita Colossal|Колоссальный Паразит|巨型寄生蟲|巨大なパラセクト|거대 기생충|Kolossales Parasekt|Parasect colossal|Parásito Colosal|Kolosalny Pasożyt
e_fungus_monster_1|Fungus Monster|Sienihirviö|Fungo Monstruoso|Грибной Монстр|真菌怪|真菌モンスター|버섯 괴물|Pilzmonster|Monstre fongique|Monstruo Hongo|Potwór Grzybowy
e_fungus_monster_2|Faceless Mushroom|Kasvoton sieni|Cogumelo sem Rosto|Безликий Гриб|無面毒菇|顔なしキノコ|얼굴없는 버섯|Gesichtsloser Pilz|Champignon sans visage|Hongo sin Rostro|Bezoki Grzyb
e_fungus_monster_3|Caclauschex|Caclauschex|Caclauschex|Каклаушекс|巨大真菌體|巨大真菌体|거대 균체|Caclauschex|Caclauschex|Caclauschex|Caclauschex
e_desert_skeleton_1|Desert Legion|Aavikkolegioonalainen|Legião do Deserto|Пустынный легион|沙漠軍團|砂漠軍団|사막의 군단병|Wüstenlegionär|Légionnaire du désert|Legión del Desierto|Pustynny Legion
e_desert_skeleton_2|Legion Captain|Legioonalaiskapteeni|Capitão da Legião|Капитан легиона|軍團百夫長|軍団長|군단장|Legionskapitän|Capitaine de la légion|Capitán de la Legión|Kapitan Legionu
e_desert_skeleton_3|Desert Commander|Aavikkokomentaja|Comandante do Deserto|Командующий Пустыней|沙漠指揮官|砂漠のコマンダー|사막의 지휘관|Wüstenkommandant|Commandant du désert|Comandante del Desierto|Dowódca Pustyni
e_burning_legion_1|Burning Legion|Palava legioonalainen|Legião Ardente|Пылающий Легион|燃燒軍團|燃焼軍団|화마의 군단병|Brennende Legion|Légionnaire ardent|Legión Ardiente|Płonąca Legion
e_burning_legion_2|Risen Archer|Noussut jousimies|Arqueiro Ressuscitado|Восставший Лучник|復甦弓箭手|蘇ったアーチャー|되살아난 궁수|Auferstandener Bogenschütze|Archer ressuscité|Arquero Resucitado|Powstały Łucznik
e_burning_legion_3|Fallen Legion|Kaatunut legioonalainen|Legião Caída|Павший Легион|墮落軍團|死者軍団|전사한 군단병|Gefallener Legionär|Légionnaire déchu|Legión Caída|Upadły Legion
e_mummy_1|Mummy|Muumio|Múmia|Мамочка|木乃伊|ミイラ|미라|Mumie|Momie|Momia|Mumia
e_mummy_2|Deceased Demon|Demonivainaja|Demônio Falecido|Умерший Демон|亡魂惡魔|死去した悪魔|죽은 악마|Verstorbener Dämon|Démon trépassé|Demonio Fallecido|Zmarły Demon
e_mummy_3|Embalmed King|Palsamoitu kuningas|Rei Embalsamado|Забальзамированный Король|木乃伊王|エンバアルド・キング|미라가 된 왕|Einbalsamierter König|Roi embaumé|Rey Embalsamado|Zabalsamowany Król
e_desert_beast_1|Desert Beast|Aavikkopeto|Besta do Deserto|Пустынный Зверь|荒漠巨獸|砂漠の獣|사막 괴수|Wüstenbestie|Bête du désert|Bestia del Desierto|Pustynna Bestia
e_desert_beast_2|Sand Goliath|Hiekkagoljatti|Golias de Areia|Песчаный Голиаф|沙漠巨人|サンドゴリアテ|모래 골리앗|Sand-Goliath|Goliath des sables|Goliat de Arena|Piaskowy Goliat
e_desert_beast_3|Colossal Behemoth|Jättiläis Behemoth|Mastodonte Colossal|Колоссальный Бегемот|巨型貝希摩斯|巨大なビヒモス|거대 베히모스|Kolossaler Behemoth|Béhémoth colossal|Behemot Colosal|Kolosalny Behemot
e_earth_elemental_1|Earth Elemental|Maaelementaali|Elemental de Terra|Элементаль Земли|大地元素|アース・エレメンタル|대지의 정령|Erdelementar|Élémentaire de terre|Elemental de Tierra|Żywiołak Ziemi
e_earth_elemental_2|Monument of Stone|Kivimonumentti|Monumento de Pedra|Памятник из камня|巨石紀念碑|石のモニュメント|모뉴먼트|Denkmal aus Stein|Monument de pierre|Monumento de Piedra|Pomnik z Kamienia
e_earth_elemental_3|Avalachion|Maanvyöryttäjä|Avalachion|Авалахион|阿瓦拉奇翁|アバランチオン|아발라치언|Avalanchion|Avalachion|Avalachion|Avalachion
e_sand_wasp_1|Sand Wasp|Hiekka-ampiainen|Vespa da Areia|Песчаная Оса|沙漠黃蜂|砂のスズメバチ|모래 말벌|Sand-Wespe|Guêpe des sables|Avispa de Arena|Pustynna Osa
e_sand_wasp_2|Desert Bee|Aavikkomehiläinen|Abelha do Deserto|Пустынная Пчела|沙漠蜜蜂|砂漠の蜂|사막 벌|Wüsten-Biene|Abeille du désert|Abeja del Desierto|Pustynna Pszczoła
e_sand_wasp_3|Wasp Queen|Ampiaiskuningatar|Vespa Rainha|Королева ос|黃蜂后|スズメバチの女王|여왕 말벌|Wespenkönigin|Reine des guêpes|Reina Avispa|Królowa Os
e_dust_feeder_1|Dust Feeder|Tomunsyöjä|Comedor de Poeira|Пылеуловитель|食塵獸|ダスト・フィーダー|먼지 흡입자|Staubschlinger|Cracheur de poussière|Devorador de Polvo|Żywiciel Pyłu
e_dust_feeder_2|Devourer|Ahmija|Devorador|Пожиратель|吞噬者|デバウアー|포식귀|Verschlinger|Dévoreur|Devorador|Pożeracz
e_dust_feeder_3|Colossal Devourer|Jättiläisahmija|Devorador Colossal|Колоссальный Пожиратель|巨型吞噬者|巨大なデバウアー|거대 포식귀|Kolossaler Verschlinger|Dévoreur colossal|Devorador Colosal|Kolosalny Pożeracz
e_karp_1|Karp|Karppi|Carpa|Карп|卡普怪|カープ|잉어|Karpfen|Carpe commune|Carpa|Karp
e_karp_2|Frenzied Karp|Kiivastunut Karppi|Carpa Frenética|Взбешенный Карп|狂暴卡普怪|狂暴なカープ|발광 잉어|Rasender Karpfen|Carpe furieuse|Carpa Frenética|Oszałomiony Karp
e_karp_3|Karpoga|Karppinen|Karpoga|Карпога|卡普巨獸|カルポガ|잉오가|Karpoga|Carpoga|Karpoga|Karpoga
e_forest_wasp_1|Forest Wasp|Metsäampiainen|Vespa da Floresta|Лесная Оса|森林黃蜂|森のスズメバチ|포레스트 위습|Waldwespe|Guêpe forestière|Avispa del Bosque|Leśna Osa
e_forest_wasp_2|Toxic Stinger|Myrkyllinen piikki|Picada Venenosa|Ядовитое Жало|劇毒蜂針|毒針ストリンガー|톡식 스팅거|Giftiger Stachel|Dard toxique|Aguijón Tóxico|Toksyczne Żądło
e_forest_wasp_3|Furious Killerfly|Raivoisa tappajakärpänen |Abelha Furiosa Assassina|Разъяренная Муха - Убийца|狂暴殺人蜂|激怒のキラーフライ|퓨리어스 킬러플라이|Wütende Killerfliege|Tétranyque furieux|Mosca Asesina Furiosa|Wściekła Zabójcza Mucha
e_treasure_goblin_1|Treasure Goblin|Aarrepeikko|Goblin do Tesouro|Гоблин с Сокровищами|寶藏哥布林|トレジャー・ゴブリン|보물 고블린|Schatzgoblin|Gobelin au trésor|Goblin del Tesoro|Goblin Skarbów
e_treasure_goblin_2|Treasure Hoarder|Aarrehamstraaja|Colecionador de Tesouros|Кладоискатель сокровищ|寶藏囤積者|トレジャー・マスター|보물 찾기의 대가|Schatzhüter|Gardien du trésor|Acaparador de Tesoros|Zbieracz Skarbów
e_treasure_goblin_3|Treasure Master|Aarremestari|Mestre de Tesouros|Мастер Сокровищ|寶藏大師|トレジャー・ホーダー|보물 싹쓸이꾼|Schatzmeister|Argentier|Maestro del Tesoro|Mistrz Skarbów
e_goblinRune_1|Rune Goblin|Riimumaahinen|Goblin de Runas|Рунный гоблин|符文哥布林|ルーンゴブリン|룬 고블린|Runenkobold|Gobelin des runes|Goblin de Runas|Goblin Run
e_goblinRune_3|Rune Fiddler|Riimunvirkku|Violinista de Runas|Рунический скрипач|符文擺弄者|ルーンフィドラー|룬 피들러|Runengeiger|Manipulateur de runes|Manipulador de Runas|Fiddler Run
e_goblinShadow_1|Shadow Goblin|Varjomaahinen|Goblin das Sombras|Теневой гоблин|暗影哥布林|シャドウゴブリン|섀도우 고블린|Schattenkobold|Gobelin des ombres|Goblin de las Sombras|Cienisty Goblin
e_goblinShadow_3|Shadow Hoarder|Varjojen hamstraaja |Acumulador das Sombras|Теневой собиратель |暗影囤積者|シャドウホーダー|섀도우 호더|Schattenhorter|Accapareur d'ombres |Acaparador de las Sombras|Cienisty Zbieracz
e_goblinOre_3|Ore Goblin|Jalokivi Maahinen|Goblin de Minério|Рудный гоблин|礦石哥布林|鉱石ゴブリン|광석 고블린|Erz-Goblin|Gobelin des minerais|Duende mineral|Goblin Rudy
e_goblinOrb_3|Orb Goblin|Helmi Maahinen|Goblin de Orbe |Сферический гоблин |寶球哥布林|オーブゴブリン |구슬 고블린 |Kugel-Goblin|Gobelin orbe |Mosca|Goblin Orbu
e_fly_1|Fly|Kärpänen|Mosca|Летать|蒼蠅|ハエ|파리|Fliege|Mouche|Duende orbe|Mucha
e_fly_2|Frenzied Fly|Seonnut kärpänen|Mosca Frenética|Бешеная Муха|狂暴蒼蠅|狂暴なハエ|발광 파리|Rasende Fliege|Mouche frénétique|Mosca Frenética|Oszałomiona Mucha
e_fly_3|Diseased Mosquito|Tautinen sääski|Mosquito Doente|Больной Комар|瘟疫蚊子|病気にかかった蚊|질병 모기|Kranker Moskito|Moustique porteur de maladie|Mosquito Enfermo|Chora Komar
e_sheep_1|Sheep|Lammas|Ovelhas|Овцы|綿羊|シープ|양|Schaf|Mouton|Oveja|Owca
e_sheep_2|Chaos Mutton|Lammasmestari|Campeão das Ovelhas|Чемпион Овец|混沌綿羊|シープ・チャンピオン|챔피언 양|Schaf Champion|Mouton champion|Cordero del Caos|Chaosowe Mięso
e_sheep_3|Demonhorn Enforcer|Demonisarven Pakottaja|VExecutor do Chifre Demoníaco|Демонический Рог Инфорсер |魔角執法者|シープ・エラー|데몬혼 인포서|Dämonenhorn-Vollstrecker|Exécuteur de la Corne du Démon |Ejecutor Cuerno Demoníaco|Egzekutor Demonorogów
