[Video]|[en]|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
options_desc_font|Select an alternative text font.|Valitse vaihtoehtoinen tekstin kirjasin.|| Выберите альтернативный шрифт текста.|選擇替代文字字體。|代替テキストフォントを選択します。|대체할 텍스트 글꼴을 선택합니다.|Wählen Sie eine alternative Textschriftart aus.|Sélectionnez une police de texte alternative.
options_desc_cursor_size|Size of the ingame mouse cursor.|Pelin hiiren kursorin koko.|Tamanho do cursor in-game| Размер курсора игровой мыши.|遊戲中滑鼠遊標的大小。|ゲーム内のマウス カーソルのサイズ。|다른 텍스트 글꼴을 선택.|Größe des Mauszeigers im Spiel.|Taille du curseur de la souris dans le jeu.
options_desc_cursor_size_ps5|Size of the ingame cursor.||Tamanho do cursor no jogo.|Размер внутриигрового курсора.|遊戲內遊標大小。|ゲーム内カーソルのサイズ。|게임 내 커서 크기.|Größe des Ingame-Cursors.|Taille du curseur en jeu.|Tamaño del cursor en el juego. |Rozmiar kursora w grze.
options_desc_cursor_outline|Enable/disable mouse cursor outline.||Ativar/desativar contorno do cursor do mouse.|Включение/отключение контура курсора мыши.|啟用/停用滑鼠遊標輪廓。|マウスカーソルのアウトラインの表示/非表示。|마우스 커서 테두리 표시/해제.|Mauscursor-Umrandung aktivieren/deaktivieren.|Activer/désactiver le contour du curseur.|Activar/desactivar el contorno del cursor del ratón.|Włącz/wyłącz obrys kursora myszy.
options_desc_cursor_outline_color|Set mouse cursor outline color.||Definir cor do contorno do cursor do mouse.|Установка цвета контура курсора мыши.|設定滑鼠遊標輪廓顏色。|マウスカーソルのアウトラインの色を設定。|마우스 커서 테두리 색상 설정.|Farbe der Mauscursor-Umrandung festlegen.|Définir la couleur du contour du curseur.|Establecer el color del contorno del cursor del ratón.|Ustaw kolor obrysu kursora myszy.
options_desc_coop_camera_mode|Coop Camera Mode||Modo de câmera cooperativo.|Режим камеры для совместной игры.|合作視角模式|協力プレイカメラモード|협동 카메라 모드.|Koop-Kameramodus.|Mode caméra coopérative|Modo de cámara cooperativa.|Tryb kamery w kooperacji
options_desc_default|Set binds back to default values.|Set sitoutuu takaisin oletusarvoihin. |Definir as vinculações de volta aos valores padrão.| Верните привязки к значениям по умолчанию.|綁定鍵重置預設值。 |バインドをデフォルト値に戻します。 |바인드 설정을 기본값으로 되돌리기.|Setzt die Bindungen auf die Standardwerte zurück. |Réinitialiser les liaisons aux valeurs par défaut. 
|||||||||||
console|Console|Konsoli|Console| Консоль|控制台|コンソール|콘솔|Konsole|Console
brightness|Brightness|Kirkkaus|Brilho| Яркость|亮度|輝度|밝기|Helligkeit|Luminosité
contrast|Contrast|Kontrasti|Contraste| Контраст|對比度|対比|대비|Kontrast|Contraste
outlines|Outlines|Ääriviivat|Contorno| Контуры|輪廓|概要|윤곽선|Umrisse|Grandes lignes
show_experience|Show Experience|Näytä kokemuspisteet|Mostrar Experiência| Показать Опыт|顯示經驗|ショー体験|경험치 표시|Erfahrung anzeigen|Afficher l'expérience
show_fps|Show FPS|Näytä FPS|Mostrar FPS| Показать FPS|顯示幀率|FPS を表示|FPS 표시|FPS anzeigen|Afficher les FPS
combat_text_compress|Compress Combat Text|Lyhennä vahinkotekstit|Comprimir Texto de Combate| Сжать боевой текст|壓縮戰鬥文字|戦闘テキストを圧縮|전투 텍스트 압축|Kampftext komprimieren|Compresser le texte de combat
mobile_hold_delay|Inventory Hold Delay|Varaston pitoviive|Atraso de Retenção de Inventário| Задержка удержания инвентаря|庫存保留延遲|在庫保留遅延|인벤토리 유지 대기시간|Verzögerung der Bestandsreservierung|Délai de conservation des stocks
player_projectile_opacity_self|Skill Opacity (Self)|Taitojen läpinäkyvyys (itse)|Opacidade de Habilidades (própria)| Непрозрачность навыка (соло)|技能透明（自身|スキル不透明度（自分）|스킬 투명도 (자신)|Fertigkeitsopazität (Selbst)|Opacité de la compétence (Soi)
player_projectile_opacity_other|Skill Opacity (Party)|Taitojen läpinäkyvyys (juhla) |Opacidade de Habilidades (grupo)| Непрозрачность навыка (группа)|技能透明（隊友）|スキル不透明度（パーティ）|스킬 투명도 (파티)|Fähigkeitsopazität (Party)|Compétence Opacité (Groupe)
protanopia|Protanopia|Protanopia|Protanopia| Протанопия|红色盲|第一色覚|적색맹|Protanopie|Protanopie
deuteranopia|Deuteranopia|Deuteranopia|Deuteranopia| Дейтеранопия|绿色盲|2型盲|녹색맹|Deuteranopie|Deutéranopie
tritanopia|Tritanopia|Tritanopia|Tritanopia| Тританопия|偏盲|トリタノピア|청색맹|Tritanopie|Tritanopie
cursor_size|Cursor Size|Kursorin koko|Tamanho do Cursor| Размер курсора|鼠標大小|カーソルのサイズ|커서 크기|Cursorgröße|Taille du curseur
use_all_flasks|Use All Unique Flasks|Käytä kaikkia ainutlaatuisia pulloja|Use todos os frascos exclusivos| Используйте все уникальные зелья|使用所有獨特的藥劑瓶|すべてのユニークフラスコを使用する|모든 고유 플라스크 사용|Verwenden Sie alle einzigartigen Flaschen|Utiliser tous les flacons uniques
options_font|Font|Fontti|Fonte| Шрифт|字體|フォント|글꼴|Schriftart|Fonte
show_item_info|Show Item Information|Näytä tuotteen tiedot |Mostrar informações do item | Показать информацию о товаре|顯示物品資訊|アイテム情報を表示 |아이템 정보 표시|Artikelinformationen anzeigen |Afficher les informations sur l'article 
color_highlight|Loot Filter Highlight Color||||戰利品過濾器高亮顏色||||
cursor_outline|Cursor Outline|Kursorin ääriviivat|Contorno do cursor|Контур курсора|遊標輪廓|カーソルアウトライン|커서 윤곽선|Cursorkontur|Contour du curseur|Contorno del cursor|Kolor obrysu kursora
cursor_outline_color|Cursor Outline Color|Kursorin ääriviivan väri|Cor do contorno do cursor|Цвет контура курсора|遊標輪廓顏色|カーソルアウトラインの色|커서 윤곽선 색상|Cursorkonturfarbe|Couleur du contour du curseur|Color del contorno del cursor|Tryb kamery w kooperacji
coop_camera_mode|Coop Camera Mode||Modo de câmera cooperativa|Режим совместной камеры|合作相機模式|協力カメラモード|협동 카메라 모드|Koop-Kameramodus|Mode caméra coopérative|Modo de cámara cooperativa|Dynamiczny
dynamic|Dynamic||Dinâmico|Динамический|動態|ダイナミック|다이내믹|Dynamisch|Dynamique|Dinámico|Poziomy
horizontal|Horizontal||Horizontal|Горизонтальный|水平|水平|가로|Horizontal|Horizontal|Horizontal|PionowyGłówna głośność gry. Wszystkie pozostałe suwaki głośności są względem niej.
vertical|Vertical||Vertical |Вертикальный |垂直 |垂直 |세로 |Vertikal|Vertical |Vertical |Głośność muzyki w grze.
|||||||||||
[Audio]|||||||||||
options_desc_master_volume|The master volume of the game. All other volume sliders are relative to this one.|Pelin mestarivolyymi. Kaikki muut äänenvoimakkuuden liukusäätimet ovat suhteessa tähän.|O volume mestre do jogo. Todos os outros sliders de volume são relativos a esse.| Основная громкость игры. Все остальные ползунки громкости относительны этой.|遊戲的主音量。所有其他滑桿都與此滑桿相關。|ゲームのマスターボリューム。他のすべてのボリュームスライダーは、このスライダーを基準にしています。|게임의 전체 볼륨. 다른 볼륨 슬라이더는 모두 이 값을 기준으로 설정됩니다.|Die Hauptlautstärke des Spiels. Alle anderen Lautstärkeregler sind relativ zu diesem.|Le volume principal du jeu. Tous les autres curseurs de volume sont basés sur celui-ci.
options_desc_music_volume|The volume of music in the game.|Musiikin äänenvoimakkuus pelissä.|O volume da música do jogo.| Громкость музыки в игре.|遊戲中的音樂音量。|ゲーム内の音楽の音量。|게임 내 음악 볼륨.|Die Lautstärke der Musik im Spiel.|Le volume de la musique dans le jeu.
options_desc_ambient_volume|The volume of all ambient sounds of the game like wind and rain etc.|Pelin kaikkien ympäristön äänien, kuten tuulen ja sateen, äänenvoimakkuus.|O volume dos sons de ambeinte do jogo como vento e chuva etc.| Громкость всех окружающих звуков в игре, таких как ветер, дождь и т. д.|遊戲中所有環境聲音的音量，如風和雨等。|風や雨などのゲーム中のすべての環境音の音量。|바람, 비 등 게임 내 모든 환경음의 볼륨.|Die Lautstärke aller Umgebungsgeräusche des Spiels wie Wind und Regen usw.|Le volume de tous les sons ambiants du jeu, comme le vent, la pluie, etc.
options_desc_sound_volume|The volume of all sound effects.|Kaikkien äänitehosteiden äänenvoimakkuus.|O volume de todos os efeitos sonoros.| Громкость всех звуковых эффектов.|所有音效的音量。|すべての効果音の音量。|모든 사운드 효과 볼륨.|Die Lautstärke aller Soundeffekte.|Le volume de tous les effets sonores.
options_desc_loot_volume|The volume of all loot drops.|Kaikkien saaliiden määrä laskee.|O volume de todos os drops de loot.| Объем всей выпадающей добычи.|所有戰利品掉落的音量。|すべての戦利品ドロップの量。|모든 전리품 드랍 볼륨.|Die Menge aller Beuteabwürfe.|Le volume de tous sons de butins.
options_desc_hero_voice_volume|The volume of hero voice lines.|Sankarin äänilinjojen äänenvoimakkuus. |O volume das falas dos heróis.| Громкость реплик героев.|英雄台詞的音量。 |主人公のボイスラインの音量。 |영웅 음성 대사의 볼륨.|Die Lautstärke der Heldenstimmen. |Le volume des voix des héros.
|||||||||||
[Gameplay]|||||||||||
[Visual]|||||||||||
health_bar_scale|Health Bar Scale|Terveyspatukkavaaka|Escala da barra de saúde | Шкала здоровья|血量條規模|ヘルスバースケール|체력 바 크기|Gesundheitsbalkenskala|Échelle de barre de santé
show_enemy_hitbox|Show Enemy Attack Hitboxes|Näytä Enemy Attack Hitboxes|Mostrar Hitboxes de Ataques do Inimigo| Показать зоны поражения вражеских атак|顯示敵人攻擊命中框|敵の攻撃ヒットボックスを表示|적 공격 히트박스 표시|Hitboxen feindlicher Angriffe anzeigen|Afficher les hitbox des attaques ennemies
center_dps_meter|Center DPS counter|Keski DPS-laskuri|Centralizar contador de DPS| Центральный счетчик DPS|DPS計數器|中央DPSカウンター|DPS 카운터 중앙정렬|Mittlerer DPS-Zähler|Compteur DPS central
center_boss_cooldowns|Center Boss Cooldowns|Center Bossin jäähtyminen|Centralizar Tempos de Recarga de Chefes| Перезарядка центрального босса|BOSS技能冷卻|センターボスのクールダウン|보스 쿨다운 중앙 정렬|Abklingzeiten des Center-Boss|Temps de recharge du boss central
minimap_show_environment|Show Minimap Environment|Näytä Minimap Environment|Mostrar Ambiente no Minimapa| Показать окружение миниатюры|顯示小地圖|ミニマップ環境を表示|미니맵 환경 표시|Minimap-Umgebung anzeigen|Afficher l'environnement de la mini-carte
minimap_turboperformance|Minimap Turbo Performance|Minimap Turbo Performance|Performance Turbo do Minimapa| Турбопроизводительность миникарты|小地圖效能|ミニマップターボパフォーマンス|미니맵 터보 최적화|Minimap-Turbo-Leistung|Performances Turbo de la mini-carte
show_enemy_affix|Show Monster Affixes|Näytä Monster-liitteet|Mostrar afixos de monstros | Показать аффиксы монстров|顯示怪物詞綴|モンスターの接尾辞を表示|몬스터 속성 보기|Monster-Affixe anzeigen|Afficher les affixes des monstres
minimap_show_monsters|Show Monsters in Minimap||||在小地圖中顯示怪物|ドット戦闘テキストを表示|Dot 전투 텍스트 표시|||
show_dot|Show Dot Combat Text||||顯示持續傷害戰鬥文本|すべてのプレイヤーの名前の表示を有効/無効にします。|모든 플레이어의 이름 활성화/비활성화.|||
hover_tooltip|Hover Item Tooltip||||顯示物品工具框||||
options_desc_hover_tooltip|Enable/Disable hovering item name always shows tooltip.||||啟用/停用始終顯示物品名稱工具框|||||
options_desc_show_player_name|Enable/disable showing the name of all players.|Ota käyttöön/poista käytöstä kaikkien pelaajien nimien näyttäminen.|Ativa/Desativa mostrar o nome de todos os jogadores.| Включить/выключить отображение имен всех игроков.|啟用/停用顯示所有玩家的名稱。|すべてのプレイヤーの名前の表示を有効/無効にします。|모든 플레이어의 이름 활성화/비활성화.|Aktivieren/deaktivieren Sie die Anzeige der Namen aller Spieler.|Activer/désactiver l'affichage du nom de tous les joueurs.
options_desc_show_player_health|Enable/disable showing the life and mana bars of all players.|Ota käyttöön / poista käytöstä kaikkien pelaajien elämän- ja manapalkkien näyttäminen.|Ativa/Desativa mostrar a barra de vida e mana de todos os jogadores.| Включить/выключить отображение полосок жизни и маны всех игроков.|啟用/停用顯示所有玩家的生命值和魔法值欄。|すべてのプレイヤーのライフバーとマナバーの表示を有効/無効にします。|모든 플레이어의 생명력과 마나 바 활성화/비활성화.|Aktivieren/deaktivieren Sie die Anzeige der Lebens- und Manabalken aller Spieler.|Activer/désactiver l'affichage des barres de vie et de mana de tous les joueurs.
options_desc_show_loot_names|Enable/disable showing the names of all loot on the ground.|Ota käyttöön/poista käytöstä kaikkien maassa olevien saaliiden nimien näyttäminen.|Ativa/Desativa mostrar os nomes de todos os saques no chão.| Включить/выключить отображение названий всей добычи на земле.|啟用/停用顯示地面上所有戰利品的名稱。|地上にあるすべての戦利品の名前の表示を有効/無効にします。|땅에 떨어진 모든 전리품 이름 활성화/비활성화.|Aktivieren/deaktivieren Sie die Anzeige der Namen aller Beute auf dem Boden.|Activer/désactiver l'affichage des noms de tous les butins au sol.
options_desc_show_enemy_life|Enable/disable showing the life bar for enemies.|Ota käyttöön/poista käytöstä vihollisten elämäpalkin näyttäminen.|Ativa/Desativa mostrar a barra de vida dos inimigos.| Включить/выключить отображение шкалы здоровья врагов.|啟用/停用顯示敵人的生命值。|敵のライフバーの表示を有効/無効にします。|적의 생명력 바 활성화/비활성화.|Aktivieren/deaktivieren Sie die Anzeige der Lebensleiste für Feinde.|Activer/désactiver l'affichage de la barre de vie des ennemis.
options_desc_show_enemy_hitbox|Enable/disable showing enemy attack hitboxes|Ota käyttöön/poista käytöstä vihollisen hyökkäyksen osumalaatikoiden näyttäminen|Ativa/Desativa mostrar a hitbox de ataques inimigos.| Включить/выключить отображение хитбоксов атак противника|啟用/停用顯示敵方攻擊命中框|敵の攻撃ヒットボックスの表示を有効/無効にする|적 공격 히트박스 활성화/비활성화|Aktivieren/Deaktivieren der Anzeige von Hitboxen für feindliche Angriffe|Activer/désactiver l'affichage des hitbox d'attaque ennemie
options_desc_show_dps|Enable/disable the DPS counter tracking your damage dealt per second.|Ota käyttöön tai poista käytöstä DPS-laskuri, joka seuraa sekunnissa aiheutuneita vahinkoja.|Ativa/Desativa o contador de DPS monitorando o seu dano causado por segundo.|Включить/отключить счетчик DPS, отслеживающий наносимый вами урон в секунду.|啟用/停用DPS計數器，追蹤你每秒造成的傷害。|1 秒あたりに与えたダメージを追跡する DPS カウンターを有効/無効にします。|초당 피해량(DPS) 카운터 활성화/비활성화.|Aktivieren/deaktivieren Sie den DPS-Zähler, der Ihren pro Sekunde verursachten Schaden verfolgt.|Activez/désactivez le compteur DPS qui suit vos dégâts infligés par seconde.
options_desc_show_boss_skill_cooldowns|Enable/disable cooldown counters for boss skills.|Ota käyttöön/poista käytöstä pomotaitojen cooldown-laskurit.|Ativa/Desativa o contador de tempo de recarga dos chefes.| Включить/отключить счетчики перезарядки для навыков босса.|啟用/停用boss技能的冷卻計數器。|ボススキルのクールダウンカウンターを有効/無効にします。|보스 쿨다운 카운터 활성화/비활성화.|Aktivieren/Deaktivieren Sie Abklingzeitzähler für Boss-Fähigkeiten.|Activer/désactiver les compteurs de temps de recharge pour les compétences du boss.
options_desc_center_dps|Center the DPS counter position.|Keskitä DPS-laskurin paikka.|Ativa/Desativa o contador de DPS monitorando o seu dano causado por segundo.| Центрируйте позицию счетчика DPS.|DPS 計數器位置置中。|DPS カウンターの位置を中央にします。|DPS 카운터 중앙 정렬 활성화/비활성화|Zentrieren Sie die Position des DPS-Zählers.|Centrez la position du compteur DPS.
options_desc_center_boss_skill_cooldowns|Center boss cooldown counter position.|Keskipomo jäähdytyslaskurin asento.|Ativa/Desativa o contador de tempo de recarga dos chefes.| Положение счетчика времени восстановления центрального босса.|將BOSS技能冷卻計數器位置置中。|ボスのクールダウンカウンターの位置を中央にします。|보스 쿨다운 카운터 중앙 정렬 활성화/비활성화|Position des Abkühlungszählers im Mittelbereich des Bosses.|Position du compteur de temps de recharge du boss central.
options_desc_show_combat_text|Enable/disable floating combat text when taking or dealing damage.|Ota kelluva taisteluteksti käyttöön tai poista se käytöstä, kun otat tai jaat vahinkoa.|Ativa/Desativa texto de combate flutuante quando causa ou recebe dano.| Включить/отключить всплывающий текст боя при получении или нанесении урона.|在受到或造成傷害時啟用/停用浮動戰鬥文本。|ダメージを受けるとき、またはダメージを与えるときに、フローティング戦闘テキストを有効/無効にします。|데미지를 입거나 줄 때 표시되는 전투 텍스트를 활성화/비활성화|Aktivieren/deaktivieren Sie schwebenden Kampftext beim Erleiden oder Verursachen von Schaden.|Activer/désactiver le texte de combat flottant lorsque vous subissez ou infligez des dégâts.
options_desc_show_experience_gain|Enable/disable floating text for experience gain when killing enemies.|Ota kelluva teksti käyttöön tai poista se käytöstä saadaksesi kokemusta vihollisten tappamisesta.|Ativa/Desativa texto flutuante do ganho de experiência quando elimina montros.| Включить/отключить плавающий текст для получения опыта за убийство врагов.|在殺死敵人時啟用/停用浮動文字以獲得經驗。|敵を倒したときに経験値を獲得するためのフローティングテキストを有効/無効にします。|적을 처치할 때 경험치 획득 표시되는 텍스트를 활성화/비활성화|Aktivieren/deaktivieren Sie schwebenden Text zum Erfahrungsgewinn beim Töten von Feinden.|Activer/désactiver le texte flottant pour gagner de l'expérience lorsque vous tuez des ennemis.
options_desc_player_projectile_opacity_self|The opacity of your own skills and effects.|Omien taitojen ja vaikutusten läpinäkyvyys.|A opacidade de suas próprias habilidades e efeitos.| Непрозрачность ваших собственных навыков и эффектов.|你自己的技能和效果的透明性。|自分のスキルと効果の不透明度。|자신의 스킬과 이펙트 투명도|Die Undurchsichtigkeit der eigenen Fähigkeiten und Wirkungen.|L'opacité de vos propres compétences et effets.
options_desc_player_projectile_opacity_other|The opacity of party member skills and effects.|Puolueen jäsenten taitojen ja vaikutusten läpinäkyvyys.|A opacidade das habilidades e dos efeitos dos membros do grupo.| Непрозрачность навыков и эффектов членов группы.|隊友技能和效果的透明性。|パーティメンバーのスキルと効果の不透明度。|파티 멤버의 스킬과 이펙트 투명도|Die Undurchsichtigkeit der Fähigkeiten und Effekte der Gruppenmitglieder.|L'opacité des compétences et des effets des membres du groupe.
options_desc_minimap_show_environment|Show or Hide Environment objects such as trees and buildings in the minimap|Näytä tai piilota ympäristökohteet, kuten puut ja rakennukset minikartassa|Mostrar ou Ocultar objetos do ambiente, como árvores e construções, no minimapa| Показать или скрыть объекты окружающей среды, такие как деревья и здания, на мини-карте|在小地圖中顯示或隱藏環境對象，如樹木和建築物|ミニマップで木や建物などの環境オブジェクトを表示または非表示にします|미니맵에 나무와 건물과 같은 환경 객체를 표시하거나 숨깁니다.|Umgebungsobjekte wie Bäume und Gebäude in der Minikarte anzeigen oder ausblenden|Afficher ou masquer les objets d'environnement tels que les arbres et les bâtiments dans la minicarte
options_desc_minimap_turboperformance|Turboperformance for minimap. Increases FPS but lowers map updating frequency|Turboperformance minikartalle. Lisää FPS:ää, mutta alentaa kartan päivitystiheyttä|Desempenho turbo do minimapa. Aumenta o FPS, mas reduz a frequência de atualização do mapa| Турбопроизводительность для миникарты. Увеличивает FPS, но снижает частоту обновления карты|降低小地圖性能。增加FPS但降低地圖更新頻率|ミニマップのターボパフォーマンス。 FPSは向上するが、マップの更新頻度は低下する|미니맵을 위한 터보 성능. FPS는 증가시키지만, 맵 업데이트 빈도는 낮아집니다.|Turboleistung für die Minikarte. Erhöht die FPS, verringert aber die Häufigkeit der Kartenaktualisierung|Performances turbo pour la minicarte. Augmente le nombre d'images par seconde mais diminue la fréquence de mise à jour de la carte
options_desc_health_bar_scale|Change the size of your health bar.|Muuta terveyspalkin kokoa.|Altere o tamanho da sua barra de saúde.| Измените размер шкалы здоровья.|更改血量條的大小。|ヘルスバーのサイズを変更します。|당신 체력바의 크기 조절.|Ändern Sie die Größe Ihrer Gesundheitsleiste.|Modifiez la taille de votre barre de santé.
