|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
subVikingCharge01|Power Charge||||力量衝鋒||||
subDescVikingCharge13|Charge forward in a straight line unleashing a massive whirlwind around you.||||直線向前衝鋒, 在你周圍釋放出巨大的旋風。||||
subDescVikingCharge14|The mountain breaks and huge boulders fall down on monsters around you when crashing into monsters or terrain.||||當撞到怪物或地形時, 造成山崩, 巨石會落在你周圍的怪物身上。||||
subVikingOdinsFury01|Crippling Shout ||||致殘吶喊||||
subVikingOdinsFury02|Howling Cry ||||嚎叫哭泣||||
subVikingOdinsFury03|Mind Tactics||||心靈策略||||
subVikingOdinsFury04|Flaming Fury||||烈焰之怒||||
subVikingOdinsFury05|Echoing Roar||||迴響咆哮||||
subVikingOdinsFury06|Tormenting Shout||||折磨怒吼||||
subVikingOdinsFury07|Emotional Damage||||情感傷害||||
subVikingOdinsFury08|Echo of Duality||||雙重迴聲||||
subVikingOdinsFury09|Shout of the Hunt||||狩獵吶喊||||
subVikingOdinsFury10|Dominating Howl||||支配嚎叫||||
subVikingOdinsFury11|Warcry||||戰吼||||
subVikingOdinsFury12|Pulsing Echo||||脈衝迴聲||||
subVikingOdinsFury13|Trembling Roar||||顫抖咆哮||||
subVikingOdinsFury14|Roaring Carnage||||咆哮屠殺||||
subDescVikingOdinsFury01|Increases the damage dealt by odin´s fury.||||增加奧丁之怒造成的傷害。||||
subDescVikingOdinsFury02|Increases the stun duration of odin's fury.||||增加奧丁之怒的眩暈持續時間。||||
subDescVikingOdinsFury03|Decreases the mana cost of odin´s fury.||||降低奧丁之怒的法力消耗。||||
subDescVikingOdinsFury04|Inflicts burning on hit.||||擊中時造成燃燒。||||
subDescVikingOdinsFury05|Increases the area of effect radius of odin´s fury.||||增加奧丁之怒的影響範圍半徑。||||
subDescVikingOdinsFury06|Increases the damage of odin's fury based on your maximum life.||||根據你的最大生命值增加奧丁之怒的傷害。||||
subDescVikingOdinsFury07|Inflicts bleeding on hit.||||擊中時造成流血。||||
subDescVikingOdinsFury08|Chance on cast to unleash an additional shout.||||施放時有機率施放額外的呼喊。||||
subDescVikingOdinsFury09|Increases your movement speed for a short period of time after using odin's fury.||||使用奧丁之怒後短時間內提高你的移動速度。||||
subDescVikingOdinsFury10|Inflicts arcane break on hit.||||擊中時降低奧術抗性。||||
subDescVikingOdinsFury11|Odin’s fury now knocks back monsters and if they hit a wall or an object they take extra damage, get stunned and are pulled back to the player.||||奧丁的憤怒現在會擊退怪物, 如果它們撞到牆壁或物體, 它們會受到額外傷害, 被擊暈並被拉回玩家身邊。||||
subDescVikingOdinsFury12|Now performs an echoing shout pulsating multiple times dealing increased damage with each pulse.||||現在會發出多次脈衝的迴聲喊叫, 每次脈衝都會造成更大的傷害。||||
subDescVikingOdinsFury13|Gain a buff dealing extra damage to burning and bleeding monsters.||||獲得對燃燒和流血怪物造成額外傷害的增益效果。||||
subDescVikingOdinsFury14|Knock up monsters causing them to take damage when they land.||||擊倒怪物, 使其落地時受到傷害。||||
subVikingSeismicSlam01|Colossal Smash||||巨大粉碎||||
subVikingSeismicSlam02|Seismic Energy||||地震能量||||
subVikingSeismicSlam03|Lethal Crush||||致命粉碎||||
subVikingSeismicSlam04|Cheap Slam||||廉價猛擊||||
subVikingSeismicSlam05|Seismic Aftershock||||地震餘震||||
subVikingSeismicSlam06|Power Slam||||強力猛擊||||
subVikingSeismicSlam07|Earth Root||||大地根源||||
subVikingSeismicSlam08|Slamming Flurry||||猛擊亂舞||||
subVikingSeismicSlam09|Defiling Carcass||||玷污屍體||||
subVikingSeismicSlam10|Shattered Earth||||破碎大地||||
subVikingSeismicSlam11|Polar Shift||||極性位移||||
subVikingSeismicSlam12|Echoing Slam||||迴響猛擊||||
subVikingSeismicSlam13|Seismic Crack||||地震裂縫||||
subVikingSeismicSlam14|Younger Dryas||||新生||||
subDescVikingSeismicSlam01|Increases the area of effect radius of seismic slam.||||增加地震猛擊的影響半徑區域。||||
subDescVikingSeismicSlam02|Increases the damage dealt by seismic slam.||||增加地震猛擊造成的傷害。||||
subDescVikingSeismicSlam03|Increases critical strike damage dealt by seismic slam.||||增加地震猛擊造成的暴擊傷害。||||
subDescVikingSeismicSlam04|Increases damage dealt to stunned targets.||||增加對暈眩目標造成的傷害。||||
subDescVikingSeismicSlam05|Targets have a chance to slam the ground on death dealing area of effect damage.||||目標死亡時有機率猛擊地面, 造成一定範圍的傷害。||||
subDescVikingSeismicSlam06|Knocks targets back dealing increased damage.||||將目標擊退, 造成更高的傷害。||||
subDescVikingSeismicSlam07|Chance to root targets in place on hit dealing additional damage over time.||||有機率在擊中時將目標定身, 隨著時間的推移造成額外傷害。||||
subDescVikingSeismicSlam08|Chance on hit to increase your attack speed for a short duration.||||命中時有機率在短時間內提高攻擊速度。||||
subDescVikingSeismicSlam09|Hitting a corpse with seismic slam causes it to explode dealing increased area of effect damage to nearby targets.||||用地震猛擊擊中屍體會導致其爆炸, 對附近目標造成更大範圍的傷害。||||
subDescVikingSeismicSlam10|Chance to strike target with an earth pillar on hit knocking them airborne dealing additional damage.||||有機率用土柱擊中目標, 將其擊飛到空中, 造成額外傷害。||||
subDescVikingSeismicSlam11|Leap a short distance to smash the ground with massive force dealing increased damage with huge aoe. ||||跳躍一小段距離, 用巨大的力量粉碎地面, 造成更大的傷害和巨大的範圍傷害。||||
subDescVikingSeismicSlam12|Slam multiple waves on a short distance increasing damage with each wave.||||在短距離上猛擊多波, 增加每波的傷害。||||
subDescVikingSeismicSlam13|Now smash in front of you in a long narrow line knocking monsters in air causing them to unleash an aoe pulse upon landing.||||現在, 在你面前以一條狹長的線粉碎, 將怪物擊飛到空中, 使它們在落地時釋放出範圍脈衝。||||
subDescVikingSeismicSlam14|Smashing the ground now drops a massive asteroid from the sky sending a huge tsunami dealing increased damage. Seismic Slam now has a cooldown.||||現在, 一顆巨大的小行星從天上砸向地面, 引發巨大的海嘯, 造成更大的傷害. 地震猛擊現在有冷卻時間。||||
subVikingThrow01|Home Run||||全壘打||||
subVikingThrow02|Raging Power||||狂暴力量||||
subVikingThrow03|Power Throw||||強力投擲||||
subVikingThrow04|Colossal Liftoff||||巨大升空||||
subVikingThrow05|Flipper||||冒失||||
subVikingThrow06|Power Fall||||功率下降||||
subVikingThrow07|Breaking Fall||||跌倒||||
subVikingThrow08|Bouncing Around||||彈跳||||
subVikingThrow09|Bulls Eye||||靶心||||
subVikingThrow10|Dive Bomb||||俯衝炸彈||||
subVikingThrow11|Ragesling||||憤怒彈弓||||
subVikingThrow12|Vacuum Pitch||||真空投擲||||
subVikingThrow13|Dimensional Pitch||||空間投擲||||
subVikingThrow14|Echoing Throw||||迴響投擲||||
subDescVikingThrow01|Increases the range of throw.||||增加投擲範圍。||||
subDescVikingThrow02|Increases the damage dealt by throw.||||增加投擲造成的傷害。||||
subDescVikingThrow03|Increases the projectile speed of throw.||||增加投射物的投擲速度。||||
subDescVikingThrow04|Increases throw's damage by a portion of your maximum life.||||將最大生命值的一部分增加到投擲的傷害。||||
subDescVikingThrow05|Thrown monsters bounce off of walls increasing damage dealt with every bounce.||||投擲的怪物會從牆壁反彈, 每次反彈造成的傷害都會增加。||||
subDescVikingThrow06|Thrown monsters smash into the ground with force causing ground fragments to fly around dealing damage.||||被投擲的怪物強力撞擊地面, 導致地面碎片四處飛散, 造成傷害。||||
subDescVikingThrow07|Thrown monsters inflict arcane break on hit.||||投擲的怪物擊中時會造成奧術破壞。||||
subDescVikingThrow08|Thrown monster bounce off the ground dealing increased damage with every bounce.||||拋出的怪物從地面彈起, 每次彈起都會造成更多傷害。||||
subDescVikingThrow09|When directly hitting another monster, cause the monster to be knocked up dealing area of effect damage when landing.||||直接擊中其他怪物時, 使怪物落地時被擊飛, 造成一定範圍的傷害。||||
subDescVikingThrow10|Increases landing area of effect radius of throw.||||增加投擲效果半徑的著陸區域。||||
subDescVikingThrow11|Throws the monster faster, dealing massively increased damage to it and causing it to explode into meat chunks that deal damage to nearby monsters if it dies from the throw.||||更快地投擲怪物, 對其造成的傷害大幅增加, 並使其爆炸成肉塊, 如果它因投擲而死亡, 則會對附近的怪物造成傷害。||||
subDescVikingThrow12|When thrown monster lands it pulls nearby monsters towards it.||||當投擲的怪物落地時, 它會將附近的怪物拉向它。||||
subDescVikingThrow13|Additionally throw shadow copies of the monster with increased damage.||||另外投擲怪物的影子克隆會增加傷害。。||||
subDescVikingThrow14|When thrown monster lands it shocks the ground multiple times with increased damage.||||當投擲的怪物落地時, 它會多次震動地面並增加傷害。||||
subVikingZeal01|Rapid Striking||||快速打擊||||
subVikingZeal02|Fatal Blows||||致命一擊||||
subVikingZeal03|Weapon Marksman||||武器神射手||||
subVikingZeal04|Brutal Slashes||||殘酷的砍擊||||
subVikingZeal05|Axes, More Axes!||||斧頭,更多斧頭!||||
subVikingZeal06|Slicing Perfection||||完美切割||||
subVikingZeal07|Hemorrhaging Blows||||出血打擊||||
subVikingZeal08|Bleeding Out||||出血||||
subVikingZeal09|Finish Them!||||完結他們!||||
subVikingZeal10|Cleaving Zeal||||分裂狂熱||||
subVikingZeal11|Throwing Fury||||投擲憤怒||||
subVikingZeal12|Blood Ripple||||血波紋||||
subVikingZeal13|Sundering Strikes||||撕裂之擊||||
subVikingZeal14|Zealing Blow||||狂熱一擊||||
subDescVikingZeal01|Increases the amount of attacks done by zeal.||||增加狂熱造成的攻擊數量。||||
subDescVikingZeal02|Increases the damage dealt by zeal.||||增加狂熱所造成的傷害。||||
subDescVikingZeal03|Zeal now works with throwing weapons gaining increased attack range and damage.||||狂熱現在與投擲武器一起使用, 獲得更大的攻擊範圍和傷害。||||
subDescVikingZeal04|Increases critical strike damage dealt by zeal.||||增加狂熱造成的暴擊傷害。||||
subDescVikingZeal05|Chance to summon an orbiting axe around the target on hit.||||命中時有機率召喚圍繞目標旋轉的斧頭。||||
subDescVikingZeal06|Increases attack rating when using zeal.||||使用狂熱時增加攻擊命中率。||||
subDescVikingZeal07|Chance to inflict bleeding on hit.||||擊中時有機率造成流血。||||
subDescVikingZeal08|Increases damage dealt to bleeding targets.||||增加流血目標造成的傷害。||||
subDescVikingZeal09|Zeal now executes targets below a certain percentage of life.||||狂熱現在處刑低於一定生命百分比的目標。||||
subDescVikingZeal10|Zeal now always hits multiple targets with increased attack area of effect.||||狂熱現在總是能擊中多個目標, 並增加攻擊範圍。||||
subDescVikingZeal11|Zeal now throws multiple projectiles with increased damage when using throwing weapons.||||現在, 當使用投擲武器時, 狂熱會投擲多個投射物，傷害增加。||||
subDescVikingZeal12|Each strike has a chance to unleash a ripple of blood dealing area of effect damage.||||每次攻擊都有機率釋放出血波紋, 造成一定範圍的傷害。||||
subDescVikingZeal13|Zeal inflicts stacking armor break on the target increasing with each strike.||||狂熱對目標造成的護甲破壞隨著每次攻擊而增加||||
subDescVikingZeal14|Your last zeal strike deals increased damage stunning the target taunting nearby monsters.||||你的最後一次狂熱攻擊會造成更高的傷害, 使目標暈眩並嘲諷附近的怪物。||||
subVikingYmirsChampion01|Viking´s Carnage||||維京人大屠殺||||
subVikingYmirsChampion02|Raging Sustain||||持續狂暴||||
subVikingYmirsChampion03|Slashing Cleavers||||切割砍擊||||
subVikingYmirsChampion04|Rimeforged Hatchet||||霜鑄斧頭||||
subVikingYmirsChampion05|Ymir´s Focus||||尤彌爾的專注||||
subVikingYmirsChampion06|Expanding Territory||||擴張領土||||
subVikingYmirsChampion07|Rapid Spinning||||快速旋轉||||
subVikingYmirsChampion08|Frosted Blow||||結霜打擊||||
subVikingYmirsChampion09|Rending Hatchet||||撕裂斧頭||||
subVikingYmirsChampion10|Power of Multitude||||多數力量||||
subVikingYmirsChampion11|Collateral Damage||||附帶傷害||||
subVikingYmirsChampion12|Chainslicing Tomahawk||||鏈鋸戰斧||||
subVikingYmirsChampion13|Scattering Battlegear||||分散戰甲||||
subVikingYmirsChampion14|Shattering Axes||||粉碎斧頭||||
subDescVikingYmirsChampion01|Increases the damage dealt by ymir's champion.||||增加尤米爾的冠軍所造成的傷害。||||
subDescVikingYmirsChampion02|Increases the duration of axes.||||增加斧頭的持續時間。||||
subDescVikingYmirsChampion03|Increases the size of axes.||||增加斧頭的尺寸||||
subDescVikingYmirsChampion04|Increases damage dealt to frozen targets.||||增加對冰凍目標造成的傷害。||||
subDescVikingYmirsChampion05|Increases attack rating when using ymir's champion.||||使用尤米爾的冠軍時提高攻擊命中率。||||
subDescVikingYmirsChampion06|Increases the orbit radius of axes.||||增加斧頭的軌道半徑。||||
subDescVikingYmirsChampion07|Increases the projectile speed of axes.||||增加斧頭的投射速度。||||
subDescVikingYmirsChampion08|Chance to unleash an ice nova on hit.||||命中時有機率釋放冰霜新星。||||
subDescVikingYmirsChampion09|Increases critical strike damage dealt by ymir's champion.||||提高尤米爾的冠軍造成的暴擊傷害。||||
subDescVikingYmirsChampion10|Increases axes amount but damage dealt is split between axes summoned.||||增加斧頭數量, 但造成的傷害會在召喚的斧頭之間分配。||||
subDescVikingYmirsChampion11|Whenever the axes hit a target they send another piercing axe outwards in a straight line towards the target.||||每當斧頭擊中目標時, 它們就會向目標直線向外發射另一把穿透斧。||||
subDescVikingYmirsChampion12|Axes now chain through monsters and then return back to you dealing damage to monsters in its path.||||斧頭現在會穿過怪物, 然後返回給你, 對其路徑上的怪物造成傷害。||||
subDescVikingYmirsChampion13|Axes now fly into a random spot in a cone in front of you and start spinning on the ground dealing increased damage.||||斧頭現在飛入你面前的圓錐體中的隨機點, 並開始在地面上旋轉, 造成更大的傷害||||
subDescVikingYmirsChampion14|At the end of their duration the axes shatter into weapon shards dealing additional damage.||||在其持續時間結束時, 斧頭會碎成武器碎片, 造成額外傷害。||||
subVikingWhirlwind01|Sharp Winds||||疾風||||
subVikingWhirlwind02|Wounding Spin||||創傷旋轉||||
subVikingWhirlwind03|Deadly Blow||||致命一擊||||
subVikingWhirlwind04|Typhoon||||颱風||||
subVikingWhirlwind05|Airborne Debris||||空氣碎片||||
subVikingWhirlwind06|Cycloning Step||||旋風步伐||||
subVikingWhirlwind07|Second Wind||||第二次風||||
subVikingWhirlwind08|Burning Air||||燃燒空氣||||
subVikingWhirlwind09|Trail of Fire||||火之軌跡||||
subVikingWhirlwind10|Scorching Heat||||熱氣||||
subVikingWhirlwind11|Sharpened Blades||||鋒利刀片||||
subVikingWhirlwind12|Detonation||||爆炸||||
subVikingWhirlwind13|Negative Pressure||||負壓||||
subVikingWhirlwind14|Airborne||||飛燕||||
subDescVikingWhirlwind01|Increases attack rating when using whirlwind.||||使用旋風斬時增加攻擊命中率。||||
subDescVikingWhirlwind02|Increases the damage dealt by whirlwind.||||增加旋風斬造成的傷害。||||
subDescVikingWhirlwind03|Increases critical strike damage when using whirlwind.||||使用旋風斬時增加暴擊傷害。||||
subDescVikingWhirlwind04|Increases the area of effect radius of whirlwind.||||增加旋風斬的作用半徑。||||
subDescVikingWhirlwind05|Increases the critical strike chance when using whirlwind.||||增加使用旋風斬時的致命一擊幾率。||||
subDescVikingWhirlwind06|Increases your movement speed while using whirlwind.||||使用旋風斬時提高移動速度。||||
subDescVikingWhirlwind07|Chance on hit to unleash a twister.||||命中時有機率釋放龍捲風。||||
subDescVikingWhirlwind08|Chance on hit to inflict burning dealing damage based on your total attack speed.|||Вероятность поджога при попадании зависит от вашей общей скорости атаки. |根據你的總攻擊速度，擊中時有一定機率造成燃燒傷害|攻撃速度に応じてバーン（燃焼）を付与する確率がある|전체 공격 속도에 따라 화상을 입힐 확률이 있습니다. |||
subDescVikingWhirlwind09|Leave a trail of fire behind you inflicting monsters with burning.||||在你身後留下一道火跡, 使怪物燃燒。||||
subDescVikingWhirlwind10|Increases damage dealt to burning targets.||||增加對燃燒目標造成的傷害。||||
subDescVikingWhirlwind11|Greatly increases area of effect radius dealing increased damage at the outer edge. ||||大幅增加效果半徑範圍, 對外緣造成更大的傷害。||||
subDescVikingWhirlwind12|Store damage dealt to monsters unleashing it when whirlwind ends dealing damage on a large radius around you.||||當旋風結束對你周圍大範圍造成傷害時, 儲存對釋放它的怪物造成的傷害。||||
subDescVikingWhirlwind13|monsters at the edge of the whirlwind radius are sucked within the whirlwind.||||旋風半徑邊緣的怪物會被吸入旋風之中。||||
subDescVikingWhirlwind14|Knock monsters high into air causing them to take increased damage upon landing.||||將怪物擊飛到空中, 使它們在落地時受到更大的傷害。||||
subVikingShockwave01|Richter Scale||||黎氏震級規模||||
subVikingShockwave02|Earth Shaker||||撼地者||||
subVikingShockwave03|Ground Fissure||||大地裂縫||||
subVikingShockwave04|Shocking Crust||||地殼震盪||||
subVikingShockwave05|Multi Trail||||複數路徑||||
subVikingShockwave06|Cracked Earth||||破裂大地||||
subVikingShockwave07|Meteorology||||氣象||||
subVikingShockwave08|Duck and Cover||||鴨子和蓋子||||
subVikingShockwave09|Afterquake||||震後||||
subVikingShockwave10|Land Mass||||土地彌撒||||
subVikingShockwave11|Trembling Trail||||顫抖蹤跡||||
subVikingShockwave12|Cataclysmic Smash||||災難性粉碎||||
subVikingShockwave13|Forking Crust||||分叉殼||||
subVikingShockwave14|Earthen Maelstrom||||土之漩渦||||
subDescVikingShockwave01|Increases shockwave travel distance.||||增加衝擊波傳播距離。||||
subDescVikingShockwave02|Increases the damage dealt by shockwave.||||增加衝擊波造成的傷害||||
subDescVikingShockwave03|Chance on hit to knockup monsters dealing additional damage.||||擊中怪物時有幾率造成額外傷害||||
subDescVikingShockwave04|Increases critical strike damage dealt by shockwave.||||增加衝擊波造成的暴擊傷害。||||
subDescVikingShockwave05|Adds an additional trail but decreases damage dealt by each shockwave.||||添加額外的軌跡, 但減少每個衝擊波造成的傷害。||||
subDescVikingShockwave06|Chance to inflict armor break on hit.||||擊中時有機率造成護甲破壞。||||
subDescVikingShockwave07|Chance on hit to drop a meteor on the target dealing additional damage.||||擊中時有機率向目標投下一顆流星, 造成額外傷害。||||
subDescVikingShockwave08|Increases damage dealt to stunned targets.||||增加對暈眩目標造成的傷害。||||
subDescVikingShockwave09|Chance on cast to unleash an additional shockwave.||||施法時有機率釋放額外的衝擊波||||
subDescVikingShockwave10|Increases the area of effect radius of shockwave.||||增加衝擊波的作用半徑範圍。||||
subDescVikingShockwave11|Smash the ground in front of you creating a shockwave that travels a short distance and then splits into all directions.||||粉碎你面前的地面, 產生衝擊波, 傳播一小段距離, 然後分裂到各個方向。||||
subDescVikingShockwave12|Smashing the ground now creates shockwaves in every direction. Shockwave now has a cooldown.||||粉碎地面現在會在各個方向產生衝擊波. 衝擊波現在有冷卻時間。||||
subDescVikingShockwave13|Each wave has a chance to fork into a new trail.||||每波浪潮都有機率開闢新的道路。||||
subDescVikingShockwave14|Shockwaves twirl outwards around you dealing increased damage.||||衝擊波在你周圍向外旋轉, 造成更大的傷害。||||
subVikingBerserk01|Insanity||||瘋狂||||
subVikingBerserk02|Restless Feet||||不安的腳||||
subVikingBerserk03|Dual Swing||||雙重擺動||||
subVikingBerserk04|Fearless Focus||||無畏專注||||
subVikingBerserk05|Brutalize||||殘酷化||||
subVikingBerserk06|Axe Throw||||斧頭投擲||||
subVikingBerserk07|Bursting Madness||||瘋狂爆發||||
subVikingBerserk08|Berserker´s Reach||||狂戰士範圍||||
subVikingBerserk09|Heavy Hitter||||重磅擊球手||||
subVikingBerserk10|Bring Me Another One!||||再給我來一份！||||
subVikingBerserk11|Berserker´s Insanity||||狂戰士瘋狂||||
subVikingBerserk12|Deadly Advantage||||致命優勢||||
subVikingBerserk13|GRAAAAAGH!||||GRAAAAAGH!||||
subVikingBerserk14|Giant´s Grasp||||巨人之握||||
subDescVikingBerserk01|Increases the damage dealt by berserk.||||增加狂暴造成的傷害。||||
subDescVikingBerserk02|Increases the movement speed bonus from berserk.||||增加狂暴時的移動速度加成。||||
subDescVikingBerserk03|Chance on attack to perform an additional attack.||||攻擊時有機率進行額外攻擊。||||
subDescVikingBerserk04|Increases attack rating when using berserk.||||使用狂暴時提高攻擊命中率。||||
subDescVikingBerserk05|Chance to strike the monster with force causing pieces of it to scatter around and damage nearby targets.||||有機率用力量攻擊怪物, 使其碎片散落並傷害附近的目標。||||
subDescVikingBerserk06|Chance on hit to throw a piercing axe towards your target inflicting armor break to all monsters hit.||||擊中時有機率向目標投擲一把穿透斧頭, 對所有擊中的怪物造成護甲破壞。||||
subDescVikingBerserk07|Every strike now stacks to an additional buff unleashing a powerful area of effect pulse when reaching max stacks.||||現在, 每次攻擊都會疊加額外的增益, 在達到最大疊加層數時釋放出強大的效果脈衝區域。||||
subDescVikingBerserk08|Chance on berserk attack to increase its area of effect.||||狂暴攻擊有幾率擴大其影響範圍。||||
subDescVikingBerserk09|Increases critical strike damage dealt when using berserk.||||增加使用狂暴時造成的暴擊傷害。||||
subDescVikingBerserk10|Pull nearby monsters to the targets corpse on kill.||||殺死時將附近的怪物拉到目標屍體上。||||
subDescVikingBerserk11|Increases berserk stat bonuses and max stacks.||||增加狂暴增益效果和最大層數。||||
subDescVikingBerserk12|Berserk no longer requires a melee weapon dealing increased damage.||||狂暴不再需要造成更高傷害的近戰武器。||||
subDescVikingBerserk13|Every time you reach full stacks unleash a trembling pulse dealing increased damage scaling with full stat scaling consuming all stacks.||||每次達到滿堆疊時, 都會釋放出顫抖的脈衝, 造成更大的傷害縮放, 並消耗所有層數的能力加乘。||||
subDescVikingBerserk14|Increases the power of attack damage from berserk stacks lowering attack speed scaling.||||增加狂暴疊加的攻擊力, 降低攻擊速度。||||
subPyromancerBlazingTrail01|Timed Fire||||定時開火||||
subPyromancerBlazingTrail02|Scorch||||燒焦||||
subPyromancerBlazingTrail03|Expanded Flames||||擴大的火焰||||
subPyromancerBlazingTrail04|Flaming Steps||||燃燒步伐||||
subPyromancerBlazingTrail05|Agonizing Heat||||極度炎熱||||
subPyromancerBlazingTrail06|Combusting Flames||||燃燒火焰||||
subPyromancerBlazingTrail07|Burning Veins||||燃燒靜脈||||
subPyromancerBlazingTrail08|Paralyzing Fire||||麻痺之火||||
subPyromancerBlazingTrail09|Crackling Heat||||爆裂熱浪||||
subPyromancerBlazingTrail10|Fueled Flames||||火焰燃料||||
subPyromancerBlazingTrail11|Forking Flames||||分叉火焰||||
subPyromancerBlazingTrail12|Circle of Fire||||火圈||||
subPyromancerBlazingTrail13|Trail of Comets||||彗星蹤跡||||
subPyromancerBlazingTrail14|Detonation Field||||爆炸場||||
subDescPyromancerBlazingTrail01|Increases the duration of blazing trail.||||增加熾烈蹤跡的持續時間||||
subDescPyromancerBlazingTrail02|Increased the damage dealt by blazing trail.||||增加了熾烈蹤跡造成的傷害。||||
subDescPyromancerBlazingTrail03|Increases the area of effect radius of blazing trail.||||增加熾烈蹤跡的影響半徑範圍。||||
subDescPyromancerBlazingTrail04|Increases your movement speed while blazing trail is active.||||啟動熾烈蹤跡時提高你的移動速度。||||
subDescPyromancerBlazingTrail05|Increases damage dealt to burning targets.||||增加對燃燒目標造成的傷害。||||
subDescPyromancerBlazingTrail06|Trails inflict burning on hit.||||蹤跡擊中時會造成燃燒。||||
subDescPyromancerBlazingTrail07|Trails inflict fire break on hit.||||蹤跡擊中時會降低火焰抗性。||||
subDescPyromancerBlazingTrail08|Trails inflict slow on hit.||||蹤跡命中會造成減速。||||
subDescPyromancerBlazingTrail09|Chance of trails to pulsate every second.||||蹤跡每秒都有脈衝的機率。||||
subDescPyromancerBlazingTrail10|Increases the tick rate of blazing trail.||||增加熾熱蹤跡的傷害頻率。||||
subDescPyromancerBlazingTrail11|Trails have a chance to fork.||||蹤跡有機率分叉。||||
subDescPyromancerBlazingTrail12|You now send trails of fire outwards to all directions.||||現在你可以向四面八方發射熾烈蹤跡。||||
subDescPyromancerBlazingTrail13|Now drops comets that explode into flames.||||現在會掉落彗星, 這些彗星會爆炸成火焰。||||
subDescPyromancerBlazingTrail14|Instead of flames now leaves behind fiery mines exploding into flaming fissures.||||現在留下的不再是火焰, 而是熾熱的地雷爆炸成燃燒的裂縫。||||
subPyromancerPhoenixFlight01|Flaming Pecker||||火焰啄木鳥||||
subPyromancerPhoenixFlight02|Swift Flight||||迅捷飛行||||
subPyromancerPhoenixFlight03|Scorching Fury||||灼熱之怒||||
subPyromancerPhoenixFlight04|Infused Flames||||注入火焰||||
subPyromancerPhoenixFlight05|Searing Touch||||灼熱之觸||||
subPyromancerPhoenixFlight06|Burning Screech||||燃燒尖叫||||
subPyromancerPhoenixFlight07|Collateral Burning||||附帶燃燒||||
subPyromancerPhoenixFlight08|Afterburn||||燃燒後||||
subPyromancerPhoenixFlight09|Molten Feathers||||熔火羽毛||||
subPyromancerPhoenixFlight10|Mental Heat||||精神熱度||||
subPyromancerPhoenixFlight11|Rise from the Ashes||||從灰燼中崛起||||
subPyromancerPhoenixFlight12|Seed of Fulmination||||暴怒種子||||
subPyromancerPhoenixFlight13|Wings of the Phoenix||||鳳凰之翼||||
subPyromancerPhoenixFlight14|Burning Wings||||燃燒之翼||||
subDescPyromancerPhoenixFlight01|Increases the damage dealt by phoenix flight.||||增加鳳凰飛行造成的傷害。||||
subDescPyromancerPhoenixFlight02|Increases flight speed of phoenix flight.||||增加鳳凰飛行的飛行速度。||||
subDescPyromancerPhoenixFlight03|Unleash fireballs in a circle around you when landing.||||著陸時在你周圍釋放火球。||||
subDescPyromancerPhoenixFlight04|Gain increased fire skill damage for a short period when crashing into monsters.||||撞上怪物時，短時間內獲得更高的火焰技能傷害。||||
subDescPyromancerPhoenixFlight05|Chance to unleash searing chains when flying through monsters.||||飛過怪物時有機率釋放灼熱鎖鏈。||||
subDescPyromancerPhoenixFlight06|Increases landing nova area of effect.||||增加著陸時新星的影響範圍。||||
