[quest]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
|||||||||||
[TUTORIAL]|||||||||||
quest_name_1|Skills and Stats||Habilidades e Atributos| Навыки и статистика|技能和屬性|スキルとステータス|스킬과 능력치||
quest_description_2_3|Pick up the key, open your Inventory by tapping the [c_coin]Inventory[c_reset] icon in the UI and tap the key ring. Then proceed towards north to open the Golden Chest by the well.|||Подберите ключ, откройте инвентарь, нажав значок [c_coin]Инвентарь[c_reset] в интерфейсе, и нажмите на связку ключей. Затем направляйтесь на север, чтобы открыть Золотой сундучок у колодца.|拾取鑰匙，點擊介面中的[c_coin]背包[c_reset]圖示開啟你的物品欄，並點擊鑰匙圈。隨後往北移動，開啟井邊的黃金寶箱。||열쇠를 획득하고, UI의 [c_coin]인벤토리[c_reset] 아이콘을 눌러 인벤토리를 연 뒤 열쇠고리를 누르세요. 그다음 북쪽으로 이동하여 우물 옆에 있는 황금 상자를 여세요. |||Recoge la llave, abre tu Inventario tocando el ícono [c_coin]Inventario[c_reset] en la interfaz y toca el llavero. Luego dirígete al norte para abrir el Cofre Dorado junto al pozo.|
quest_objective_2_1|Pick up the Key||Pegue a chave| Подними ключ|拿起鑰匙|鍵を拾う|열쇠를 주우세요||
quest_objective_2_2|Open Key Ring in the Inventory||Abra o chaveiro no inventário| Открыть связку ключей в инвентаре|在背包中打開鑰匙欄位|インベントリでキーリングを開く|인벤토리에서 열쇠 고리창을 여세요||
quest_objective_2_3|Open Chest by the well in north||Baú aberto ao lado do poço no norte| Открытый сундук у колодца на севере|打開北邊井旁的箱子|北の井戸そばの宝箱を開ける|북쪽 우물 옆에 있는 상자를 여세요||
quest_name_4|Bunny Hopping||Pulos de Coelho| Прыжки кролика|跳躍|バニーホッピング|버니 합||
quest_description_4|Land on these indicators! Its easy! Just press ”Space” and your character will land on your cursors location!||"Pouse nesses indicadores! É fácil! Basta pressionar ""Espaço"" e seu personagem aterrissará no local do cursor!"| Приземлитесь на эти указатели! Это просто! Просто нажмите «Пробел», и ваш персонаж приземлится на место, где находится ваш курсор!|這很容易! 只需按下“空格”, 你的角色就會落在你的鼠標位置!|これらのマーカーに着地しよう！簡単だよ！「スペース」キーを押すだけで、キャラクターがカーソルの位置に着地する！|표시된 지점에 착지하세요! 아주 쉬워요! 스페이스바를 누르면 캐릭터가 커서 위치로 점프해 착지합니다!||
quest_description_4_2|Land on these indicators! Its easy! Just press [c_coin][input_jump][c_reset] in order to jump towards the direction you are facing!||Aterre nesses indicadores! É fácil! Basta pressionar [c_coin][input_jump][c_reset] para pular na direção em que você está olhando!|Приземлитесь на эти индикаторы! Это легко! Просто нажмите [c_coin][input_jump][c_reset], чтобы прыгнуть в направлении, в котором вы смотрите!|落在這些指示器上！很簡單！只需按下 [c_coin][input_jump][c_reset] 即可向你面向的方向跳躍！|これらのインジケーターに着地しましょう！簡単です！[c_coin][input_jump][c_reset]を押すだけで、向いている方向にジャンプします！|이 표시 위에 착지하세요! 아주 쉽습니다! [c_coin][input_jump][c_reset]을 눌러 바라보는 방향으로 점프하세요!|Lande auf diesen Markierungen! Ganz einfach! Drücke einfach [c_coin][input_jump][c_reset], um in die Richtung zu springen, in die du schaust!|Atterrissez sur ces indicateurs ! C'est facile ! Appuyez simplement sur [c_coin][input_jump][c_reset] pour sauter dans la direction où vous regardez !|¡Aterriza en estos indicadores! ¡Es fácil! Solo presiona [c_coin][input_jump][c_reset] para saltar en la dirección en la que estás mirando.|Wyląduj na tych wskaźnikach! To łatwe! Po prostu naciśnij [c_coin][input_jump][c_reset], aby skoczyć w kierunku, w którym patrzysz!
quest_description_4_3|Land on these indicators! Its easy! Just tap the [c_coin][input_jump][c_reset] button in order to jump towards the direction you are facing!|||Приземляйтесь на эти указатели! Это легко! Просто нажмите кнопку [c_coin][input_jump][c_reset], чтобы прыгнуть в направлении, куда вы смотрите!|踩上這些指示標記！這很簡單！只需點擊[c_coin][input_jump][c_reset]按鈕，即可朝你面向的方向跳躍！||이 표시 위로 착지하세요! 정말 쉽습니다! 바라보고 있는 방향으로 점프하려면 [c_coin][input_jump][c_reset] 버튼을 누르기만 하면 됩니다!|||¡Aterriza sobre estos indicadores! ¡Es fácil! ¡Solo toca el botón [c_coin][input_jump][c_reset] para saltar en la dirección hacia la que estás mirando!|
quest_objective_4_1|Jumps performed||Saltos realizados| Прыжки выполнены|進行跳躍|ジャンプ回数|점프 수행 횟수||
quest_name_5|Rotten and moldy firewood||Lenha podre e mofada| Гнилые и заплесневелые дрова|腐爛發霉的柴火|腐ったカビだらけの薪|썩어 곰팡이가 핀 장작||
quest_description_5|Make firewood out of that beast! The corrupted ent is located north east.||Faça lenha dessa fera! O ent corrompido está localizado a nordeste.| Из этого зверя дрова наделай! Оскверненный энт находится на северо-востоке.|把那頭野獸當作柴火！那頭腐爛的野獸位於東北方|あの獣から薪を作ろう！汚染されたエントは北東にいる。|저 괴물을 장작으로 만들어버리세요! 타락한 엔트는 북동쪽에 있습니다.||
quest_objective_5_1|Scorchwood Slain||Madeira Chamuscada morto| Скорчвуд убит|殺死焚木|スコーチウッド討伐数|스코치우드 처치||
quest_name_6|Adventurer´s Journal||Diário do Aventureiro|Журнал искателя приключений|冒險者日誌|冒険者の日誌|모험가의 일지|Abenteurertagebuch|Journal de l'aventurier|Diario del Aventurero|Dziennik Przygodnika
quest_description_6|Access the journal by pressing [c_coin][input_pause_menu][c_reset] and open the journal. In the journal you can find explanations for different mechanics, crafting recipes, prospecting recipes, runeword combinations, items and relics!||Acesse o diário pressionando [c_coin][input_pause_menu][c_reset] e abra-o. No diário, você encontrará explicações sobre diferentes mecânicas, receitas de criação, receitas de prospecção, combinações de palavras rúnicas, itens e relíquias!|Открыть журнал можно, нажав [c_coin][input_pause_menu][c_reset]. В журнале вы найдете объяснения различных механик, рецепты крафта, рецепты поиска ресурсов, комбинации рунных слов, предметы и реликвии!|按下 [c_coin][input_pause_menu][c_reset] 即可開啟日誌。日誌中包含各種機制的說明、製作配方、勘探配方、符文之語組合、物品和遺物的相關資訊！|[c_coin][input_pause_menu][c_reset]を押して日誌を開くと、日誌にアクセスできます。日誌には、様々なゲームシステムの説明、クラフトレシピ、採掘レシピ、ルーンワードの組み合わせ、アイテム、遺物などが掲載されています！|[c_coin][input_pause_menu][c_reset] 키를 눌러 일지를 열어보세요. 일지에는 다양한 게임 메커니즘, 제작법, 채집법, 룬워드 조합, 아이템 및 유물에 대한 설명이 담겨 있습니다!|Öffne das Tagebuch, indem du [c_coin][input_pause_menu][c_reset] drückst. Im Tagebuch findest du Erklärungen zu verschiedenen Spielmechaniken, Handwerksrezepten, Prospektionsrezepten, Runenwortkombinationen, Gegenständen und Relikten!|Accédez au journal en appuyant sur [c_coin][input_pause_menu][c_reset] et ouvrez-le. Vous y trouverez des explications sur différentes mécaniques de jeu, des recettes d'artisanat et de prospection, des combinaisons de runes, ainsi que des informations sur les objets et les reliques !|Accede al diario pulsando [c_coin][input_pause_menu][c_reset] y ábrelo. En él encontrarás explicaciones de diferentes mecánicas, recetas de crafteo, recetas de prospección, combinaciones de runas, objetos y reliquias.|Uzyskaj dostęp do dziennika naciskając [c_coin][input_pause_menu][c_reset] i otwórz dziennik. W dzienniku znajdziesz wyjaśnienia różnych mechanik, przepisów rzemieślniczych, przepisów na poszukiwanie, kombinacji runewordów, przedmiotów i reliktów!
quest_description_6_3|Access the journal by tapping the [c_coin]Pause[c_reset] icon in the UI and tap the book icon to open your journal. In the journal you can find explanations for different mechanics, crafting recipes, prospecting recipes, runeword combinations, items and relics!|||Получите доступ к журналу, нажав значок [c_coin]Пауза[c_reset] в интерфейсе и нажав значок книги, чтобы открыть журнал. В журнале вы можете найти объяснения различных механик, рецептов крафта, рецептов поиска полезных ископаемых, комбинаций рунных слов, предметов и реликвий!|通过点击用户界面中的[c_coin]暂停[c_reset]图标进入日志，然后点击书本图标即可打开你的日志。在日志中，你可以找到不同机制、制作配方、勘探配方、符文词缀组合、物品和遗迹的说明！||UI의 [c_coin]일시정지[c_reset] 아이콘을 누른 뒤 책 아이콘을 터치하여 일지를 열어보세요. 일지에서는 다양한 시스템 설명, 제작 레시피, 채광/채굴 레시피, 룬어 조합법, 아이템 및 유물에 대한 정보를 확인할 수 있습니다!|||Accede al diario tocando el ícono [c_coin]Pausa[c_reset] en la interfaz y luego toca el ícono del libro para abrirlo. En el diario encontrarás explicaciones sobre distintas mecánicas, recetas de fabricación, recetas de prospección, combinaciones de palabras rúnicas, objetos y reliquias.|
quest_objective_6_1|Open the journal||Abrir o diário |Открыть журнал |打開日誌 |日誌を開く |일지 열기 |Öffne das Tagebuch|Ouvrir le journal |Abre el diario |Otwórz dziennik
quest_name_18|Learn to mine|Louhitaan|Aprenda a minerar| Научитесь добывать|學習挖礦|鉱山を学ぶ|채광 배우기|Lerne meine|On rentre du boulot
quest_description_18|Mine copper ore on normal difficulty.|Louhi kuparimalmia normaalilla vaikeusasteella.|Minere minério de cobre na dificuldade normal.| Добывайте медную руду на обычном уровне сложности.|在普通難度開採銅礦。|銅鉱石を通常の難易度で鉱山します。|정상적인 난이도에서 구리 광석 채광.|Minen Sie Kupfererz auf normalem Schwierigkeitsgrad.|Extraire du minerai de cuivre en difficulté normale.
quest_objective_18_1|Copper Ore|Kuparimalmia|Minério de Cobre| Медная руда|銅礦|銅鉱石|구리 광석|Kupfererz|Minerai de cuivre
quest_name_19|Chaos Tower|Kaaositorni|Torre do Caos| Башня Хаоса|混沌塔|カオスタワー|카오스 타워|Chaosturm|A l'assaut de la Tour du chaos
quest_description_19|Solve the mystery of the Chaos Tower.|Ratkaise kaaostornin mysteeri.|Resolva o mistério da Torre do Caos.| Разгадайте тайну Башни Хаоса.|解決混沌塔的奧秘。|カオスタワーの謎を解き明かそう。|카오스 타워의 수수께끼를 풀어보세요.|Löse das Geheimnis des Chaosturms.|Résolvez le mystère de la Tour du chaos.
quest_objective_19_1|Towers cleared|Tornia läpäisty|Torres limpas| Башни очищены|完成混沌塔|タワーがクリアされました|타워 클리어|Türme geräumt|Tours nettoyées
quest_objective_19_2|King Rakhul slain|Kuningas Rakhul tapettu|Rei Rakhul morto | Король Рахул убит|消滅	拉胡爾國王|ラクフル王が殺害される |라쿨 왕 처치 |König Rakhul getötet |Roi Rakhul tué 
quest_objective_19_3|Find Kukkonen|Löydä Kukkonen|Encontre Kukkonen| Найти Кукконена|尋找庫科寧|クッコネンを探す|쿠코넨 찾기|Finde Kukkonen|Trouver Kukkonen
quest_name_20|Learn Jewelcrafting||Aprenda Joalheria| Изучите ювелирное дело|學習珠寶製作|ジュエルクラフティングを習得する|보석세공 배우기||Apprendre la joaillerie
quest_description_20|Prospect copper ore||Inspecione minério de cobre| Разведка медной руды|需要銅礦|銅鉱石を探査する|구리 광석 채광하기||Raffiner du minerai de cuivre
quest_objective_20_1|Copper Ore prospected||Minério de Cobre inspecionado| Разведаны месторождения медной руды|分解銅礦|銅鉱石を探査済み|구리 광석 채광 완료||Minerai de cuivre raffiné
quest_name_21|Fortune told|Ennustettu|Sorte Contada| Судьба сказала|預言|運命の予言|운명이 점쳐졌습니다|Fortune told|La bonne aventure
quest_description_21|Prophet Luna has shown you a glimpse into the future...[nl][c_heroic]([fortune_item_name])[c_reset][nl]Now the question is when?|Profeetta Luna on näyttänyt sinulle silmäyksen tulevaan... Nyt kysymys kuuluu, milloin?|A Profeta Luna lhe mostrou um vislumbre do futuro...[nl][c_heroic]([fortune_item_name])[c_reset][nl]Agora a pergunta é quando?| Пророк Луна показала вам взгляд в будущее...[nl][c_heroic]([fortune_item_name])[c_reset][nl]Теперь вопрос в том, когда?|先知露娜向你展示了未來的一瞥... [nl] [c_heroic]（[fortune_item_name]）[c_reset] [nl]現在的問題是未來在什麼時候？|予言者ルナが未来の一端を見せてくれた…[nl][c_heroic]（[fortune_item_name]）[c_reset][nl]さあ、問題はいつだ？|예언자 루나가 당신에게 미래의 한 장면을 보여주었습니다... [nl][c_heroic]([fortune_item_name])[c_reset][nl]이제 남은 질문은 '언제인가?'입니다.|Prophet Luna has shown you a glimpse into the future... Now the question is when?|La prophétesse Luna vous a donné un aperçu de l'avenir... La question est maintenant de savoir quand cela va se produire ?
quest_objective_21_1|Fortune fulfilled|Ennustus täytetty|Fortuna realizada| Удача сбылась|預言實現了|運命達成|운명이 실현되었습니다|Fortune fulfilled|Aventure accomplie
quest_objective_21_2|Enemies killed|Enemies killed|Inimigos Mortos| Враги убиты|擊殺敵人|Enemies killed|敵を倒した数|처치한 적 수|Enemies killed|Ennemis tués
quest_objective_21_3|Vanaheim Entered||||進入華納海姆|ヴァナヘイムに突入|바나헤임 입장|||
|||||||||||
[HALLOWEEN EVENT]|||||||||||
quest_name_100|Trick or Treat!|Karkki tai kepponen!|Doçuras ou Travessuras!| Кошелек или жизнь!|不給糖果就搗蛋！|トリック・オア・トリート！|과자를 걸 안 주면 장난칠 거야!|Suesses oder Saures!|Des bonbons ou des sorts !
quest_description_100|You must collect a lot of candy in Act 1. A. Lot.|Kerää karkkia. Paljon. Karkkia.|Você deve coletar muitos doces. Muito.| В первом акте вам нужно собрать много конфет. А. Много.|你得找一大堆糖。[nl]一 大 堆。|あなたはキャンディをたくさん集めなければなりません。たーくーさーん。|Act I 에서 사탕을 많이 모으십시오. 무조건. 많이.|Sammle Suessigkeiten. Viele. Suessigkeiten.|Tu dois collecter beaucoup de bonbons. Vraiment. Beaucoup.
quest_objective_100_1|Candy collected|Karkkia kerätty.|Doces coletados| Конфеты собраны|已收集的糖果。|キャンディーが集められました。|모은 사탕|Suessigkeiten gesammelt.|Bonbons collectés
quest_name_101|Find the Candy Apples!|Etsi karkkiomenat!|Encontre as maçãs de doce!| Найдите карамельные яблоки!|找到蘋果糖！|リンゴのキャンディーを見つけよう！|사과 사탕을 찾아라!|Suche nach kandierten aepfeln!|Trouvez les pommes d'amour !
quest_description_101|Find a Candy Apple in each Act.|Löydä karkkiomena jokaisesta tasosta.|Encontre uma Maçã Doce em cada ATO.| Найдите карамельное яблоко в каждом акте.|在每個章節中找到蘋果糖。|各幕のリンゴキャンディーを見つけましょう。|모든 액트에 숨겨져 있는 사과 사탕을 찾으십시오.|Finde einen kandierten Apfel in jedem Akt.|Trouvez une pomme d'amour dans chaque acte.
quest_objective_101_1|Act I Apple found|Taso I omena löydetty.|Maçã do ATO I encontrada.| Акт I Яблоко найдено|章節I的蘋果糖找到了。|幕 I のリンゴキャンディーが見つかりました。|발견한 Act I 사과.|Akt I: Apfel gefunden.|Acte I - Pomme trouvée
quest_objective_101_2|Act II Apple found|Taso II omena löydetty.|Maçã do ATO II encontrada.| Акт II Яблоко найдено|章節II的蘋果糖找到了。|幕 II のリンゴキャンディーが見つかりました。|발견한 Act II 사과.|Akt II: Apfel gefunden.|Acte II - Pomme trouvée
quest_objective_101_3|Act III Apple found|Taso III omena löydetty.|Maçã do ATO III encontrada.| Акт III Яблоко найдено|章節III的蘋果糖找到了。|幕 III のリンゴキャンディーが見つかりました。|발견한 Act III 사과.|Akt III: Apfel gefunden.|Acte III - Pomme trouvée
quest_objective_101_4|Act IV Apple found|Taso IV omena löydetty.|Maçã do ATO IV encontrada.| Акт IV Яблоко найдено|章節IV的蘋果糖找到了。|幕 IV のリンゴキャンディーが見つかりました。|발견한 Act IV 사과.|Akt IV: Apfel gefunden.|Acte IV - Pomme trouvée
quest_name_102|Trick them all!|Keppostelua!|Engane todos eles!| Обмани их всех!|騙過他們！|奴らを騙せ！|모두 속여주지!|Streiche spielen!|Trompez-les tous !
quest_description_102|Use the Candy Basket to trick enemies.|Käytä karkkikoreja houkutellaksesi vihollisia.|Utilizar a cesta de doces para enganar os inimigos.| Используйте Корзинку с конфетами, чтобы обмануть врагов.|用糖果籃欺騙敵人。|キャンディバスケットを使って敵を騙しましょう。|사탕 바구니로 적들을 속이십시오.|Verwende Suessigkeiten, um Gegner anzulocken.|Utilisez le panier de bonbons pour tromper les ennemis.
quest_objective_102_1|Enemies lured into baskets|Vihollista houkuteltu koreihin.|Inimigos atraídos para cestas| Враги заманены в корзины|上當的敵人。|敵が小箱に誘い込まれました。|유인당한 적|Gegner in Koerbe gelockt.|Ennemis attirés dans les paniers
quest_name_103|Death has the answer|Kuolemalla on vastaus|A morte tem a resposta| У смерти есть ответ.|死亡就是答案|死は答えである|죽음에는 답이 있다|Der Tod hat die Antwort|La réponse est dans la Mort
quest_description_103|Kill Candy Grim Reaper in Act II.|Surmaa Karkkiviikatemies tasossa II.|Mate o Ceifador de Doces no ATO II.| Убейте Кэнди Грим Рипер во втором акте.|殺死在章節II的糖果死神。|幕 II でキャンディ・グリム・リーパーを殺してください。|Act II에서 사탕 사신을 죽이십시오.|Besiegt den kandierten Gevatter Tod in Akt II.|Tuez la Faucheuse de bonbons dans l'Acte II.
quest_objective_103_1|Candy Grim Reaper killed|Karkkiviikatemies surmattu.|Ceifador de Doces morto| Кэнди Грим Рипер убит|殺死糖果死神。|キャンディー・グリム・リーパーが殺されました。|처치한 사탕 사신|Kandierter Gevatter Tod getoetet.|Faucheuse de bonbons tuée
quest_name_104|Kill the Pumpkin King|Surmaa Kurpitsakuningas|Mate o Rei Abóbora| Убить Короля Тыквы|殺死南瓜國王|パンプキン・キングを殺す|호박 왕 죽이기|Toete den Kuerbiskoenig|Tuer le roi des citrouilles
quest_description_104|Kill Damien the Pumpkin King in Act IV.|Surmaa Kurpitsakuningas Damien tasossa IV.|Mate Damien, o Rei Abóbora, no ATO IV.| Убейте Дэмиена, Короля Тыкв, в четвертом акте.|殺死章節IV的南瓜國王達米安|幕 IV でパンプキン・キングのダミアンを殺してください。|액트 IV에서 호박 왕 데미언을 죽이십시오.|Toete Damien den Kuerbiskoenig im Akt IV.|Tuez Damien, le roi des citrouilles, dans l'Acte IV.
quest_objective_104_1|Damien the Pumpkin King killed|Kurpitsakuningas Damien surmattu.|Damien, o Rei Abóbora morto.| Убит Дэмиен, Король Тыкв|已殺死南瓜國王達米安。|パンプキン・キングのダミアンが殺されました。|처치한 호박 왕 데미언|Damien der Kuerbiskoenig getoetet.|Damien, le roi des citrouilles tué
quest_name_110|Lost Skull|Kadonnut kallo|Caveira Perdida| Потерянный Череп|骷髏頭|失われた頭蓋骨|잃어버린 해골|Verlorener Schaedel|Crâne perdu
