[npc]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
tutorial_0004_end|Well done!||Muito bem!| Отличная работа!|做得好！|よくできました！|훌륭해요!|Gut gemacht!|Bravo !|¡Bien hecho!|Dobra robota!
tutorial_0005|Scorchwood is a menace to our town. The corrupted ent is located north east from here, go make some firewood out of that beast!||Madeira Chamuscada é uma ameaça à nossa cidade. O Ent corrompido está localizado a nordeste daqui, vá fazer lenha daquela fera!| Скорчвуд — угроза нашему городу. Оскверненный энт находится на северо-востоке отсюда.|焦木對我們的城鎮是一種威脅. 腐敗的巨人位於這裡的東北方, 去用那隻野獸做些柴火吧！|スコーチウッドはこの町の脅威です。東北にいる堕落したエントを倒して薪にしましょう！|스코치우드는 우리 마을의 골칫덩어리예요. 그 타락한 엔트는 여기서 북동쪽에 있어요. 가서 장작으로 만들어 주세요!|Scorchwood ist eine Bedrohung für unsere Stadt. Der verdorbene Ent befindet sich nordöstlich von hier. Mach dir Brennholz aus dem Biest!|Scorchwood est une menace pour notre ville. L'ent corrompu se trouve au nord-est d'ici, allez en faire du bois de chauffage !|Scorchwood es una amenaza para nuestro pueblo. ¡El ent corrupto se encuentra al noreste de aquí, ve y convierte a esa bestia en leña!|Scorchwood jest zagrożeniem dla naszego miasta. Skażony ent znajduje się na północny wschód stąd, idź i zrób z tej bestii trochę drewna na opał!
tutorial_0005_end|Finally! Thank you stranger!||Finalmente! Obrigado, estranho!| Наконец-то! Спасибо, незнакомец!|終於！  謝謝你陌生人！ |ついに！ありがとう、見知らぬ人！|마침내! 감사합니다, 이방인이여!|Endlich! Danke, Fremder!|Enfin ! Merci, étranger ! |¡Por fin! ¡Gracias, forastero!|W końcu! Dziękuję, nieznajomy!
|||||||||||
tutorial_0001_keyboard|In order to bind a skill, click on the right button skill slot, hover a skill you want to bind and press the skill button bind it.||| Чтобы привязать навык|若要綁定技能, 請點擊右側技能欄, 將滑鼠停留在要綁定的技能上, 然後按技能按鈕進行綁定。|スキルをバインドするには、右クリックスキルスロットを押してバインドしたいスキルにカーソルを合わせ、スキルボタンを押してください。|스킬을 바인딩하려면, 스킬 슬롯을 클릭한 후 바인딩하고 싶은 스킬에 커서를 올리고 원하는 스킬 키를 누르세요.|Um eine Fertigkeit zuzuweisen, klicken Sie auf den Fertigkeitenplatz rechts, bewegen Sie den Mauszeiger über die gewünschte Fertigkeit und drücken Sie die entsprechende Schaltfläche.|Pour assigner une compétence, cliquez sur l'emplacement de compétence (bouton droit), survolez la compétence souhaitée et appuyez sur le bouton « Associer ».|Para vincular una habilidad, haz clic en la ranura de habilidad del botón derecho, pasa el cursor sobre la que desees vincular y presiona la tecla de habilidad para asignarla.|Aby przypisać umiejętność, kliknij prawy slot umiejętności, najedź na umiejętność, którą chcesz przypisać i naciśnij przycisk przypisania umiejętności.
tutorial_0001_gamepad|In order to bind a skill, press [input_skill_bind], select a skill slot you want to bind and press the skill button bind it.||| Чтобы привязать навык|要綁定技能, 請打開天賦和技能頁面, 選擇分配技能綁定, 選擇要綁定的技能槽, 然後按技能按鈕綁定它.|スキルをバインドするには、ステータス＆スキル画面を開き、「スキルバインドの割り当て」を選び、バインドしたいスキルスロットを選択してスキルボタンを押します。|스킬을 바인딩하려면, 능력치 및 스킬 화면을 열고 ‘스킬 바인드 지정’을 선택한 후, 바인딩할 스킬 슬롯을 고르고 원하는 스킬 버튼을 누르세요. |Alternativ können Sie auch [input_skill_bind] drücken, den gewünschten Fertigkeitenplatz auswählen und die entsprechende Schaltfläche drücken.|Pour assigner une compétence, appuyez sur [input_skill_bind], sélectionnez l'emplacement de compétence souhaité et appuyez sur le bouton « Associer ». |Para asignar una habilidad, presiona [input_skill_bind], selecciona la ranura de habilidad que deseas asignar y presiona el botón de habilidad para asignarla. |Aby przypisać umiejętność, naciśnij [input_skill_bind], wybierz slot umiejętności, który chcesz przypisać i naciśnij przycisk przypisania umiejętności.
|||||||||||
|||||||||||
heimdall0|Welcome to Bifröst! Choose your destination wisely..||Bem vindo ao Bifröst! Escolha o seu destino com sabedoria..| Добро пожаловать в Бифрост! Выбирайте пункт назначения с умом.|歡迎來到Bifröst! 明智地選擇你的目的地……|ビフレストへようこそ！目的地は慎重に選んでください..|비프로스트에 오신 것을 환영합니다! 목적지를 신중히 선택하십시오…|Willkommen in Bifröst! Wähle dein Ziel weise.|Bienvenue à Bifröst ! Choisissez judicieusement votre destination…|¡Bienvenido al Bifröst! Elige tu destino con sabiduría...|Witaj w Bifröst! Wybierz swój cel mądrze..
heimdall1|May the allfather be by your side!||Que o Pai Todo-Poderoso esteja ao seu lado!|Да будет Всеотец рядом с тобой!|願眾神之父都在你身邊！|すべての父なる神があなたと共にあらんことを！|모든 아버지께서 당신과 함께하시기를!|Möge der Allvater dir beistehen!|Que le Père de Tout soit avec vous !|¡Que el Padre de Todos te acompañe!|Niech Allfather będzie po twojej stronie!
heimdall2|Heimdall sees all.||Heimdall vê tudo | Хеймдалль видит все.|Heimdall看到了一切。|ハイムダルはすべてを見通しています。|헤임달은 모든 것을 보십니다.|Heimdall sieht alles.|Heimdall voit tout.|Heimdall lo ve todo.|Heimdall widzi wszystko.
heimdall3|I am Heimdall. A noble servant of the allfather and the guardian of Bifröst.||Eu sou Heimdall. Um nobre servo do Pai Todo-Poderoso e o guardião de Bifröst | Я Хеймдалль. Благородный слуга Всеотца и хранитель Бифрёста.|我是Heimdall. 眾神之父的高貴僕人以及Bifröst的守護者。  |私はハイムダル、全父神の忠実な使者でありビフレストの守護者です。|나는 헤임달. 모든 아버지의 고귀한 심복이자 비프로스트의 수호자입니다.|Ich bin Heimdall. Ein edler Diener des Allvaters und der Hüter von Bifröst.|Je suis Heimdall, un noble serviteur du Père de Tout et le gardien de Bifröst.|Soy Heimdall. Un noble sirviente del Padre de Todos y el guardián del Bifröst.|Jestem Heimdall. Szlachetny sługa Allfathera i strażnik Bifröst.
heimdall4|From dusk till dawn may the divine light shine on you.||Do anoitecer ao amanhecer, que a luz divina brilhe sobre você | От заката до рассвета пусть вас освещает божественный свет.|從黃昏到黎明，願神聖的光芒照耀著你。  |黄昏から夜明けまで、神聖な光があなたを照らしますように。|황혼에서 새벽까지 신성한 빛이 당신을 비추기를.|Von der Abenddämmerung bis zum Morgengrauen möge das göttliche Licht auf dich scheinen.|Du crépuscule à l'aube, que la lumière divine brille sur vous.|Del ocaso al alba, que la luz divina brille sobre ti.|Od zmierzchu do świtu niech boskie światło świeci na ciebie.
heimdall5|Let the allfather guide you towards your destiny.||Deixe que o Pai Todo-Poderoso o guie em direção ao seu destino | Позвольте Всеотцу вести вас к вашей судьбе.|讓眾神之父指引你走向自己的命運. |すべての父神の導きがあなたの運命へと向かわせますように。|모든 아버지의 인도가 당신을 운명으로 이끌기를.|Lass dich vom Allvater zu deinem Schicksal führen.|Que le Père de Tout vous guide vers votre destin. |Deja que el Padre de Todos te guíe hacia tu destino.|Niech Allfather poprowadzi cię ku twemu przeznaczeniu.
|||||||||||
chaos_pillar_npc|Chaos Pillar||Pilar do Caos| Теневой торговец|混沌之柱|カオスの柱|카오스 기둥|Chaossäule|Pilier du Chaos|Pilar del Caos|Chaos Pillar
chaos_pillar_text_common|Activate the pillar?||Ativar o pilar? |Активировать столб?|啟動柱子？|柱を起動しますか？|기둥을 활성화하시겠습니까?|Säule aktivieren?|Activer le pilier ?|¿Activar el pilar?|Aktywować filar?
chaos_pillar_text|Activate the pillar using a [c_red]Chaos Key?[c_reset]|||Активировать столб с помощью [c_red]Ключа Хаоса?[c_reset]|使用[c_red]混沌鑰匙[c_reset]啟動柱子？|[c_red]カオスキー[c_reset]を使って柱を起動しますか？|[c_red]카오스 열쇠[c_reset]로 기둥을 활성화하시겠습니까?|Aktiviere die Säule mit einem [c_red]Chaosschlüssel[c_reset]|Activer le pilier avec une [c_red]Clé du Chaos[c_reset]|¿Activar el pilar con una [c_red]Llave del Caos[c_reset]?|Aktywować filar za pomocą [c_red]Klucza Chaosu?[c_reset]
black_market_npc_title|Shady Merchant|Hämärä kaupparatsu|Comerciante Duvidoso|Теневой торговец |黑市商人|日陰の商人|수상한 상인|Dubioser Händler|Marchand louche|Mercader Sombrío|Podejrzany Kupiec
traveling_merchant|Traveling Merchant||Comerciante Ambulante| Странствующий торговец|旅行商人|旅の商人|떠돌이 상인|Reisender Händler|Marchand ambulant|Mercader Ambulante|Wędrowny Kupiec
broker_npc_title|Broker|Meklari|Corretor| Маклер|經紀人 |ブローカ|브로커|Makler|Courtier |Corredor|Pośrednik
landlord_npc_title_1|Mayor of Inoya|Inoyan Pormestari|Prefeito de Inoya| Мэр Иноя|伊諾亞鎮市長|タウン市長|이노야 시장|Stadt Bürgermeister|Maire d'Inoya|Alcalde de Inoya|Burmistrz Inoya
landlord_npc_title_2|Clan Leader|Klaanin Johtaja|Líder do Clã| Лидер клана|氏族首領|クランリーダー|클랜 리더|Clan-Führer|Chef de clan|Líder de Clan|Przywódca Klanu
landlord_npc_title_3|Village Elder|Kylänvanhin|Ancião da Aldeia| Старейшина деревни|村長|村の長老|마을 장로|Dorfälteste|Aîné du village|Anciano de la Aldea|Starszy Wioski
landlord_npc_title_4|Dwarven Council|Kääpiöiden Valtuutettu|Conselho dos Anões| Совет Гномов|矮人議會|ドワーフの協議会|드워프 평의회|Zwergen-Rat|Conseil des nains|Consejo Enano|Rada Krasnoludów
landlord_npc_title_5|Warlord|Sotapäällikkö|Chefe de Guerra| Военачальник|督軍|将軍|워로드|Kriegsherren|Seigneur de guerre|Señor de la Guerra|Władca Wojny
landlord_npc_title_6|Arch Bishop|Arkkipiispa|Arcebispo| Архиепископ|大主教|アークビショップ|아크 비숍|Erzbischof|Archevêque|Arzobispo|Arcybiskup
yogvan_npc_title|Dwarven Miner|Kääpiöiden Kaivosmies|Anão Mineiro| Гном-шахтер|矮人礦工|ドワーフの鉱山労働者|드워프 광부|Zwergenbergmann|Mineur nain|Minero Enano|Krasnoludzki Górnik
edward_npc_title|Hunter|Metsästäjä|Caçador| Охотник|獵人|猟師|헌터|Jäger|Chasseur|Cazador|Łowca
kirill_npc_title|Princess|Prinsessa|Princesa| Принцесса|公主|王女|공주님|Prinzessin|Princesse|Princesa|Księżniczka
mario_npc_title|Construction Worker|Rakennustyöläinen|Operário| Строительный рабочий|建築工人|建設作業員|건설 노동자|Bauarbeiter|Ouvrier du bâtiment|Constructor|Robotnik Budowlany
bard_npc_name|Bard|Bardi|Bardo| Бард|詩人|詩人|바드|Barde|Barde|Bardo|Bard
christmas_letter_npc_name|Christmas Letter|Joulukirje|Carta de Natal| Рождественское письмо|聖誕信|クリスマスの手紙|크리스마스 편지|Weihnachtsbrief|Lettre de Noël|Carta de Navidad|List Bożonarodzeniowy
snowman_npc_name|Snowman|Lumiukko|Boneco de Neve| Снеговик|雪人|雪だるま|스노우맨|Schneemann|Bonhomme de neige|Muñeco de Nieve|Bałwan
snowman_headless_npc_name|Headless Snowman|Päätön Lumiukko|Boneco sem Cabeça| Снеговик без головы|無頭雪人|ヘッドレス雪だるま|헤드리스 스노우맨|Kopflos Schneemann|Bonhomme de neige sans tête|Muñeco de Nieve sin Cabeza|Bezgłowy Bałwan
pumpkin_npc_name|Pumpkin|Kurpitsa|Abóbora| Тыква|南瓜|かぼちゃ|호박|Kürbis|Citrouille|Calabaza|Dynia
skeleton_npc_name|Skeleton|Luuranko|Esqueleto| Скелет|骷髏|スケルトン|스켈렉톤|Skelett|Squelette|Esqueleto|Szkielet
witch_npc_name|Witch|Noita|Bruxa| Ведьма|巫婆|魔女|위치|Hexe|Sorcière|Bruja|Wiedźma
jack_the_ripper_npc_name|Jack the Ripper|Viiltäjä-Jack|Jack o Estripador| Джек Потрошитель|開膛手傑克|切り裂きジャック|잭 더 리퍼|Jack the Ripper|Jack l'éventreur|Jack el Destripador|Jack the Ripper
corrupted_odin|Corrupted Odin|Korruptoitunut Odin|Odin Corrompido| Оскверненный Один|腐化奧丁|壊れたオーディン|타락한 오딘|Verdorbener Odin|Odin corrompu|Odín Corrupto|Skażony Odin
bounty_board|Bounty Board|Ilmoitustaulu|Quadro de Recompensas| Доска поощрений|賞金告示牌|懸賞掲示板|현상수배 게시판|Kopfgeldtafel|Tableau des primes|Tablón de Recompensas|Tablica Poszukiwań
bounty_board_hunt|Daily Hunt|Päivän jahti|Caçada Diária| Ежедневная охота|每日狩獵|デイリーハント|데일리 헌트|Tägliche Jagd|Chasse quotidienne|Cacería Diaria|Codzienne Polowanie
bounty_board_quest|View Daily Quest|Päivän tehtävä|Quest Diária| Посмотреть ежедневный квест|每日任務|デイリークエストを見る|일일 퀘스트 보기|Tägliche Quest ansehen|Quête quotidienne|Ver Misión Diaria|Zobacz codzienne zadanie
kleiton_npc_title|Jewelcrafter||Joalheiro| Ювелир|珠寶匠|宝石職人|쥬얼크래프터|Juwelier|Joaillier|Orfebre|Jubiler
prospector_npc|Prospectron RX9000||Prospectron RX9000| Проспектрон RX9000|碾碎機 RX9000 |プロスペクトロンRX9000|광석감지기 RX9000|Prospektor RX9000|Prospectron RX9000|Prospectron RX9000|Prospectron RX9000
thank_you|Thank you.|Kiitos.|Obrigado.| Спасибо.|謝謝你。|ありがとうございます。|감사합니다.|Danke schön.|Je vous remercie.|Gracias.|Dziękuję.
here_to_help|I'm here to help.|Olen täällä auttamassa.|Estou aqui para ajudar.| Я здесь, чтобы помочь.|我是來幫忙的。|私がお手伝いします。|제가 도와 드리겠습니다.|Ich bin hier um zu helfen.|Je suis là pour vous aider.|Estoy aquí para ayudar.|Jestem tu, aby pomóc.
goodbye|Goodbye!|Näkemiin!|Adeus!| До свидания!|再見！|さようなら！|잘 있어!|Auf Wiedersehen!|Au revoir !|¡Adiós!|Do widzenia!
yes_please|Yes please!|Kyllä kiitos!|Sim, por favor!| Да, пожалуйста!|好的！|はい、お願いします！|응, 부탁해!|Ja bitte!|Oui, s'il vous plaît !|¡Sí, por favor!|Tak, proszę!
no_thanks|No thanks.|Ei kiitos.|Não, obrigado.| Нет, спасибо.|不，謝了。|いいえ、結構です。|괜찮아.|Nein, danke.|Non, merci.|No, gracias.|Nie, dziękuję.
dialog_next|Next|Seuraava|Próximo| Следующий|下一個|次|다음|Nächster|Suivant|Siguiente|Dalej
reset_relics|Reset all relics.|Poista kaikki aarteet.|Resetar todas as relíquias.| Сбросить все реликвии.|重置所有遺物。|すべての遺物をリセットします。|모든 유물 초기화.|Alle Relikte zurücksetzen.|Réinitialiser toutes les reliques.|Restablecer todas las reliquias.|Zresetuj wszystkie relikty.
buy|Buy|Osta|Comprar| Купить|購買|購入する|구매|Kaufen|Acheter|Comprar|Kup
buy_items|Buy Items|Osta esineitä.|Comprar Itens| Купить товары|購買商品|アイテムを購入|아이템 구매|Items kaufen|Acheter des objets|Comprar Objetos|Kup przedmioty
sell_items|Buy/Sell|Osta/Myy|Comprar/Vender| Купить/Продать|賣掉物品。|アイテムを売ります。|아이템 팔기.|Artikel verkaufen.|Voir la boutique|Comprar/Vender|Kup/Sprzedaj
identify_all|Identify all items||Identifique todos os itens |Определите все предметы |鑑定所有物品 |すべてのアイテムを特定する |모든 항목 식별 |Identifizieren Sie alle Artikel|Identifiez tous les éléments |Identificar todos los elementos |Zidentyfikuj wszystkie przedmioty
reset_wormhole_level|Reset wormhole level.|Palauta madonreiän taso.|Resetar o nível do buraco de minhoca| Сбросьте уровень червоточины.|重置蟲洞等級。|ワームホールレベルをリセットします。|웜홀 레벨 초기화.|Wurmloch-Level zurücksetzen.|Réinitialiser le niveau du vortex.|Restablecer nivel del agujero de gusano.|Zresetuj poziom wormhole.
mariel_cult_dungeon|It’s Kaelith! He has done the unthinkable! We need to hurry and stop him!||É Kaelith! Ele fez o impensável! Precisamos nos apressar e detê-lo!|Это Келит! Он совершил немыслимое! Нам нужно спешить и остановить его!|是凱利斯！他做出了令人難以置信的事！我們得趕快阻止他！|カエリスだ！奴はとんでもない事態を引き起こしてしまった！急いで奴を止めなければ！|카엘리스다! 그가 차마 해서는 안 될 짓을 저지르고 말았어! 서둘러 그를 막아야 해!|Es ist Kaelith! Er hat das Undenkbare getan! Wir müssen uns beeilen und ihn aufhalten!|C'est Kaelith ! Il a fait l'impensable ! Nous devons nous dépêcher et l'arrêter !|¡Es Kaelith! ¡Ha hecho lo impensable! ¡Tenemos que darnos prisa y detenerlo!|To Kaelith! Zrobił coś niewyobrażalnego! Musimy się pospieszyć i go powstrzymać!
|||||||||||
kukkonen|My name is landlord Kukkonen. I am the mayor of Inoya. Hope you have a pleasant stay, noble hero!|Minä olen maanomistaja Kukkonen, Inoyan pormestari. Toivottavasti viihdyt kylässämme!|Meu nome é senhorio Kukkonen. Sou o prefeito de Inoya. Espero que você tenha uma estadia agradável, nobre herói!|Меня зовут домовладелец Кукконен. Я мэр Иноя. Надеюсь, вам понравится пребывание|我是landlord Kukkonen. 我是這個伊諾亞小鎮的鎮長. 希望你能喜歡這裡,尊敬的英雄. |私はこの土地の領主クッコネンと申します。 この町の市長でもあります。 気持ちの良い滞在時間を過ごすよう、 心から願います！ 気高いヒーローよ！|나는 쿡코넨이라고 한다. 이 마을의 이장이지. 편안하게 지내시게!|Ich bin der Grundherr Kukkonen und Bürgermeister dieser Stadt. Hoffentlich haben Sie einen angenehmen Aufenthalt edler Held!|Je m'appelle [c_lime]Monsieur Kukkonen[c_reset]. Je suis le maire de la [c_aqua]Ville d'Inoya[c_reset]. J'espère que vous passerez un bon séjour, noble héros !|Me llamo terrateniente Kukkonen. Soy el alcalde de Inoya. ¡Espero que disfrutes de tu estancia, noble héroe!|Nazywam się Kukkonen, jestem burmistrzem Inoya. Mam nadzieję, że miło spędzisz czas, szlachetny bohaterze!
asgar|I am Asgar, the commander of Danethorpe. We are here to watch your back, hero!|Minä olen Asgar, Danethorpen komentaja. Pidämme sinusta hyvää huolta sankari!|Eu sou Asgar, o comandante de Danethorpe. Estamos aqui para protegê-lo, herói!| Я Асгар.|我是鄧恩斯洛普的指揮官asgar. 我們是你的堅強後盾,英雄！ |我が名はアスガル、デーンソープの指揮官。 英雄よ、 あなたの背中を護るためにここに来た！|나는 데인소프의 사령관인 아스가르다. 후방에서 그대를 지원하겠다!|Ich bin Asgar, der Befehlshaber von Danethorpe. Wir sind hier, um dir den Rücken freizuhalten, Held!|Je suis [c_lime]Asgar[c_reset], le commandant de [c_aqua]Danethorpe[c_reset]. Nous sommes là pour veiller sur vous, héros !|Soy Asgar, el comandante de Danethorpe. ¡Estamos aquí para cubrirte las espaldas, héroe!|Jestem Asgar, dowódca Danethorpe. Jesteśmy tu, aby chronić twoje plecy, bohaterze!
