|en|[fi]|pt|ru|zh|ja|ko|de|fr|sp|pl
etherCtBig07|Chaos Tower is always revealed on the map||A Torre do Caos é sempre revelada no mapa |Башня Хаоса всегда отображается на карте. |混沌塔始終在地圖上顯示|混沌の塔は常に公開されます地図 |혼돈의 탑이 항상 지도에 표시됨 |Der Chaosturm ist immer auf der Karte sichtbar|La Tour du Chaos est toujours révélée sur la carte |La Torre del Caos siempre se revela en el mapa|Chaos Tower zawsze widoczna na mapie
etherCtBig08|Increased Chaos Tower discovery radius.||Aumentado o raio de descoberta da Torre do Caos.|Увеличен радиус обнаружения Башни Хаоса.|增加混沌之塔的發現範圍。|カオスタワーの発見範囲を拡大しました。|카오스 타워 발견 반경 증가|Der Entdeckungsradius für Chaos-Türme wurde erhöht.|Rayon de découverte de la Tour du Chaos augmenté.|Mayor radio de descubrimiento de la Torre del Caos|Zwiększono promień wykrywania Wieży Chaosu.
etherCtBig09|Increased chance to find a Chaos Tower||Aumentada a chance de encontrar uma Torre do Caos. |Повышена вероятность обнаружения Башни Хаоса.|找到混沌之塔的機率提高。|カオスタワーの発見率を向上させました。 |카오스 타워를 발견할 확률 증가|Die Wahrscheinlichkeit, einen Chaos-Turm zu finden, wurde erhöht. |Probabilité de trouver une Tour du Chaos augmentée. |Mayor probabilidad de encontrar una Torre del Caos|Zwiększono szansę na znalezienie Wieży Chaosu.
ctIndicator_name|Chaos Tower||Torre do Caos |Башня Хаоса |混沌塔|カオスタワー |혼돈의 탑|Chaosturm|Tour du Chaos |Torre del Caos|Chaos Tower
|||||||||||
[Chaos Pillar]|||||||||||
etherCpSmall01_name|Conjuring Darkness||Conjuração da Escuridão|Вызывание Тьмы|召喚黑暗|闇の召喚|어둠 소환|Beschwörung der Dunkelheit|Invocation des Ténèbres|Invocando la oscuridad|Przywoływanie Ciemności
etherCpSmall02_name|Density of Evil||Densidade do Mal|Плотность Зла|邪惡密度|邪悪の密度|악의 밀도|Dichte des Bösen|Densité du Mal|Densidad del mal|Gęstość Zła
etherCpSmall03_name|Immaterial Lock||Fechadura Imaterial|Нематериальный Замок|非物質鎖定|非物質のロック|무형의 자물쇠|Immaterielles Schloss|Verrou Immatériel|Cerradura inmaterial|Niematerialna Blokada
etherCpSmall04_name|Dwelling Evil||Mal Habitante|Обитель Зла|邪惡居所|邪悪の棲み処|거주하는 악|Innewohnendes Böses|Mal Proscrit|Mal morador|Mieszkające Zło
etherCpSmall05_name|Amplified Darkness||Escuridão Amplificada|Усиленная Тьма|黑暗強化|増幅された闇|증폭된 어둠|Verstärkte Dunkelheit|Ténèbres Amplifiées|Oscuridad amplificada|Wzmocniona Ciemność
etherCpSmall06_name|Hierarchy of Chaos||Hierarquia do Caos|Иерархия Хаоса|混亂階層|混沌の階層|혼돈의 계층|Hierarchie des Chaos|Hiérarchie du Chaos|Jerarquía del caos|Hierarchia Chaosu
etherCpSmall07_name|Step in the Dark||Passo na Escuridão|Шаг во тьму|踏入黑暗|闇への一歩|어둠 속으로의 발걸음|Schritt in die Dunkelheit|Pas dans les Ténèbres|Un paso en la oscuridad|Krok w Ciemność
etherCpSmall08_name|Pillar’s Presence||A Presença de Pillar |Присутствие Столпа|支柱氣場|ピラーの存在感 |기둥의 존재|Pillars Präsenz |La présence de Pillar |Presencia del Pilar|Obecność Pillar
etherCpBig01_name|Chaos Multitude||Multidão do Caos|Множество Хаоса|混亂群聚|混沌の群れ|혼돈의 무리|Chaos-Menge|Multitude du Chaos|Multitud del caos|Chaotyczna Wielość
etherCpBig02_name|Chaotic Aftershock||Repercussão Caótica|Хаотический Афтершок|混亂餘波|混沌の余震|혼돈의 여파|Chaotischer Nachbeben|Réplique Chaotique|Réplica caótica|Chaotyczny Późniejszy Szok
etherCpBig03_name|Evil Within The Chaos||Mal Dentro do Caos|Зло внутри Хаоса|混亂中的邪惡|混沌の中の邪悪|혼돈 속의 악|Das Böse im Chaos|Le Mal au Cœur du Chaos|El mal dentro del caos|Zło w Chaosie
etherCpBig04_name|Glimmering Darkness||Escuridão Cintilante|Мерцающая Тьма|閃爍黑暗|きらめく闇|반짝이는 어둠|Schimmernde Dunkelheit|Ténèbres Scintillantes|Oscuridad resplandeciente|Błyszczący Cień
etherCpBig05_name|Relic Infused Chaos||Caos Infundido com Relíquia|Хаос, наполненный реликвиями|遺物注入混亂|遺物注入の混沌|유물이 주입된 혼돈|Relikt-durchdrungenes Chaos|Chaos Imprégné de Reliques|Caos infundido con reliquias|Chaos Nasączony Reliktami
etherCpBig06_name|Prayer For Darkness||Oração pela Escuridão|Молитва о Тьме|黑暗祈禱|闇への祈り|어둠을 위한 기도|Gebet für die Dunkelheit|Prière pour les Ténèbres|Oración por la oscuridad|Modlitwa o Ciemność
etherCpBig07_name|Call of the Pillar||Chamado do Pilar|Зов Столпа|柱之呼喚|柱の呼び声|기둥의 부름|Ruf der Säule|Appel du Pilier|Llamada del Pilar|Wezwanie Filaru
etherCpBig08_name|Summoner of Pillars||Invocador de Pilares |Призыватель Столпов|柱之召喚|柱の召喚者 |기둥의 소환자|Beschwörer der Säulen |Invocateur de Piliers |Invocador de Pilares|Przywoływacz Filarów
etherCpSmall01|Increased spawn chance of Chaos Pillars||Aumenta a chance de surgimento de Pilares do Caos|Увеличенная вероятность появления Столпов Хаоса|混沌柱生成機率|混沌の柱の出現率増加|혼돈 기둥 생성 확률 증가|Erhöhte Wahrscheinlichkeit für das Erscheinen von Chaossäulen|Augmentation des chances d'apparition des Piliers du Chaos|Mayor probabilidad de aparición de Pilares del Caos|Zwiększona szansa na spawn Chaos Pillars
etherCpSmall02|Increases the chance of higher tier Chaos Pillars||Aumenta a chance de Pilares do Caos de nível superior|Увеличена вероятность появления Столпов Хаоса более высокого уровня|更高階的混沌柱出現機率|高位の混沌の柱の出現率増加|상위 등급 혼돈 기둥 생성 확률 증가|Erhöht die Wahrscheinlichkeit für höherstufige Chaossäulen|Augmentation des chances d'obtenir des Piliers du Chaos de niveau supérieur|Mayor probabilidad de Pilares del Caos de mayor nivel|Zwiększa szansę na Chaos Pillars wyższego tieru
etherCpSmall03|Chance to not consume a chaos key when opening a Chaos Pillar||Chance de não consumir uma chave do caos ao abrir um Pilar do Caos|Шанс не расходовать ключ Хаоса при открытии Столпа Хаоса|機率開啟混沌柱時不消耗混沌鑰匙|混沌の柱を開く際に混沌の鍵を消費しない確率|혼돈 기둥을 열 때 혼돈 열쇠를 소모하지 않을 확률 증가|Chance, beim Öffnen einer Chaossäule keinen Chaosschlüssel zu verbrauchen|Chance de ne pas consommer de clé du chaos lors de l'ouverture d'un Pilier du Chaos|Probabilidad de no consumir una Llave del Caos al abrir un Pilar del Caos|Szansa na niezużycie klucza chaosu przy otwieraniu Chaos Pillar
etherCpSmall04|Increased amount of monsters spawned by Chaos Pillar||Aumenta a quantidade de monstros gerados pelo Pilar do Caos|Увеличенное количество монстров, порождаемых Столпом Хаоса|混沌柱生成的怪物數量|混沌の柱から出現するモンスターの数増加|혼돈 기둥에서 생성되는 몬스터 수 증가|Erhöhte Anzahl der von Chaossäulen beschworenen Monster|Augmentation du nombre de monstres invoqués par les Piliers du Chaos|Mayor cantidad de monstruos generados por un Pilar del Caos|Zwiększona ilość potworów spawnionych przez Chaos Pillar
etherCpSmall05|Chance for Chaos Pillars to gain an additional affix||Chance de Pilares do Caos ganharem um afixo adicional|Шанс на получение Столпами Хаоса дополнительного аффикса|混沌柱獲得額外詞綴的幾率提高|混沌の柱に追加の接辞が付與される確率|혼돈 기둥에 추가 속성이 부여될 확률 증가|Chance, dass Chaossäulen einen zusätzlichen Affix erhalten|Chance d'obtenir un affixe supplémentaire pour les Piliers du Chaos|Probabilidad de que los Pilares del Caos obtengan un afijo adicional|Szansa na dodatkowy afiks dla Chaos Pillars
etherCpSmall06|Chance for monsters to spawn as higher rarity||Chance de monstros surgirem com raridade maior|Шанс на появление монстров более высокой редкости|機率怪物生成為更的高稀有度|モンスターが高レアリティで出現する確率|더 높은 희귀도의 몬스터가 생성될 확률 증가|Chance, dass Monster mit höherer Seltenheit erscheinen|Chance d'obtenir des monstres de rareté supérieure|Probabilidad de que los monstruos aparezcan con mayor rareza|Szansa na spawn potworów jako wyższa rzadkość
etherCpSmall07|Gain increased movement speed for a short duration when opening a Chaos Pillar||Ganha velocidade de movimento aumentada por um curto período ao abrir um Pilar do Caos|Увеличение скорости передвижения на короткое время при открытии Столпа Хаоса|移動速度提升在開啟混沌柱時|混沌の柱を開く際に短時間移動速度が上昇|혼돈 기둥을 열 때 짧은 시간 동안 이동 속도 증가|Erhöhte Bewegungsgeschwindigkeit für kurze Zeit beim Öffnen einer Chaossäule|Bonus de vitesse de déplacement temporaire lors de l'ouverture d'un Pilier du Chaos|Obtén velocidad de movimiento aumentada durante un breve periodo al abrir un Pilar del Caos|Zyskaj zwiększoną prędkość ruchu na krótki czas przy otwieraniu Chaos Pillar
etherCpSmall08|Increased Chaos Pillar discovery range.||Aumentado o alcance de detecção do Pilar do Caos. |Увеличен радиус обнаружения Столпа Хаоса.|增加混沌之柱的發現範圍。|カオス・ピラーの発見範囲を拡大しました。 |카오스 기둥 발견 범위 증가|Erhöhte Entdeckungsreichweite der Chaos-Säule. |Portée de détection du pilier du chaos augmentée. |Mayor radio de descubrimiento de los Pilares del Caos|Zwiększono zasięg wykrywania Filaru Chaosu.
etherCpBig01|Increased amount of Chaos Pillars||Aumenta a quantidade de Pilares do Caos|Увеличенное количество Столпов Хаоса|混沌柱的數量|混沌の柱の数増加|혼돈 기둥 개수 증가|Erhöhte Anzahl an Chaossäulen|Augmentation du nombre de Piliers du Chaos|Mayor cantidad de Pilares del Caos|Zwiększona ilość Chaos Pillars
etherCpBig02|Chance for a Chaos Pillar to activate twice||Chance de um Pilar do Caos ativar duas vezes|Шанс на активацию Столпа Хаоса дважды|機率混沌柱會啟動兩次|混沌の柱が2回起動する確率|혼돈 기둥이 두 번 활성화될 확률 증가|Chance, dass eine Chaossäule zweimal aktiviert wird|Chance d'activer un Pilier du Chaos deux fois|Probabilidad de que un Pilar del Caos se active dos veces|Szansa na dwukrotną aktywację Chaos Pillar
etherCpBig03|Chance for a Chaos Pillar to have boss materials affix||Chance de um Pilar do Caos ter o afixo de materiais de chefe|Шанс на получение Столпа Хаоса с аффиксом материалов босса|機率混沌柱會帶有首領材料詞綴|混沌の柱にボス素材の接辞が付與される確率|혼돈 기둥에 보스 재료 속성이 부여될 확률 증가|Chance, dass eine Chaossäule den Affix „Bossmaterialien“ erhält|Chance d'obtenir un affixe de matériaux de boss pour un Pilier du Chaos|Probabilidad de que un Pilar del Caos tenga el afijo de materiales de jefe|Szansa na afiks materiałów bossa dla Chaos Pillar
etherCpBig04|Chance for a Chaos Pillar to have a unique items affix||Chance de um Pilar do Caos ter o afixo de itens únicos|Шанс на Столп Хаоса получить уникальный аффикс предмета|機率混沌柱會帶有獨特物品詞綴|カオスピラーにユニークなアイテムアフィックスが付與される|혼돈 기둥에 고유 아이템이 부여될 확률 증가 접두사|Chance, dass eine Chaossäule den Affix „Einzigartige Gegenstände“ erhält|Chance d'obtenir un affixe d'objets uniques pour un |Probabilidad de que un Pilar del Caos tenga el afijo de objetos únicos|Szansa na afiks unikalnych przedmiotów dla Chaos Pillar
etherCpBig05|Chance for a Chaos Pillar to have the relic affix||Chance Para que um Pilar do Caos tenha o afixo de relíquia|Шанс получить реликвию на Столпе Хаоса|機率混沌柱會帶有遺物詞綴|カオスピラーにレリックアフィックスが付與される可能性あり|혼돈 기둥에 유물 접두사가 붙을 확률|Chance, dass eine Chaossäule den Relikt Affix erhält|Pilier du Chaos Ouvrez un Pilier du Chaos pour obtenir l'affixe de relique.|Probabilidad de que un Pilar del Caos tenga el afijo de reliquia|Szansa na afiks reliktu dla Chaos Pillar
etherCpBig06|Gain a random Shrine Buff when opening a Chaos Pillar||Ganhe um bônus de Santuário aleatório ao abrir um Pilar do Caos|Получить случайный бафф Святилища при открытии Столпа Хаоса|開啟渾沌柱時獲得隨機神殿增益|カオスピラーを開封するとランダムな聖域バフを獲得|혼돈 기둥을 열 때 무작위 신전 버프를 획득합니다|Erhält einen zufälligen Schrein-Buff beim Öffnen einer Chaossäule|Obtenez un bonus de sanctuaire aléatoire en ouvrant un Pilier du Chaos.|Obtén una mejora de santuario aleatoria al abrir un Pilar del Caos|Otrzymaj losowy buff ołtarza przy otwieraniu Chaos Pillar
etherCpBig07|Increased Chaos Pillar discovery range.||Aumentado o alcance de detecção dos Pilares do Caos.|Увеличен радиус обнаружения Столпа Хаоса.|增加混沌之柱的發現範圍。|カオスピラーの発見範囲を拡大しました。|카오스 기둥 발견 범위 증가|Die Entdeckungsreichweite von Chaos-Säulen wurde erhöht.|Augmentation de la portée de détection des Piliers du Chaos.|Mayor radio de descubrimiento de los Pilares del Caos|Zwiększono zasięg wykrywania Filarów Chaosu.
etherCpBig08|Increased spawn chance of Chaos Pillars||Aumentada a chance de surgimento dos Pilares do Caos. |Повышена вероятность появления Столпов Хаоса.|增加混沌之柱的生成機率|カオスピラーの出現率を増加させました。 |카오스 기둥의 발견 확률 증가|Die Spawn-Wahrscheinlichkeit von Chaos-Säulen wurde erhöht. |Augmentation de la probabilité d'apparition des Piliers du Chaos. |Mayor probabilidad de aparición de Pilares del Caos|Zwiększono szansę na pojawienie się Filarów Chaosu.
cpIndicator_name|Chaos Pillar||Pilar do Caos |Столп Хаоса |混沌柱|カオスピラー |혼돈 기둥 |Chaossäule|Pilier du Chaos |Pilar del Caos|Chaos Pillar
|||||||||||
[Mining]|||||||||||
etherMinSmall01_name|Gold Rush||Corrida do Ouro|Золотая лихорадка|黃金狂潮|ゴールドラッシュ|골드 러시|Goldrausch|Ruée vers l'or|Fiebre del oro|Gorączka Złota
etherMinSmall02_name|Increasing Value||Valor Crescente|Повышение ценности|價值提升|価値上昇|가치 상승|Steigender Wert|Valeur croissante|Valor creciente|Rosnąca Wartość
etherMinSmall03_name|Abundance of Materials||Abundância de Materiais|Изобилие материалов|豐富材料|豊富な素材|풍부한 재료|Reichlich an Materialien|Abondance de matériaux|Abundancia de materiales|Obfitość Materiałów
etherMinSmall04_name|Lucky Hit||Acerto de Sorte|Удачная находка|幸運一擊|幸運な一撃|행운의 발견|Glückstreffer|Coup de chance|Golpe de suerte|Szczęśliwy Traf
etherMinSmall05_name|Swift Labour||Trabalho Rápido|Быстрый труд|迅速勞動|迅速な労働|빠른 작업|Schnelle Arbeit|Travail rapide|Trabajo rápido|Szybka Praca
etherMinSmall06_name|Prospecting Hit||Acerto de Prospecção|Попадание в цель|命中勘探|探鉱の一撃|탐사 성공|Treffer bei der Prospektion|Prospection fructueuse|Golpe de prospección|Trafienie w Poszukiwaniach
etherMinSmall07_name|Jewelry Within||Joias Dentro|Ювелирные изделия внутри|暗藏珠寶|宝石の宝庫|보석 함유|Schmuckfunde|Bijoux cachés|Joyas interiores|Biżuteria Wewnątrz
etherMinSmall08_name|Presence of the Vein||Presença da Veia|Наличие вены|礦脈氣場|静脈の存在|광맥의 존재|Präsenz der Ader|Présence de la veine|Presencia de la Veta|Obecność żyły
etherMinSmall09_name|Worthy||Digno |Достойный|有價值的|価値あるもの |가치 있는 자|Würdig |Digne |Valioso|Godny
etherMinBig01_name|Goblin Patrol||Patrulha Goblin|Патруль гоблинов|巡邏哥布林|ゴブリンの巡回|고블린 순찰|Goblinpatrouille|Patrouille gobeline|Patrulla de goblins|Patrol Goblinów
etherMinBig02_name|Careful Extraction||Extração Cuidadosa|Осторожная добыча|謹慎開採|慎重な採掘|신중한 채굴|Sorgfältige Extraktion|Extraction prudente|Extracción cuidadosa|Ostrożna Ekstrakcja
etherMinBig03_name|Divine Luck||Sorte Divina|Божественная удача|神聖幸運|神の幸運|신의 행운|Göttliches Glück|Chance divine|Suerte divina|Boskie Szczęście
etherMinBig04_name|Pristine Extraction||Extração Imaculada|Первозданная добыча|完美開採|完璧な採掘|완벽한 채굴|Makellose Extraktion|Extraction parfaite|Extracción impecable|Doskonała Ekstrakcja
etherMinBig05_name|Call of the Ore||Chamado do Minério|Зов руды|礦石的號召|鉱石の呼び声|광석의 부름|Ruf des Erzes|Appel du minerai|Llamado del Mineral|Zew kruszcu
etherMinBig06_name|Instant Prospection||Prospecção Instantânea|Мгновенный поиск потенциальных клиентов|即時探勘|即時探鉱|즉시 탐사|Sofortige Prospektion|Prospection instantanée|Prospección Instantánea|Natychmiastowa prospekcja
etherMinBig07_name|49’er||49’er|49-й|淘金客|49’er|49’er|49er|49’er|Los del 49|49’er
etherMinBig08_name|Gifts from Valhalla||Presentes de Valhalla |Дары из Вальхаллы|瓦爾哈啦的賜福|ヴァルハラからの贈り物 |발할라의 선물|Geschenke aus Walhall |Cadeaux du Valhalla |Regalos del Valhalla|Dary z Walhalli
etherMinSmall01|Chance for an ore node to spawn additional node next to it||Chance de um nó de minério gerar um nó adicional próximo a ele|Шанс на появление дополнительного узла рядом с рудным узлом|礦脈節點有機率在旁邊額外產生一個節點|鉱脈の横に追加鉱脈が生成される確率|광맥 옆에 추가 광맥이 생성될 확률|Chance, dass neben einem Erzader ein weiterer Knotenpunkt erscheint|Chance qu'un gisement supplémentaire apparaisse à proximité d'un filon de minerai|Probabilidad de que un nodo de mineral genere otro nodo adyacente|Szansa, że węzeł rudy spawnuje dodatkowy węzeł obok
