|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
talent_desc_weaponMaster|Increases your attack damage and attack rating when you are using weapons without a shield.|Lisää hyökkäysvahinkoasi ja hyökkäysluokitusta, kun käytät aseita ilman kilpeä.|Aumenta o seu Dano de Ataque e Precisão de Ataque enquanto utiliza Armas sem um Escudo.| Увеличивает урон и рейтинг атаки при использовании оружия без щита.|在無裝備盾牌時, 使用武器會增加你的攻擊傷害和命中率. |シールドなしで武器を使用しているときに、攻撃ダメージと攻撃レーティングを増加します。|방패 없이 무기를 사용할 때 공격력과 명중률이 증가합니다.|Erhöht deinen Angriffsschaden und deine Angriffswertung, wenn du Waffen ohne Schild verwendest.|Augmente vos dégâts d'attaque et votre niveau d'attaque lorsque vous utilisez des armes sans bouclier.|Augmente vos dégâts et votre précision d'attaque lorsque vous utilisez des armes sans bouclier.|Zwiększa twoje obrażenia ataku i trafienie ataku gdy używasz broni bez tarczy.
talent_desc_charge|Charge forward dealing arcane damage and stunning monsters on impact.|Lataa eteenpäin jakele arkaanista vahinkoa ja upeita hirviöitä törmäyksessä.|Avança causando Dano Arcano e atordoa inimigos no impacto.| Рывок вперед, наносящий урон тайной магией и оглушающий монстров при ударе.|向前衝鋒造成奧術傷害, 並在碰撞時擊暈怪物. |前方に突進してアーケイン ダメージを与え、着地時にモンスターをスタンさせます。|앞으로 돌진하여 아케인 데미지를 입히고 충격 시 몬스터를 기절시킵니다.|Stürme nach vorne, verursache arkanen Schaden und betäubt Monster beim Aufprall.|Chargez face à vous en infligeant des dégâts et en étourdissant les ennemis au moment de l'impact.|Chargez en avant, infligeant des dégâts arcaniques et étourdissant les monstres à l'impact.|Szarżuj do przodu zadając obrażenia arcane i ogłuszając potwory przy uderzeniu.
talent_desc_devastatingCharge|When hitting monsters with Charge release a pulse dealing additional arcane damage and decreasing monster attack rating.|Kun lyöt hirviöitä Chargella, vapauta pulssi, joka tuottaa ylimääräistä arkaanista vahinkoa ja laskee hirviöhyökkäysarvoa.|Ao atingir inimigos com a Investida, libera um pulso que causa Dano Arcano e diminui a Precisão de Ataque do inimigo.| При ударе по монстрам с помощью Рывка высвобождается импульс, наносящий дополнительный урон от тайной магии и снижающий рейтинг атаки монстров.|當使用衝鋒攻擊怪物時, 會釋放一個脈衝, 造成奧術傷害並降低敵人的命中率. |チャージでモンスターを攻撃すると、パルスを放出して追加のアーケイン ダメージを与え、モンスターの攻撃レーティングを低下させます。|돌진으로 몬스터를 공격할 때 펄스를 방출하여 추가 아케인 데미지를 입히고 몬스터의 명중률을 감소시킵니다.|Wenn du Monster mit „Sturmangriff“ triffst, wird ein Impuls freigesetzt, der zusätzlichen arkanen Schaden verursacht und die Angriffswertung der Monster verringert.|Lorsque vous touchez des ennemis avec Charge, vous libérez une impulsion qui inflige des dégâts supplémentaires et diminue le niveau d'attaque de l'ennemi.|Lorsque vous touchez un monstre avec Charge, libérez une impulsion infligeant des dégâts arcaniques supplémentaires et réduisant sa précision d'attaque.|Gdy trafiasz potwory Szarżą uwolnij puls zadający dodatkowe obrażenia arcane i zmniejszający trafienie ataku potworów.
talent_desc_shieldMaster|Increases your attack damage and attack rating when using a Shield.|Kasvata hyökkäysvahinkoasi ja hyökkäysluokitusta, kun käytät Shieldia.|Aumenta o seu Dano de Ataque e Precisão de Ataque enquanto utiliza um Escudo.| Увеличивает урон от атаки и рейтинг атаки при использовании щита.|使用盾牌時, 增加攻擊傷害和攻擊命中率. |シールドを使用しているときに、攻撃ダメージと攻撃レーティングを増加します。|방패를 사용할 때 공격력과 명중률이 증가합니다.|Erhöht deinen Angriffsschaden und deine Angriffswertung, wenn du einen Schild verwendest.|Augmente vos dégâts d'attaque et votre niveau d'attaque lorsque vous utilisez un bouclier.|Augmentez vos dégâts et votre précision d'attaque lorsque vous utilisez un bouclier.|Zwiększa twoje obrażenia ataku i trafienie ataku gdy używasz Tarczy.
talent_desc_stoneskin|Increases your defense rating.|Nostaa puolustustasosi.|Aumenta a sua Defesa.| Повышает ваш рейтинг защиты.|提高防禦. |防御レーティングを増加します。|방어력이 증가합니다.|Erhöht deine Verteidigungswertung.|Augmente de façon passive votre défense.|Augmentez votre défense.|Zwiększa twoje trafienie obrony.
talent_desc_norseResistance|Increases all of your resistances.|Lisää kaikkia vastustuskykyäsi.|Aumenta todas as suas Resistências.| Увеличивает все ваши сопротивления.|增加全抗性. |すべての耐性を増加します。|모든 저항력이 증가합니다.|Erhöht alle deine Resistenzen.|Augmente de façon passive toutes vos résistances.|Augmentez toutes vos résistances.|Zwiększa wszystkie twoje odporności.
talent_desc_defensiveShout|Powerful warcry which buffs your and your party members defense rating.|Voimakas sotaharjoitus, joka vahvistaa sinun ja puolueesi jäsenten puolustusluokitusta.|Poderoso grito de guerra que aumenta a sua Defesa e a dos membros do seu grupo.| Мощный боевой клич, который повышает ваш рейтинг защиты и рейтинг защиты членов вашей группы.|強大的戰吼, 可以提高你和隊友的防禦. |強力なウォークライで、自分とパーティー メンバーの防御レーティングを強化します。|자신과 파티원의 방어력을 강화하는 강력한 전투 함성.|Mächtiger Kriegsschrei, der deine Verteidigungswertung und die deiner Gruppenmitglieder steigert.|Puissant cri de guerre qui augmente votre défense et celle des membres de votre groupe.|Cri de guerre puissant qui renforce votre défense et celle de vos alliés.|Potężny okrzyk wojenny który buffuje twoje i członków drużyny trafienie obrony.
talent_desc_odinsFury|Powerful warcry which deals arcane damage and stuns monsters around you.|Tehokas sotajoukko, joka tekee salaperäisiä vahinkoja ja tainnuttaa ympärilläsi olevat hirviöt.|Poderoso grito de guerra que causa Dano Arcano e atordoa inimigos a sua volta.| Мощный боевой клич, наносящий урон тайной магией и оглушающий монстров вокруг вас.|強大的戰吼, 可造成奧術傷害並擊暈你周圍的敵人. |強力なウォークライで、アーケイン ダメージを与え、周囲のモンスターをスタンさせます。|주변의 몬스터를 아케인 데미지와 기절시키는 강력한 전투 함성.|Mächtiger Kriegsschrei, der arkanen Schaden verursacht und Monster um dich herum betäubt.|Puissant cri de guerre qui inflige des dégâts et étourdit les ennemis autour de vous.|Cri de guerre puissant qui inflige des dégâts arcaniques et étourdit les monstres proches.|Potężny okrzyk wojenny który zadaje obrażenia arcane i ogłusza potwory wokół ciebie.
talent_desc_battleAgility|Increases your movement speed.|Lisää liikenopeuttasi.|Aumenta sua Velocidade de Movimento.| Увеличивает скорость передвижения.|提高你的移動速度. |移動速度を増加します。|이동 속도가 증가합니다.|Erhöht deine Bewegungsgeschwindigkeit.|Augmente passivement votre vitesse de marche/course.|Augmentez votre vitesse de déplacement.|Zwiększa twoją prędkość ruchu.
talent_desc_combatOrders|Powerful warcry which buffs your and your party members maximum life and mana.|Tehokas sotaharjoitus, joka piristää sinun ja puolueesi jäseniä maksimaalisen elämän ja manaan.|Poderoso grito de guerra que aumenta sua Vida e Mana Máxima e a dos membros do seu grupo.| Мощный боевой клич, увеличивающий максимальный запас здоровья и маны у вас и членов вашей группы.|強大的戰吼, 可以增強你和隊友的最大生命和法力. |強力なウォークライで、自分とパーティー メンバーの最大ライフとマナを強化します。|자신과 파티원의 최대 생명력과 마나를 강화하는 강력한 전투 함성.|Mächtiger Kriegsschrei, der dein maximales Leben und Mana und das deiner Gruppenmitglieder steigert.|Puissant cri de guerre qui augmente vos points de vie et de mana ainsi que ceux des membres de votre groupe.|Cri de guerre puissant qui augmente vos points de vie et de mana maximum, ainsi que ceux de vos alliés.|Potężny okrzyk wojenny który buffuje twoje i członków drużyny maksymalne życie i manę.
talent_desc_seismicSlam|Smash monsters in front of you dealing damage and knocking them up and stunning them.|Murskaa hirviöitä edessäsi tekemällä vahinkoa ja lyömällä ne ylös ja hämmästyttäen ne.|Esmaga os inimigos à tua frente, causando dano e os arremessando pra cima.| Крушите монстров перед собой, нанося им урон, подбрасывая их в воздух и оглушая.|粉碎你面前的敵人，造成傷害並將其擊倒. |目の前のモンスターを叩きつけてダメージを与え、ノックアップしてスタンさせます。|앞에 있는 몬스터를 박살내어 데미지를 입히고 공중에 띄우고 기절시킵니다.|Schmettere Monster vor dir, füge Schaden zu, schleudere sie hoch und betäube sie.|Frappez les ennemis devant vous en leur infligeant des dégâts et en les étourdissant.|Écrasez les monstres devant vous, leur infligeant des dégâts, les projetant en l'air et les étourdissant.|Uderz potwory przed sobą zadając obrażenia i wyrzucając je w górę oraz ogłuszając.
talent_desc_bruteForce|Increases your chance of critical strike and critical strike damage.|Lisää kriittisten iskujen ja kriittisten iskuvaurioiden mahdollisuutta.|Aumenta a sua chance de Acerto Crítico e Dano de Acerto Crítico.| Увеличивает вероятность критического удара и урон от критического удара.|增加暴擊幾率和暴擊傷害. |クリティカル ストライクとクリティカル ストライク ダメージの確率を増加します。|치명타와 치명타 데미지의 확률이 증가합니다.|Erhöht deine Chance auf einen kritischen Treffer und kritischen Trefferschaden.|Augmente de façon passive vos chances de coup critique et les dégâts des coups critiques.|Augmentez vos chances de coup critique et les dégâts des coups critiques.|Zwiększa twoją szansę na trafienie krytyczne i obrażenia krytyczne.
talent_desc_zeal|Strike three fast and powerful attacks with increased attack rating.|Iske kolme nopeaa ja tehokasta hyökkäystä parannetulla hyökkäysluokituksella.|Desfere três ataques rápidos e poderosos com Precisão de Ataque aumentada.| Нанесите три быстрых и мощных удара с повышенным рейтингом атаки.|進行三次快速而有力的攻擊，並提高攻擊命中率. |攻撃レーティングを増加した高速で強力な攻撃を 3 回行います。|명중률이 증가한 빠르고 강력한 공격을 세 번 가합니다.|Führe drei schnelle und mächtige Angriffe mit erhöhter Angriffswertung aus.|Effectue trois attaques rapides et puissantes.|Enchaînez trois attaques rapides et puissantes avec une précision d'attaque accrue.|Uderz trzykrotnie szybko i potężnie ze zwiększonym trafieniem ataku.
talent_desc_monsterThrow|Pick up and throw a monster which deals area of effect arcane damage and stuns monsters upon landing.|Poimi ja heitä hirviö, joka tekee vaikutusalueen arkaanista vahinkoa ja tainnuttaa hirviöt laskeutuessaan.|Agarra e arremessa um monstro que causa Dano Arcano em área e atordoa inimigos ao aterrissar.| Подберите и бросьте монстра, который наносит урон тайной магией по области и оглушает монстров при приземлении.|抓取並丟出一個怪物, 落地時會造成範圍奧術傷害並暈眩敵人. |範囲効果のアーケイン ダメージを与え、着地時にモンスターをスタンさせるモンスターを拾って投げます。|몬스터를 들어 올려 던지며, 광역 아케인 데미지를 입히고 몬스터를 기절시킵니다.|Hebe ein Monster auf und wirf es, das arkanen Flächenschaden verursacht und Monster bei der Landung betäubt.|Ramassez et lancez un monstre qui inflige des dégâts de zone et étourdit les autres ennemis lorsqu'il atterrit.|Saisissez et projetez un monstre, infligeant des dégâts arcaniques de zone et étourdissant les monstres à l'atterrissage.|Podnieś i rzuć potworem który zadaje obrażenia obszarowe arcane i ogłusza potwory przy lądowaniu.
talent_desc_ymirsChampion|Perform a cold enhanced strike with additive cold damage, Increased attack damage and attack rating. Attacks also freeze monsters and summons a spinning axe that deals additional damage.|Suorita tehostettu kylmäisku lisäämällä kylmävaurioita, lisäämällä hyökkäysvahinkoa ja hyökkäysluokitusta. Hyökkäykset myös jäädyttävät hirviöitä ja kutsuvat pyörivän kirveen, joka tekee lisävahinkoa.|Executa um ataque aprimorado de gelo com Dano Adicional de Gelo, Dano de Ataque e Taxa de Ataque aumentados. Os ataques também congelam os inimigos e criam um Machado Giratório.| Нанести усиленный холодом удар с дополнительным уроном от холода|攻擊附加冰霜傷害和增加攻擊命中率, 攻擊還會凍結敵人並召喚造成額外傷害的旋轉斧. |追加の冷気ダメージ、攻撃ダメージと攻撃レーティングの強化された冷気攻撃を実行します。 攻撃はモンスターを凍結させ、追加のダメージを与える回転斧を召喚します。|추가 냉기 데미지, 증가된 공격 데미지, 명중률로 냉기 강화 공격을 수행합니다. 공격 시 몬스터를 동결시키고 추가 데미지를 입히는 회전 도끼를 소환합니다.|Führe einen verstärkten Kälteschlag mit zusätzlichem Kälteschaden, erhöhtem Angriffsschaden und Angriffswertung aus. Angriffe frieren auch Monster ein und beschwören eine wirbelnde Axt, die zusätzlichen Schaden verursacht.|Attaque gelée infligeant des dégâts de froid supplémentaires et des dégâts d'attaque accrus. Les attaques gèlent également les ennemis touchés et ont un niveau d'attaque augmentée.|Exécutez une frappe de froid renforcée, infligeant des dégâts de froid additionnels et augmentant vos dégâts et votre précision d'attaque. Les attaques gèlent également les monstres et invoquent une hache tournoyante infligeant des dégâts supplémentaires.|Wykonaj uderzenie wzmocnione zimnem z addytywnymi obrażeniami zimna, zwiększonymi obrażeniami ataku i trafieniem ataku. Ataki również zamrażają potwory i przywołują wirujące topory zadające dodatkowe obrażenia.
talent_desc_whirlwind|Spin your weapons around you dealing damage to monsters struck.|Pyöritä aseitasi ympärilläsi ja vahingoita osumia hirviöitä.|Gira suas armas à sua volta, causando Dano aos inimigos atingidos.| Вращайте свое оружие вокруг себя, нанося урон пораженным монстрам.|旋轉你的武器對你周圍的敵人造成傷害. |武器を回転させて攻撃したモンスターにダメージを与えます。|무기를 회전시켜 맞은 몬스터에게 데미지를 입힙니다.|Wirbele deine Waffen um dich herum und füge getroffenen Monstern Schaden zu.|Faites tourner vos armes autour de vous en infligeant des dégâts de zone aux ennemis touchés.|Faites tournoyer vos armes autour de vous pour infliger des dégâts aux monstres touchés.|Wiruj swoimi broniami wokół siebie zadając obrażenia trafionym potworom.
talent_desc_shockwave|Smash the ground causing a shockwave that deals area of effect damage and stuns monsters. |Murskaa maata aiheuttaen shokkiaallon, joka vaurioittaa vaikutusaluetta ja tainnuttaa hirviöt. |Atinge o inimigo, causando uma onda de choque que dá Dano em Área e Atordoa os inimigos. (Não pode causar efeitos de ataque)| Ударьте по земле, вызвав ударную волну, которая наносит урон по области и оглушает монстров.|重擊大地, 引發衝擊波對範圍內的怪物造成傷害並使其眩暈. |地面を叩きつけて衝撃波を発生させ、範囲ダメージを与えてモンスターをスタンさせます。|땅을 내리쳐 충격파를 일으켜 광역 데미지와 몬스터를 기절시킵니다.|Schlage auf den Boden und verursache eine Schockwelle, die Flächenschaden verursacht und Monster betäubt.||Frappez le sol pour créer une onde de choc infligeant des dégâts de zone et étourdissant les monstres.|Uderz w ziemię powodując falę uderzeniową która zadaje obrażenia obszarowe i ogłusza potwory.
talent_desc_berserk|Every successful hit with berserk increases your attack damage, attack speed and movement speed for berserk stacking up to 8 times.|Jokainen onnistunut isku berserkillä lisää hyökkäysvahinkoasi, hyökkäysnopeutta ja liikkeen nopeutta, jolloin berserk pinoaa jopa 8 kertaa.|Atinge um inimigo e, por cada golpe bem sucedido, aumenta o seu Dano de Ataque para Berserker, a Velocidade de Ataque e a Velocidade de Movimento, acumulando até 8 vezes.| Каждый успешный удар берсерка увеличивает урон от атаки.|每當使用狂暴成功擊中一次, 都會增加攻擊傷害, 攻擊速度和移動速度, 最多可疊加 8 層. |バーサーカーによる攻撃が成功するたびに、バーサーカーの攻撃ダメージ、攻撃速度、移動速度が増加し、最大 8 回までスタックします。|광전사로 적중 시마다 광전사의 공격 데미지, 공격 속도, 이동 속도가 증가하며 최대 8회까지 중첩됩니다.|Jeder erfolgreiche Treffer mit Berserker erhöht deinen Angriffsschaden, deine Angriffsgeschwindigkeit und deine Bewegungsgeschwindigkeit für Berserker bis zu 8-mal.|Chaque coup réussi augmente votre vitesse d'attaque et votre vitesse de marche/course, cumulables jusqu'à 8 fois.|Chaque coup réussi en mode berserk augmente vos dégâts d'attaque, votre vitesse d'attaque et votre vitesse de déplacement pendant la frénésie, cumulable jusqu'à 8 fois.|Każde udane trafienie berserkiem zwiększa twoje obrażenia ataku, prędkość ataku i prędkość ruchu dla berserka stackując do 8 razy.
talent_desc_demolishingWinds|Whirlwind now unleashes tornadoes dealing portion of the Whirlwinds damage to monsters struck.|Whirlwind päästää nyt valloilleen tornadot, jotka aiheuttavat osan Whirlwindin aiheuttamista vahingoista iskuille hirviöille. |O Redemoinho agora solta tornados que causam uma parte do Dano do Redemoinho nos inimigos atingidos.| Вихрь теперь выпускает торнадо, нанося часть урона от Вихря пораженным монстрам.|旋風斬現在可以釋放龍捲風, 對被攻擊的敵人造成一部分的旋風斬傷害. |旋風は竜巻を解き放ち、攻撃したモンスターに旋風のダメージの一部を与えます。 |휠윈드는 이제 휠윈드 데미지의 일부를 맞은 몬스터에게 입히는 토네이도를 방출합니다.|Wirbelwind entfesselt jetzt Tornados, die getroffenen Monstern einen Teil des Wirbelwindschadens zufügen.|Tourbillon déclenche désormais des tornades qui infligent des dégâts d’arcane aux ennemis touchés.|Tourbillon déchaîne désormais des tornades infligeant une partie de ses dégâts aux monstres touchés. |Wir teraz uwalnia tornada zadające część obrażeń Wiru trafionym potworom.
|||||||||||
talent_name_blazingTrail|Blazing Trail|Loistava polku|Trilha de Fogo| Пылающий след|熾烈蹤跡|燃える道|블레이징 트레일|Flammende Spur|Sentier flamboyant|Sentier flamboyant|Płonąca Ścieżka
talent_name_fireEnchant|Fire Enchant|Fire Enchant|Encantamento de Fogo| Огненные чары|火焰附魔|炎のエンチャント|파이어 인챈트|Feuerverzauberung|Enchantement du feu|Enchantement de feu|Zaklęcie Ognia
talent_name_phoenixFlight|Phoenix Flight|Phoenixin lento|Voo da Fênix| Полет Феникса|鳳凰飛行|フェニックス フライト|피닉스 플라이트|Phönixflug|Vol du phénix|Vol du phénix|Lot Feniksa
talent_name_infernoSlash|Inferno Slash|Inferno Slash|Corte Infernal| Инферно|地獄之刃|インフェルノ スラッシュ|인페르노 슬래시|Infernohieb|Taillade infernale|Coup infernal|Płonące Cięcie
talent_name_ignite|Ignite|Sytyttää|Ignição| Зажигать|燃燒|点火|이그나이트|Entzünden|Allumage|Embrasement|Podpalenie
talent_name_fireShield|Fire Shield|Palokilpi|Escudo de Fogo| Пожарный щит|烈火神盾|ファイア シールド|파이어 쉴드|Feuerschild|Bouclier de feu|Bouclier de feu|Tarcza Ognia
talent_name_searingChains|Searing Chains|Paahtavat ketjut|Correntes Abrasadoras| Жгучие цепи|灼熱鎖鏈|焼け付く鎖|써링 체인|Sengende Ketten|Chaînes incandescentes|Chaînes brûlantes|Palące Łańcuchy
talent_name_livingBomb|Living Bomb|Elävä pommi|Bomba Viva| Живая Бомба|活體炸彈|生ける爆弾|리빙 봄|Lebende Bombe||Bombe vivante|Żywa Bomba
talent_name_fieryPresence|Fiery Presence|Tulinen läsnäolo|Presença Ardente| Огненное Присутствие|火焰領域|燃える存在|파이어리 프레젠스|Feurige Präsenz|Présence ardente|Présence ardente|Ognista Obecność
talent_name_avatarOfFire|Avatar of Fire|Tulen avatar|Avatar de Fogo| Аватар Огня|火之化身|火の化身|파이어 아바타|Avatar des Feuers|Avatar de feu|Avatar de feu|Awatar Ognia
talent_name_fireBall|Fireball|Tulipallo|Bola de Fogo| Огненный шар|火球|火の玉|파이어볼|Feuerball|Boule de feu|Boule de feu|Kula Ognia
talent_name_breathOfFire|Breath of Fire|Tulen henkäys|Sopro de Fogo| Дыхание Огня|火焰吐息|火の息吹|파이어 브레스|Feueratem|Souffle de feu|Souffle de feu|Oddech Ognia
talent_name_meteor|Meteor|Meteori|Meteoro| Метеор|流星|流星|메테오 스톰|Meteor|Météore|Météore|Meteor
talent_name_scorchingAura|Scorching Aura|Polttava Aura|Aura Escaldante| Обжигающая Аура|灼熱光環|灼熱のオーラ|스코칭 오라|Sengende Aura|Aura brûlante|Aura brûlante|Parząca Aura
talent_name_hydra|Hydra|Hydra|Hidra| Гидра|九頭蛇|ヒドラ|히드라|Hydra|Hydre|Hydre|Hydra
talent_name_comet|Comet|Komeetta|Cometa| комета|彗星|彗星|코멧|Komet|Comète|Comète|Kometa
talent_name_fireNova|Fire Nova|Tuli Nova|Nova de Fogo| Огненная Новая|火焰新星|火の新星|파이어 노바|Feuernova|Nova de feu|Nova de feu|Ognista Nowa
talent_name_volcano|Volcano|Tulivuori|Vulcão| Вулкан|火山|火山|볼케이노|Vulkan|Volcan|Volcan|Wulkan
talent_name_armageddon|Armageddon|Harmageddon |Armagedom| Армагеддон|毀天滅地|アルマゲドン |아마겟돈|Armageddon|Armageddon|Armageddon |Armagedon
|||||||||||
talent_desc_blazingTrail|Leave behind a trail of fire dealing fire damage to monsters.|Leave behind a trail of fire dealing fire damage to monsters.|Deixa um rastro de fogo que causa Dano de Fogo aos inimigos.| Оставляет за собой огненный след, наносящий урон монстрам.|移動過的路徑上留下火焰, 對敵人造成火焰傷害. |モンスターに火属性ダメージを与える炎の軌跡を残す。|불꽃 자국을 남겨 몬스터에게 불 데미지를 입힙니다.|Hinterlasse eine Feuerspur, die Monstern Feuerschaden zufügt.|Laissez derrière vous une traînée de feu qui inflige des dégâts aux ennemis.|Laissez une traînée de feu infligeant des dégâts de feu aux monstres.|Zostaw za sobą ślad ognia zadający obrażenia fire potworom.
talent_desc_fireEnchant|Enchant your attacks with additive fire damage inflicting burning on monsters. Your spells also apply a stack of Ignite. |Enchant your attacks with additive fire damage inflicting burning on monsters. Your spells also apply a stack of Ignite. |Encanta seus ataques com Dano de Fogo Aditivo, Queimando inimigos. Suas habilidades também aplicam um acúmulo de Ignição.| Зачаруйте свои атаки дополнительным огненным уроном, вызывающим горение у монстров. Ваши заклинания также накладывают стек Воспламенения.|為你的攻擊附加火焰傷害並對怪物造成點燃效果, 你的法術也會能堆疊點燃效果. |攻撃に追加の火属性ダメージを付与し、モンスターに燃焼を付与する。呪文もイグナイトのスタックを付与する。|공격에 추가 불 데미지를 부여하여 몬스터에게 화상 효과를 일으킵니다. 주문을 사용할 때마다 점화 중첩이 적용됩니다.|Verzaubere deine Angriffe mit zusätzlichem Feuerschaden, der Monster in Brand setzt. Deine Zauber wenden außerdem einen Stapel „Entzünden“ an.|Enchantez vos attaques en y ajoutant des dégâts de feu.|Enchantez vos attaques avec des dégâts de feu cumulatifs, infligeant des brûlures aux monstres. Vos sorts appliquent également un cumul d'Embrasement.|Zaklnij swoje ataki addytywnymi obrażeniami fire nakładając palenie na potwory. Twoje zaklęcia również nakładają stack Ignite.
talent_desc_phoenixFlight|Charge forward through the air dealing area of effect fire damage when landing.|Charge forward through the air dealing area of effect fire damage when landing.|Avança para frente através do ar causando Dano de Fogo em área ao aterrissar.| Прорывайтесь вперед по воздуху, нанося урон огнем по области при приземлении.|在空中向前衝鋒, 著陸時造成範圍火焰傷害. |空中を突進し、着地時に範囲火属性ダメージを与える。|공중을 돌진하여 착지 시 범위 불 데미지를 입힙니다.|Stürme durch die Luft und verursache beim Landen Flächenbrandschaden.|Chargez dans les airs en infligeant d'énormes dégâts de zone à l'atterrissage.|Chargez en avant dans les airs, infligeant des dégâts de feu de zone à l'atterrissage.|Szarżuj do przodu przez powietrze zadając obrażenia obszarowe fire przy lądowaniu.
