[Item Stats]|en|fi|pt|ru|zh|ja|ko|de|fr|sp|pl
stat_attack_speed_t|Total Attack Speed|Kokonaishyökkäysnopeus alennettu|Velocidade Total de Ataque|Общая скорость атаки|總攻擊速度|総攻撃速度が減少 |총 공격 속도 감소|Gesamte Angriffsgeschwindigkeit|Vitesse d'attaque totale réduite de |Velocidad de Ataque Total Reducida en|Całkowita szybkość ataku
stat_movement_speed_t|Increased Total Movement Speed||Velocidade Total de Movimento Aumentada|Общая скорость передвижения повышена|總移動速度增加|合計移動速度増加|추가 총 이동 속도|Erhöhte Gesamtbewegungsgeschwindigkeit|Augmentation de la vitesse de déplacement totale |Aumento de la velocidad de movimiento general |Zwiększona całkowita prędkość ruchu
stat_summon_attack_speed|Increased Summon Attack Speed|Lisääntynyt kutsuhyökkäysnopeus|Velocidade de Ataque dos Invocados Aumentada|Скорость атаки призванных повышена|召喚物攻擊速度增加|召喚物の攻撃速度増加|소환수 공격 속도 증가|Erhöhte Beschwörungsangriffsgeschwindigkeit|Augmentation de la vitesse d'attaque d'invocation |Velocidad de Ataque de Invocaciones Aumentada|Zwiększona szybkość ataku przywołań
stat_summon_skills|to Summon Skills|kutsua taitoja|Habilidades de Invocação|Навыки призыва|召喚技能等級|召喚スキル |소환 스킬|auf Beschwörungs-Fertigkeiten|pour invoquer des compétences |a Habilidades de Invocación|do umiejętności przywołań
stat_summon_damage|Summon Damage Increased by|Summon Damage lisääntynyt|Dano dos Invocados Aumentado|Урон призванных повышен|召喚物傷害增加|召喚ダメージが増加 |소환수 데미지 증가|Beschwörungsschaden erhöht um|Dégâts d'invocation augmentés de |Daño de Invocaciones Aumentado en|Obrażenia przywołań zwiększone o
stat_projectileSpeed|to Projectile Speed|ammuksen nopeuteen|Velocidade dos Projéteis|Скорость снарядов|投射物速度|発射速度へ |투사체 속도|zur Projektilgeschwindigkeit|à la vitesse du projectile |a Velocidad de Proyectil|do prędkości pocisków
stat_attack_range|Attack Range Increased by|Hyökkäysetäisyys kasvanut|Alcance de Ataque Aumentado|Дальность атаки повышена|攻擊距離增加|攻撃範囲が増加 |공격 범위 증가|Angriffsreichweite erhöht um|Portée d'attaque augmentée de |Rango de Ataque Aumentado|Zasięg ataku zwiększony o
stat_cooldown_reduction|Skill Haste Increased by|Jäähdytyksen palautuminen lisääntynyt|Aceleração de Habilidade Aumentada|Скорость навыков повышена|技能冷卻時間恢復速度增加|クールダウン回復が増加 |재사용 대기시간 감소|Abklingzeit-Erholung erhöht um|Récupération du temps de recharge augmentée de |Recuperación de Enfriamiento Aumentada|Przyspieszenie umiejętności zwiększone o
stat_cooldown_reduction_belt|Flask Skill Haste Increased by|Kolvin jäähdytyspalautus lisääntynyt|Aceleração de Habilidade de Frasco Aumentada|Скорость навыков зелий повышена|藥劑冷卻時間恢復速度增加|フラスコのクールダウン回復が |플라스크 재사용 대기시간 감소|Trank Abklingzeit-Erholung erhöht um|Récupération du temps de recharge du flacon augmentée de |Recuperación de Enfriamiento de Poción Aumentada|Przyspieszenie umiejętności flaszek zwiększone o
stat_to|to|to|Para|К|對|に対して |의|auf|à |a|do
stat_double_jump|Double Jump|Kaksoishyppy|Salto Duplo|Двойной прыжок|二段跳躍|ダブルジャンプ |더블 점프|Doppelsprung|Double saut|Salto Doble|Podwójny skok
stat_skill_damage|Magic Skill Damage increased by|Magic Skill Damage kasvoi|Dano de Habilidades Mágicas Aumentado|Урон магических навыков повышен|法術技能傷害增加|スキルダメージ増加|마법 스킬 데미지 증가|Magie Fertigkeitsschaden erhöht um|Dégâts compétences magiques augmentés de |Daño de Habilidades Mágicas Aumentado en|Obrażenia umiejętności magicznych zwiększone o
stat_explosion_aoe|Explosion area of effect increased by|Räjähdysalueen vaikutusalue kasvoi|Área de Efeito de Explosão Aumentada|Радиус взрыва повышен|爆炸範圍增加|爆発範囲拡大|폭발 범위 증가|Explosionsradius erhöht um|Taille de la zone d'effet augmentée de |Área de Efecto de Explosión Aumentada en|Powierzchnia wybuchu zwiększona o
stat_block_rating|Increased Chance of Blocking|Lisääntynyt eston mahdollisuus|Chance de Bloqueio Aumentada|Шанс блока повышен|格擋機率增加|ブロックの確率増加|블록 확률 증가|Erhöhte Chance zu Blocken|de chance de bloquer|Probabilidad de Bloqueo Aumentada|Zwiększona szansa na blokowanie
stat_enhanced_damage|Enhanced Damage|Tehostettu vahinko|Dano Aprimorado|Усиленный урон|增強傷害|ダメージ増加|증가된 데미지|Verstärkter Schaden|de dégâts|Daño Mejorado|Zwiększone obrażenia
stat_enhanced_defense|Enhanced Defense|Tehostettu puolustus|Defesa Aprimorada|Усиленная защита|增強防禦|防御力増加|증가된 방어력|Verstärkte Verteidigung|de défense|Defensa Mejorada|Zwiększona obrona
stat_critical_rate|Increased Critical Strike Chance|Lisääntynyt kriittisen iskun mahdollisuus|Chance de Acerto Crítico Aumentada|Шанс критического удара повышен|暴擊機率增加|クリティカルヒット確率の増加 |치명타 확률 증가|Erhöhte Chance auf kritische Treffer|de chance de faire un coup critique|Probabilidad de Golpe Crítico Aumentada|Zwiększona szansa na trafienie krytyczne
stat_deadly_blow|Chance for a Deadly Blow|Mahdollisuus tappavaan iskuun|Chance de Golpe Mortal|Шанс нанести смертельный удар|致命一擊機率|致命的な一撃のチャンス|데들리 블로 확률|Chance auf tödlichen Schlag|de chance de faire un coup mortel|Probabilidad de Golpe Mortal|Szansa na śmiertelny cios
stat_deadly_blow_p|Deadly Blow Damage increased by||Dano de Golpe Mortal Aumentado|Урон от смертельного удара повышен|致命一擊傷害增加|デッドリーブローのダメージ増加|데들리 블로 데미지 추가|Tödlicher Schlagschaden erhöht um|Dégâts du coup mortel augmentés de |El daño causado por el golpe mortal aumentó en |Obrażenia śmiertelnego ciosu zwiększone o
stat_crushing_blow|Chance for a Crushing Blow|Mahdollisuus murskaavaan iskuun|Chance de Golpe Esmagador|Шанс на сокрушительный удар|壓碎打擊機率|打撃力増加のチャンス|크러싱 블로 확률|Chance auf einen zerschmetternden Schlag|de chance de faire un coup cinglant|Probabilidad de Golpe Devastador|Szansa na miażdżący cios
stat_crushing_blow_p|Crushing Blow Armor Break increased by||Quebra de Armadura do Golpe Esmagador Aumentada|Пробитие брони от сокрушительного удара повышено|壓碎打擊的護甲破壞效果增加|クラッシングブローのアーマーブレイク効果増加|크러싱 블로 아머 파괴 추가|Zerschmetternder Schlag Rüstungsbruch erhöht um|Coup écrasant Brise-armure augmentée de |Golpe aplastante, Rompearmaduras aumentado |Przebicie pancerza miażdżącego ciosu zwiększone o
stat_attack_rating_p|Increased Attack Rating|Lisääntynyt hyökkäysluokitus|Precisão de Ataque Aumentada|Точность атаки повышена|命中率增加|攻撃評価増加|명중률 증가|Erhöhte Angriffswertung|d'augmentation du niveau d'attaque|Rating de Ataque Aumentado|Zwiększona celność ataku
stat_attack_rating|to Attack Rating|hyökkäysluokitukseen|Para Precisão de Ataque|К точности атаки|命中率|攻撃評価へ|명중률|auf Angriffswertung|au niveau d'attaque|a Rating de Ataque|do celności ataku
stat_life_per_hit|Life stolen per Hit|Henki varastettu osumaa kohti|Vida Roubada por Acerto|Кража жизни за удар|擊中偷取生命|ヒットごとに吸収されるライフ|공격 당 생명력 흡수|Leben pro Treffer gestohlen|de vie volée par coup|Vida Robada por Golpe|Kradzież życia na uderzenie
stat_mana_per_hit|Mana stolen per Hit|Mana varastettu hittiä kohden|Mana Roubada por Acerto|Кража маны за удар|擊中偷取魔力|ヒットごとに吸収されるマナ|공격 당 마나 흡수|Mana pro Treffer gestohlen|de mana volé par coup|Maná Robado por Golpe|Kradzież many na uderzenie
stat_life_per_second|Life per second|Elämä sekunnissa|Vida por Segundo|Жизнь в секунду|每秒生命回復|1秒あたりの寿命 |초당 생명력|Leben pro Sekunde|Vie par seconde |Vida por Segundo|Życie na sekundę
stat_mana_per_second|Mana per second|Mana sekunnissa|Mana por Segundo|Мана в секунду|每秒魔力回復|1秒あたりのマナ |초당 마나|Mana pro Sekunde|Mana par seconde |Maná por Segundo|Mana na sekundę
stat_critical_damage|Increased Critical Strike Damage|Lisääntynyt kriittisten iskujen vahinko|Dano de Acerto Crítico Aumentado|Урон от критического удара повышен|暴擊傷害增加|クリティカルストライクダメージ増加|치명타 데미지 증가|Erhöhter kritischer Trefferschaden|de dégâts critique|Daño de Golpe Crítico Aumentado|Zwiększone obrażenia trafienia krytycznego
stat_target_defense|of target Defense ignored|kohteen puolustus huomioimatta|Defesa do Alvo Ignorada|Игнорирование защиты цели|無視目標防禦|対象の防御力を無視|대상 방어구 무시|von Zielverteidigung ignoriert|de la défense de la cible ignorée|Ignora Defensa del Objetivo|Ignorowanie obrony celu
stat_open_wounds|Chance to Open Wounds|Mahdollisuus avata haavat|Chance de Abrir Feridas|Шанс открыть раны|造成撕裂傷口機率|ウーンドを開くチャンス|출혈 확률|Chance auf Wunden|de chance de blessures ouvertes|Probabilidad de Heridas Abiertas|Szansa na otwarcie ran
stat_open_wounds_p|Open Wounds Bleed Damage increased by||Dano de Sangramento de Feridas Abertas Aumentado|Урон кровотечения от открытых ран повышен|撕裂傷口流血傷害增加|オープンウーンズの出血ダメージ増加|출혈 데미지 추가|Blutungsschaden bei offenen Wunden erhöht um|Les dégâts de saignement des plaies ouvertes ont été augmentés de |El daño hemorrágico de las heridas abiertas ha aumentado en |Obrażenia krwawienia z otwartych ran zwiększone o
stat_piercing|Piercing Attack|Lävistyshyökkäys|Ataque Perfurante|Пронзающая атака|穿透攻擊|貫通攻撃|관통 공격|Durchdringender Angriff|Attaque perçante|Ataque Perforante|Przebicie ataku
stat_slow_target|Slows target by|Hidastaa tavoitetta|Reduz Velocidade do Alvo|Замедление цели|減緩目標|対象を減速|대상 슬로우|Verlangsamt das Ziel um|Ralentit la cible de|Ralentiza al Objetivo en|Spowalnia cel o
stat_monsters_rest_in_peace|Monsters rest in peace after death|Hirviöt lepäävät rauhassa kuoleman jälkeen |Monstros descansam em paz após a morte|Монстры упокоиваются после смерти|怪物擊殺後安息|モンスターは死後安らかに眠る |괴물은 죽은 뒤에도 편히 쉬어간다 |Monster ruhen in Frieden nach dem Tod|Les monstres reposent en paix après la mort |Monstruos Descansan en Paz al Morir|Potwory spoczywają w pokoju po śmierci
stat_strength|to Strength|vahvuuteen|Força|Сила|力量|力へ|힘|auf Stärke|en force|a Fuerza|do Siły
stat_dexterity|to Dexterity|Kevyydelle|Destreza|Ловкость|敏捷|器用さへ|민첩성|auf Geschicklichkeit|en dextérité|a Destreza|do Zręczności
stat_intelligence|to Intelligence|älykkyyteen|Inteligência|Интеллект|智力|インテリジェンスへ |지능|auf Intelligenz|en intelligence|a Inteligencia|do Inteligencji
stat_energy|to Energy|Energialle|Energia|Энергия|能量|エネルギーへ|에너지|auf Energie|en énergie|a Energía|do Energii
stat_armor|to Armor|panssariin|Armadura|Броня|護甲|アーマーへ|방어력|auf Rüstung|d'armure|a Armadura|do Pancerza
stat_vitality|to Vitality|elinvoimaisuuteen|Vitalidade|Живучесть|體力|体力へ|활력|auf Vitalität|en vitalité|a Vitalidad|do Witalności
stat_strength_p|Increased Strength||Força Aumentada|Сила повышена|力量增加|筋力増加|힘 추가|Erhöhte Stärke|Force accrue|Mayor fuerza|Zwiększona Siła
stat_armor_p|Increased Armor||Armadura Aumentada|Броня повышена|護甲增加|防御力増加|방어력 추가|Verbesserte Panzerung|Armure accrue|Mayor armadura|Zwiększony Pancerz
stat_intelligence_p|Increased Intelligence||Inteligência Aumentada|Интеллект повышен|智力增加|知力増加|지능 추가|Verbesserte Intelligenz|Intelligence accrue|Mayor inteligencia|Zwiększona Inteligencja
stat_vitality_p|Increased Vitality||Vitalidade Aumentada|Живучесть повышена|體力增加|活力増加|체력 추가|Verbesserte Vitalität|Vitalité accrue|Mayor vitalidad |Zwiększona Witalność
stat_dexterity_p|Increased Dexterity||Destreza Aumentada|Ловкость повышена|敏捷增加|敏捷性増加|민첩 추가|Verbesserte Geschicklichkeit|Dextérité accrue|Destreza Aumentada|Zwiększona Zręczność
stat_energy_p|Increased Energy||Energia Aumentada|Энергия повышена|能量增加|エネルギー増加|에너지 추가|Verbesserte Energie|Énergie accrue |Mayor energía |Zwiększona Energia
stat_pointsLeft|Points Left|Pisteitä jäljellä|Pontos Restantes|Осталось очков|剩餘點數|残されたポイント|남은 포인트|Verbleibende Punkte|Point(s) restant(s)|Puntos Restantes|Pozostałe punkty
stat_all_stats|to All Attributes|kaikkiin määritteisiin|Para Todos os Atributos|Ко всем характеристикам|全屬性|全ての属性へ|모든 스텟|auf alle Attribute|à toutes les statistiques|a Todos los Atributos|do wszystkich atrybutów
stat_all_stats_p|Increased All Attributes||Todos os Atributos Aumentados|Все характеристики повышены|全屬性增加|全属性増加|모든 스텟 추가|Erhöhte alle Attribute|Augmentation de tous les attributs |Aumento de todos los atributos. |Zwiększone wszystkie atrybuty
stat_physical_damage|to Physical Damage|fyysiselle vahingolle|Dano Físico|Физический урон|附加物理傷害|付加的な物理的ダメージへの影響|물리 데미지|auf zusätzlichem physischen Schaden|aux dégâts physique infusés|a Daño Físico Adicional|do obrażeń fizycznych
stat_magic_damage|to Additive Arcane Damage|Additive Arcane Damage|Dano Arcano Adicional|Дополнительный урон от тайной магии|附加奧術傷害|追加の秘術ダメージ |추가 아케인 데미지|zu additivem Arkanschaden|aux dégâts d'arcane infusés|a Daño Arcano Adicional|do addytywnych obrażeń arkanicznych
stat_lightning_damage|to Additive Lightning Damage|lisäaineisiin salamavaurioihin|Dano de Relâmpago Adicional|Дополнительный урон от молнии|附加閃電傷害|加算雷撃ダメージへ|추가 번개 데미지|zu additivem Blitzschaden|aux dégâts de foudre infusés|a Daño de Rayo Adicional|do addytywnych obrażeń błyskawic
stat_fire_damage|to Additive Fire Damage|lisäainepalovaurioille|Dano de Fogo Adicional|Дополнительный урон от огня|附加火焰傷害|加算火災ダメージへ|추가 불 데미지|zu additivem Feuerschaden|aux dégâts de feu infusés|a Daño de Fuego Adicional|do addytywnych obrażeń ognistych
stat_cold_damage|to Additive Cold Damage|lisäainekylmävaurioille|Dano de Gelo Adicional|Дополнительный урон от холода|附加冰霜傷害|加算冷気ダメージへ|추가 냉기 데미지|zu additivem Kälteschaden|aux dégâts de froid infusés|a Daño de Frío Adicional|do addytywnych obrażeń lodowych
stat_poison_damage|to Additive Poison Damage|lisäainemyrkkyvaurioille|Dano de Veneno Adicional|Дополнительный урон от яда|附加毒素傷害|加算毒ダメージへ|추가 독 데미지|zu additivem Giftschaden|aux dégâts de poison infusés|a Daño de Veneno Adicional|do addytywnych obrażeń trujących
stat_spell_magic_damage|to Arcane Skill Damage|Arcane Skill Damageen|Dano de Habilidades Arcanas|Урон от тайных навыков|奧術技能傷害|秘術スキルのダメージ|아케인 스킬 데미지|zu Arkan-Fertigkeitsschaden|aux dégâts des compétences arcaniques|a Daño de Habilidades Arcanas|do obrażeń umiejętności arkanicznych
stat_spell_lightning_damage|to Lightning Skill Damage|salaman taitovaurioon|Dano de Habilidades de Relâmpago|Урон от навыков молнии|閃電技能傷害|雷スキルのダメージ|번개 스킬 데미지|zu Blitz-Fertigkeitsschaden|aux dégâts des compétences de foudre|a Daño de Habilidades de Rayo|do obrażeń umiejętności błyskawic
stat_spell_fire_damage|to Fire Skill Damage|palotaitojen vaurioihin|Dano de Habilidades de Fogo|Урон от навыков огня|火焰技能傷害|火スキルのダメージ|불 스킬 데미지|zu Feuer-Fertigkeitsschaden|aux dégâts des compétences de feu|a Daño de Habilidades de Fuego|do obrażeń umiejętności ognistych
stat_spell_cold_damage|to Cold Skill Damage|kylmään taitovaurioon|Dano de Habilidades de Gelo|Урон от навыков холода|冰霜技能傷害|冷気スキルのダメージ|냉기 스킬 데미지|zu Kälte-Fertigkeitsschaden|aux dégâts des compétences de froid|a Daño de Habilidades de Frío|do obrażeń umiejętności lodowych
stat_spell_poison_damage|to Poison Skill Damage|Poison Skill Damage|Dano de Habilidades de Veneno|Урон от навыков яда|毒素技能傷害|毒スキルのダメージ |독 스킬 데미지|zu Gift-Fertigkeitsschaden|aux dégâts des compétences de poison |a Daño de Habilidades de Veneno|do obrażeń umiejętności trujących
stat_spell_elemental_damage|to Magic Skill Damage||Dano de Habilidades Mágicas|Урон от магических навыков|法術技能傷害|魔法スキルダメージ|마법 스킬 데미지|zu Magie-Fertigkeitsschaden|aux dégâts des compétences magiques |al daño causado por habilidades mágicas |do obrażeń umiejętności magicznych
stat_fire_damage_p|Fire Skill Damage increased by|Fire Skill Damage kasvoi|Dano de Habilidades de Fogo Aumentado|Урон от навыков огня повышен|火焰技能傷害增加|火焔スキルダメージ増加|불 스킬 데미지 증가|Feuer-Fertigkeitsschaden erhöht um|Dégâts des compétences de feu augmentés de |Daño de Habilidades de Fuego Aumentado en|Obrażenia umiejętności ognistych zwiększone o
stat_cold_damage_p|Cold Skill Damage increased by|Kylmän taitovauriot lisääntyivät|Dano de Habilidades de Gelo Aumentado|Урон от навыков холода повышен|冰霜技能傷害增加|冷気スキルダメージ増加|냉기 스킬 데미지 증가|Kälte-Fertigkeitsschaden erhöht um|Dégâts des compétences de froid augmentés de |Daño de Habilidades de Frío Aumentado en|Obrażenia umiejętności lodowych zwiększone o
stat_magic_damage_p|Arcane Skill Damage increased by|Arcane Skill Damage lisääntyi|Dano de Habilidades Arcanas Aumentado|Урон от тайных навыков повышен|奧術技能傷害增加|アーケインスキルのダメージが増加 |아케인 스킬 데미지가 증가|Arkan-Fertigkeitsschaden erhöht um|Dégâts des compétences d'arcane augmentés de |Daño de Habilidades Arcanas Aumentado en|Obrażenia umiejętności arkanicznych zwiększone o
stat_poison_damage_p|Poison Skill Damage increased by|Poison Skill Damage lisääntynyt|Dano de Habilidades de Veneno Aumentado|Урон от навыков яда повышен|毒素技能傷害增加|毒スキルダメージ増加|독 스킬 데미지 증가|Gift-Fertigkeitsschaden erhöht um|Dégâts des compétences de poison augmentés de |Daño de Habilidades de Veneno Aumentado en|Obrażenia umiejętności trujących zwiększone o
stat_lightning_damage_p|Lightning Skill Damage increased by|Lightning Skill Damage lisääntynyt|Dano de Habilidades de Relâmpago Aumentado|Урон от навыков молнии повышен|閃電技能傷害增加|雷撃スキルダメージ増加|번개 스킬 데미지 증가|Blitz-Fertigkeitsschaden erhöht um|Dégâts des compétences de foudre augmentés de |Daño de Habilidades de Rayo Aumentado en|Obrażenia umiejętności błyskawic zwiększone o
stat_physical_damage_p|Attack Damage increased by|Attack Damage kasvoi|Dano de Ataque Aumentado|Урон от атаки повышен|攻擊傷害增加|攻撃ダメージ増加|공격 데미지 증가|Angriffsschaden erhöht um|Dégâts d'attaque augmentés de |Daño de Ataque Aumentado en|Obrażenia ataku zwiększone o
stat_projectile_damage_p|Projectile Damage increased by||Dano de Projéteis Aumentado|Урон от снарядов повышен|投射物傷害增加|投射物ダメージ増加|투사체 데미지 증가|Projektilschaden erhöht um|Dégâts des projectiles augmentés de|Daño por proyectil aumentado en|Obrażenia pocisków zwiększone o
stat_orbital_damage_p|Orbital Damage increased by||Dano Orbital Aumentado|Урон от орбитальных снарядов повышен|環繞技能傷害增加|軌道ダメージ増加|궤도 데미지 추가|Orbitalschaden erhöht um|Dégâts orbitaux augmentés de |Daño orbital aumentado en |Obrażenia orbitalne zwiększone o
stat_explosion_damage|Explosion Damage increased by|Räjähdysvauriot lisääntyivät|Dano de Explosão Aumentado|Урон от взрывов повышен|爆炸傷害增加|爆発ダメージが増加|폭발 데미지 증가|Explosionsschaden erhöht um|Les dégâts des explosions ont augmenté de|Daño de Explosión Aumentado en|Obrażenia wybuchu zwiększone o
stat_explosion_skills|to Explosion Skills|räjähdystaitoon|Habilidades de Explosão|Навыки взрыва|爆炸技能等級|爆発スキル |폭발 스킬|auf Explosions-Fertigkeiten|aux compétences d'explosion |a Habilidades de Explosión|do umiejętności wybuchowych
stat_cold_skills|to Cold Skills|Cold Skillsiin|Habilidades de Gelo|Навыки холода|冰霜技能等級|冷気スキルへ|냉기 스킬|auf Kälte-Fertigkeiten|aux compétences de froid|a Habilidades de Frío|do umiejętności lodowych
stat_lightning_skills|to Lightning Skills|Lightning Skillsiin|Habilidades de Relâmpago|Навыки молнии|閃電技能等級|雷撃スキルへ|번개 스킬|auf Blitz-Fertigkeiten|aux compétences de foudre|a Habilidades de Rayo|do umiejętności błyskawic
stat_fire_skills|to Fire Skills|tulitaitoihin|Habilidades de Fogo|Навыки огня|火焰技能等級|火焔スキルへ|불 스킬|auf Feuer-Fertigkeiten|aux compétences de feu|a Habilidades de Fuego|do umiejętności ognistych
stat_poison_skills|to Poison Skills|Poison Skillsiin|Habilidades de Veneno|Навыки яда|毒素技能等級|毒スキルへ|독 스킬|auf Gift-Fertigkeiten|aux compétences de poison|a Habilidades de Veneno|do umiejętności trujących
stat_magic_skills|to Arcane Skills|Arcane Skillsiin|Habilidades Arcanas|Навыки тайной магии|奧術技能等級|秘術スキル |아케인 스킬|auf Arkan-Fertigkeiten|aux compétences d'arcane|a Habilidades Arcanas|do umiejętności arkanicznych
stat_physical_skills|to Physical Skills|Fyysisiin taitoihin|Habilidades Físicas|Физические навыки|物理技能等級|物理スキルへ|물리 스킬|auf Physische-Fertigkeiten|aux compétences physique|a Habilidades Físicas|do umiejętności fizycznych
stat_elemental_skills|to Magic Skills|Magic Skillsiin|Habilidades Mágicas|Магические навыки|法術技能等級|魔法のスキルへ |마법 스킬|auf Magie-Fertigkeiten|aux compétences magiques |a Habilidades Mágicas|do umiejętności magicznych
stat_ignore_cold_resist|to Enemy Cold Resistance|vihollisen kylmävastustukseen|Resistência a Gelo dos Inimigos|Сопротивление холоду врагов|敵人冰霜抗性|敵の冷気抵抗へ|적의 냉기 저항|auf Kälteresistenz des Gegners|à la résistance au froid de l'ennemi|a Resistencia a Frío del Enemigo|do odporności na zimno wroga
stat_ignore_fire_resist|to Enemy Fire Resistance|vihollisen tulenvastustukseen|Resistência a Fogo dos Inimigos|Сопротивление огню врагов|敵人火焰抗性|敵の火焔抵抗へ|적의 불 저항|auf Feuerresistenz des Gegners|à la résistance au feu de l'ennemi|a Resistencia a Fuego del Enemigo|do odporności na ogień wroga
stat_ignore_poison_resist|to Enemy Poison Resistance|vihollisen myrkytysresistanssiin|Resistência a Veneno dos Inimigos|Сопротивление яду врагов|敵人毒素抗性|敵の毒抵抗へ|적의 독 저항|auf Giftresistenz des Gegners|à la résistance au poison de l'ennemi|a Resistencia a Veneno del Enemigo|do odporności na truciznę wroga
stat_ignore_lightning_resist|to Enemy Lightning Resistance|vihollisen salaman vastustuskykyyn|Resistência a Relâmpago dos Inimigos|Сопротивление молнии врагов|敵人閃電抗性|敵の雷撃抵抗へ|적의 번개 저항|auf Blitzresistenz des Gegners|à la résistance à la foudre de l'ennemi|a Resistencia a Rayo del Enemigo|do odporności na błyskawice wroga
stat_ignore_magic_resist|to Enemy Arcane Resistance|Enemy Arcane Resistancelle|Resistência Arcana dos Inimigos|Сопротивление тайной магии врагов|敵人奧術抗性|敵のアーケイン耐性|적의 아케인 저항|auf Arkanresistenz des Gegners|à la résistance à l'arcane de l'ennemi|a Resistencia Arcana del Enemigo|do odporności arkanicznej wroga
stat_ignore_all_resist|to All Enemy Resistances|Kaikille vihollisen vastarintamaille|Todas as Resistências dos Inimigos|Все сопротивления врагов|敵人所有抗性|すべての敵の耐性 |모든 적의 저항|auf alle Resistenzen des Gegners|à toutes les résistances ennemies |a Todas las Resistencias del Enemigo|do wszystkich odporności wroga
stat_jump_power|Increased Jumping Power|Lisääntynyt hyppyvoima|Poder de Salto Aumentado|Сила прыжка повышена|跳躍能力增加|ジャンプ力増加|점프 파워 증가|Erhöhte Sprungkraft|Augmentation de la puissance du saut|Poder de Salto Aumentado|Zwiększona moc skoku
stat_hp_rep|Replenish Life|Täydennä elämää |Recuperação de Vida|Восстановление жизни|生命回復|生命力の回復|생명력 회복|Lebensregeneration|Régénération de vie |Regeneración de Vida|Odnawianie życia
stat_hp_rep_t|Total Life Replenish||Recuperação Total de Vida|Общее восстановление жизни|總生命回復|トータルライフリプレニッシュ |토탈 라이프 리플레니시 |Gesamte Lebensregeneration|Durée de vie totale renouvelée |Vida total reabastecida |Całkowite odnawianie życia
stat_mana_rep|Replenish Mana|Täydennä Manaa|Recuperação de Mana|Восстановление маны|魔力回復|マナの回復|마나 회복|Manaregeneration|Régénération du mana |Regeneración de Maná|Odnawianie many
stat_life|to Life|Elämään|Vida|Жизнь|生命|生命力へ|생명력|auf Leben|à la vie|a Vida|do Życia
stat_mana|to Mana|Manalle|Mana|Мана|魔力|マナへ|마나|auf Mana|au mana|a Maná|do Many
stat_faster_hit_recovery|Faster Hit Recovery|Nopeampi osumien palautus|Recuperação Após Acerto Mais Rápida|Более быстрое восстановление после удара|快速打擊恢復|より速い回復力|빠른 피격 회복|Schnellere Erholung nach Treffern|de récupération rapide après un coup|Recuperación de Impacto Más Rápida|Szybsze odzyskanie po trafieniu
